time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	428.950682	3.043139	2156.344479	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	423.053286	0.634427	2123.431212	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	810.825650	454.379250	2189.949386	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	801.608030	444.261593	2189.948923	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	799.854088	448.755536	2124.228673	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	958.485914	550.427859	2125.049080	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	790.475828	438.577276	2124.228673	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	801.149701	448.352716	2123.262794	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	948.894530	539.157293	2123.992171	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	629.723206	0.000000	2121.925608	4614.383076	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	947.580560	537.049415	2123.965006	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	640.695916	0.000000	2122.602006	4702.521634	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	642.312449	0.000000	2122.601768	4712.171657	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	941.999386	529.780144	2123.911934	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	563.346797	0.000000	2127.213884	3919.208741	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	571.956167	0.000000	2096.814003	3904.732485	31.000000	0.000000	1	0	0	0	0	0	0	0
1.6	576.653366	0.000000	2126.463774	3933.153567	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	568.892867	0.000000	2126.462970	3947.433764	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	957.150438	513.427329	2115.944237	2797.999482	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	415.917504	456.859393	11.555730	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	639.681003	0.000000	2122.481579	4729.732484	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	424.696550	464.826542	11.555730	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	424.369534	463.599528	11.555730	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.3	430.254703	469.597995	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.4	420.135570	458.578879	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	419.162828	457.706153	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	417.694736	455.338077	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	413.796135	451.539491	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	411.652015	448.495386	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	407.076066	444.019451	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	406.065302	442.108701	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	395.695597	431.839010	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	384.065589	420.308997	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	373.106890	408.450317	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
