time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.496933	1.570796	7.118000	-2.940000	3.000000
0.300000	-1.750000	192.208733	1.570796	7.118000	0.000000	4.000000
0.400000	-1.750000	192.920533	1.570796	7.118000	0.000000	4.000000
0.500000	-1.750000	193.632333	1.570796	7.118000	0.000000	4.000000
0.600000	-1.750000	194.344133	1.570796	7.118000	0.000000	4.000000
0.700000	-1.749999	195.055770	1.570776	7.094898	-2.940000	3.000000
0.800000	-1.749545	195.750544	1.569127	6.800898	-2.940000	3.000000
0.900000	-1.747491	196.415852	1.566229	6.506898	-2.940000	3.000000
1.000000	-1.743715	197.051742	1.563615	6.212898	-2.940000	3.000000
1.100000	-1.738835	197.658286	1.562091	5.918898	-2.940000	3.000000
1.200000	-1.733534	198.255057	1.561981	6.016898	0.980000	2.000000
1.300000	-1.728562	198.861634	1.563490	6.114898	0.980000	2.000000
1.400000	-1.724977	199.478031	1.566729	6.212898	0.980000	2.000000
1.500000	-1.723891	200.099319	1.571586	6.212898	0.000000	4.000000
1.600000	-1.726239	200.720603	1.577705	6.212898	0.000000	4.000000
1.700000	-1.732719	201.346782	1.584623	6.310898	0.980000	2.000000
1.800000	-1.742964	201.948368	1.590496	5.722898	-5.880000	1.000000
1.900000	-1.753587	202.490880	1.588443	5.134898	-5.880000	1.000000
2.000000	-1.759398	202.974743	1.575443	4.546898	-5.880000	1.000000
2.100000	-1.757380	203.399662	1.555937	3.958898	-5.880000	1.000000
2.200000	-1.748311	203.765460	1.536300	3.370898	-5.880000	1.000000
2.300000	-1.735209	204.072587	1.520366	2.782898	-5.880000	1.000000
2.400000	-1.721250	204.319550	1.508954	2.194898	-5.880000	1.000000
2.500000	-1.708785	204.508287	1.501030	1.606898	-5.880000	1.000000
2.600000	-1.699820	204.631599	1.496002	1.018898	-5.880000	1.000000
2.700000	-1.695869	204.682892	1.493860	0.499871	-5.880000	1.000000
2.800000	-1.687735	204.785459	1.489441	0.010000	-5.880000	1.000000
2.900000	-1.679126	204.887987	1.484590	0.010000	-5.880000	1.000000
3.000000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
3.100000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
3.200000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
3.300000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
3.400000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
3.500000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
3.600000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
3.700000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
3.800000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
3.900000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
4.000000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
4.100000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
4.200000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
4.300000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
4.400000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
4.500000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
4.600000	-1.669976	204.990469	1.478869	0.010000	-5.880000	1.000000
4.700000	-1.666298	205.029138	1.476613	0.304000	2.940000	0.000000
4.800000	-1.660837	205.085317	1.473545	0.598000	2.940000	0.000000
4.900000	-1.652875	205.163199	1.466183	0.892000	2.940000	0.000000
5.000000	-1.641531	205.268034	1.456485	1.186000	2.940000	0.000000
5.100000	-1.625212	205.401802	1.443868	1.480000	2.940000	0.000000
5.200000	-1.603088	205.564105	1.428079	1.774000	2.940000	0.000000
5.300000	-1.573882	205.754228	1.408944	2.068000	2.940000	0.000000
5.400000	-1.535542	205.972822	1.386084	2.362000	2.940000	0.000000
5.500000	-1.485942	206.219290	1.359249	2.656000	2.940000	0.000000
5.600000	-1.425077	206.482977	1.329347	2.754000	0.980000	2.000000
5.700000	-1.353622	206.754098	1.297361	2.852000	0.980000	2.000000
5.800000	-1.270499	207.032068	1.263310	2.950000	0.980000	2.000000
5.900000	-1.174613	207.316206	1.227238	3.048000	0.980000	2.000000
6.000000	-1.064724	207.605776	1.189194	3.146000	0.980000	2.000000
6.100000	-0.939750	207.899869	1.149276	3.244000	0.980000	2.000000
6.200000	-0.798652	208.197474	1.107601	3.342000	0.980000	2.000000
6.300000	-0.640450	208.497482	1.064304	3.440000	0.980000	2.000000
6.400000	-0.464242	208.798686	1.019531	3.538000	0.980000	2.000000
6.500000	-0.269217	209.099795	0.973435	3.636000	0.980000	2.000000
6.600000	-0.054671	209.399440	0.926164	3.734000	0.980000	2.000000
6.700000	0.179986	209.696183	0.877861	3.832000	0.980000	2.000000
6.800000	0.435225	209.988526	0.828650	3.930000	0.980000	2.000000
6.900000	0.711395	210.274922	0.778633	4.028000	0.980000	2.000000
7.000000	1.008817	210.553732	0.727883	4.126000	0.980000	2.000000
7.100000	1.327614	210.823292	0.676442	4.224000	0.980000	2.000000
7.200000	1.667763	211.081904	0.624314	4.322000	0.980000	2.000000
7.300000	2.029123	211.327818	0.571475	4.420000	0.980000	2.000000
7.400000	2.411436	211.559235	0.517880	4.518000	0.980000	2.000000
7.500000	2.814317	211.774302	0.463494	4.616000	0.980000	2.000000
7.600000	3.237237	211.971134	0.408328	4.714000	0.980000	2.000000
