time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.804903	1.570796	8.098000	0.980000	2.000000
0.200000	-1.750000	191.629442	1.570796	8.392000	2.940000	0.000000
0.300000	-1.750000	192.483390	1.570796	8.686000	2.940000	0.000000
0.400000	-1.750000	193.366716	1.570796	8.980000	2.940000	0.000000
0.500000	-1.750000	194.279435	1.570796	9.274000	2.940000	0.000000
0.600000	-1.749985	195.219102	1.570621	9.363053	-5.880000	1.000000
0.700000	-1.748630	196.125981	1.567545	8.775053	-5.880000	1.000000
0.800000	-1.744268	196.973965	1.563889	8.187053	-5.880000	1.000000
0.900000	-1.737917	197.763196	1.561958	7.599053	-5.880000	1.000000
1.000000	-1.731471	198.493546	1.562359	7.011053	-5.880000	1.000000
1.100000	-1.726503	199.165088	1.564721	6.423053	-5.880000	1.000000
1.200000	-1.723781	199.790170	1.568319	6.080458	-3.425946	7.000000
1.300000	-1.723544	200.403130	1.572542	6.178458	0.980000	2.000000
1.400000	-1.725776	200.991475	1.576551	5.590458	-5.880000	1.000000
1.500000	-1.729589	201.520861	1.579177	5.002458	-5.880000	1.000000
1.600000	-1.733737	201.991379	1.579684	4.414458	-5.880000	1.000000
1.700000	-1.737113	202.403195	1.577943	3.826458	-5.880000	1.000000
1.800000	-1.739101	202.772463	1.574109	3.563394	-2.630639	7.000000
1.900000	-1.737346	203.432441	1.560645	3.037266	-2.630639	7.000000
2.000000	-1.733104	203.722840	1.551516	2.774247	-2.630195	7.000000
2.100000	-1.718394	204.224834	1.530286	2.248208	-2.630195	7.000000
2.200000	-1.708634	204.435926	1.518962	1.985235	-2.629732	7.000000
2.300000	-1.687170	204.778537	1.497047	1.459288	-2.629732	7.000000
2.400000	-1.676840	204.908860	1.487516	1.197294	-2.619945	7.000000
2.500000	-1.667625	205.014084	1.479740	0.937291	-2.600031	7.000000
2.600000	-1.660329	205.090679	1.473726	0.678973	-2.583175	7.000000
2.700000	-1.656829	205.124949	1.470232	0.431396	-2.475769	7.000000
2.800000	-1.652498	205.167871	1.470232	0.431396	0.000000	4.000000
2.900000	-1.650896	205.183283	1.464285	0.062290	-5.880000	1.000000
3.000000	-1.650234	205.189477	1.464285	0.062290	0.000000	4.000000
3.100000	-1.649572	205.195670	1.464285	0.062290	0.000000	4.000000
3.200000	-1.648909	205.201864	1.464285	0.062290	0.000000	4.000000
3.300000	-1.648247	205.208058	1.464285	0.062290	0.000000	4.000000
3.400000	-1.647585	205.214251	1.464285	0.062290	0.000000	4.000000
3.500000	-1.646923	205.220445	1.464285	0.062290	0.000000	4.000000
3.600000	-1.646261	205.226639	1.464285	0.062290	0.000000	4.000000
3.700000	-1.641653	205.267964	1.460523	0.356290	2.940000	0.000000
3.800000	-1.634770	205.327659	1.455086	0.650290	2.940000	0.000000
3.900000	-1.624840	205.409847	1.447595	0.944290	2.940000	0.000000
4.000000	-1.610757	205.518810	1.437653	1.238290	2.940000	0.000000
4.100000	-1.591187	205.657428	1.424984	1.532290	2.940000	0.000000
4.200000	-1.565273	205.824331	1.409696	1.826290	2.940000	0.000000
4.300000	-1.531856	206.018895	1.391820	2.120290	2.940000	0.000000
4.400000	-1.489020	206.242031	1.371227	2.414290	2.940000	0.000000
4.500000	-1.435112	206.492920	1.347933	2.708290	2.940000	0.000000
4.600000	-1.370696	206.761127	1.322831	2.806290	0.980000	2.000000
4.700000	-1.296942	207.037030	1.296707	2.904290	0.980000	2.000000
4.800000	-1.213118	207.320226	1.269418	3.002290	0.980000	2.000000
4.900000	-1.118362	207.610282	1.240733	3.100290	0.980000	2.000000
5.000000	-1.011725	207.906655	1.210339	3.198290	0.980000	2.000000
5.100000	-0.892191	208.208653	1.177855	3.296290	0.980000	2.000000
5.200000	-0.758610	208.515435	1.142846	3.394290	0.980000	2.000000
5.300000	-0.609681	208.825971	1.104838	3.492290	0.980000	2.000000
5.400000	-0.443955	209.138998	1.063353	3.590290	0.980000	2.000000
5.500000	-0.259855	209.452978	1.017940	3.688290	0.980000	2.000000
5.600000	-0.058517	209.761950	0.968897	3.688290	0.000000	4.000000
5.700000	0.158190	210.060338	0.916781	3.688290	0.000000	4.000000
5.800000	0.390576	210.346676	0.861717	3.688290	0.000000	4.000000
5.900000	0.638742	210.619443	0.803985	3.688290	0.000000	4.000000
6.000000	0.902532	210.877122	0.744015	3.688290	0.000000	4.000000
6.100000	1.181505	211.118278	0.682387	3.688290	0.000000	4.000000
6.200000	1.474920	211.341633	0.619810	3.688290	0.000000	4.000000
6.300000	1.781755	211.546162	0.557104	3.688290	0.000000	4.000000
6.400000	2.100746	211.731164	0.495172	3.688290	0.000000	4.000000
6.500000	2.430448	211.896334	0.434963	3.688290	0.000000	4.000000
