time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	-11.129109	1.784127	26.208169	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	0
0.1	-21.354896	-8.341659	26.208168	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	0
0.2	-10.765471	1.525820	26.475735	15.404745	19.000000	0.000000	0	0	0	1	0	0	0	0
0.3	-20.014723	-8.623431	26.475730	15.404745	18.000000	0.000000	0	0	0	1	0	0	0	0
0.4	-19.253114	-8.761820	26.475724	15.404745	17.000000	0.000000	0	0	0	1	0	0	0	0
0.5	-18.547983	-8.956688	26.475723	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	0
0.6	-18.691887	0.000000	26.475569	15.483276	15.000000	0.000000	0	0	0	1	0	0	0	0
0.7	-17.887732	0.000000	26.475063	14.133276	14.000000	0.000000	0	0	0	1	0	0	0	0
0.8	-18.114966	0.000000	26.134426	12.933276	14.000000	0.000000	0	0	0	1	0	0	0	0
0.9	1031.764336	0.000000	10630.260266	11.733276	13.000000	0.000000	0	0	0	1	0	0	0	1
1.0	-16.446582	0.000000	26.697223	10.683276	12.000000	0.000000	0	0	0	1	0	0	0	0
1.1	-15.655190	0.000000	26.696909	9.633276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.2	-15.841496	0.000000	26.696847	8.583276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.3	-15.051798	0.000000	26.695777	7.683276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.4	-15.238435	0.000000	26.696650	6.783276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.5	-14.460721	0.000000	26.695679	6.033609	9.000000	0.000000	0	0	0	1	0	0	0	0
1.6	-14.659992	0.000000	26.695488	5.285657	9.000000	0.000000	0	0	0	1	0	0	0	0
1.7	-13.827654	0.000000	26.692145	4.535807	8.000000	0.000000	0	0	0	1	0	0	0	0
1.8	-14.050529	0.000000	26.688859	3.935861	8.000000	0.000000	0	0	0	1	0	0	0	0
1.9	-13.244424	0.000000	26.687623	3.315291	7.000000	0.000000	0	0	0	1	0	0	0	0
2.0	-13.392982	0.000000	26.685053	2.649323	7.000000	0.000000	0	0	0	1	0	0	0	0
2.1	-13.637588	0.000000	26.683293	2.102109	7.000000	0.000000	0	0	0	1	0	0	0	0
2.2	-12.849110	0.000000	26.586153	1.475677	6.000000	0.000000	0	0	0	1	0	0	0	0
2.3	-13.230282	0.000000	26.377860	0.993777	6.000000	0.000000	0	0	0	1	0	0	0	0
2.4	-13.289558	0.000000	26.090016	0.332020	6.000000	0.000000	0	0	0	1	0	0	0	0
2.5	-13.871541	0.000000	25.780354	0.431662	6.000000	0.000000	0	0	0	1	0	0	0	0
2.6	-14.020697	0.000000	25.479411	0.272920	6.000000	0.000000	0	0	0	1	0	0	0	0
2.7	-14.596513	0.000000	25.205575	0.209479	6.000000	0.000000	0	0	0	1	0	0	0	0
2.8	-15.111266	0.000000	25.825941	0.238804	6.000000	0.000000	0	0	0	0	1	0	0	0
2.9	281.029026	0.000000	21232.902514	0.238804	6.000000	0.000000	0	0	0	0	1	0	0	2
3.6	2428.804001	2466.551617	10.548095	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.7	307.925105	345.773947	10.548095	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.8	308.253764	346.203167	10.548095	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.9	308.314116	346.363652	10.548095	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.0	307.917478	346.067101	10.548095	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.1	307.045281	345.295018	10.548095	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.2	307.269868	345.619668	10.548095	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.3	307.052133	345.501946	10.548095	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.4	307.944687	346.494549	10.548095	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.5	307.733801	345.383706	10.548095	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
4.6	307.637656	345.387573	10.548095	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
4.7	307.089546	344.939487	10.548095	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
4.8	307.548550	345.498524	10.548095	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
4.9	308.743947	345.793940	10.548095	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.0	308.271211	345.421215	10.548095	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.1	307.312493	344.562521	10.548095	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.2	308.451190	344.801239	10.548095	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
5.3	308.035720	344.485772	10.548095	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
5.4	307.004193	343.554262	10.548095	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
5.5	308.221315	343.871403	10.548095	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
5.6	307.705861	343.455958	10.548095	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
5.7	307.308899	342.159007	10.548095	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
5.8	305.119205	340.069327	10.548095	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
