time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	605.927154	-9.250000	3039.744469	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	-10.925110	2.539091	21.325405	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	0
0.2	-20.114882	-7.550680	21.325405	15.404745	19.000000	0.000000	0	0	0	1	0	0	0	0
0.3	-19.365746	-7.701544	21.325404	15.404745	18.000000	0.000000	0	0	0	1	0	0	0	0
0.4	-18.652534	-7.888330	21.325404	15.404745	17.000000	0.000000	0	0	0	1	0	0	0	0
0.5	-18.050410	-8.186205	21.325403	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	0
0.6	-19.162702	0.786034	21.301653	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	0
0.7	-19.082708	0.000000	21.299075	14.583276	15.000000	0.000000	0	0	0	1	0	0	0	0
0.8	-18.216663	0.000000	21.195419	13.383276	14.000000	0.000000	0	0	0	1	0	0	0	0
0.9	17034.135739	16529.998189	3069.502904	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.0	-7.720185	0.000000	20.832564	11.433276	13.000000	0.000000	0	0	0	1	0	0	0	0
1.1	969.407925	0.000000	10001.490065	10.383276	12.000000	0.000000	0	0	0	0	0	0	0	1
1.2	21940.965220	21435.377590	3062.908781	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.3	-6.304464	0.000000	21.219027	8.583276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.4	35785.358949	35279.082058	3059.151345	2449.848484	30.000000	0.000000	1	0	1	0	0	0	0	0
1.5	-5.764614	0.000000	21.021714	6.933276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.6	-14.905024	0.000000	20.621436	5.804876	9.000000	0.000000	0	0	0	1	0	0	0	0
1.7	69422.885815	68969.118196	3066.070064	1957.533612	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	-4.278177	0.000000	21.348533	4.685687	8.000000	0.000000	0	0	0	1	0	0	0	0
1.9	-14.425679	0.000000	21.347690	4.086471	8.000000	0.000000	0	0	0	1	0	0	0	0
2.0	-13.503138	0.000000	21.347772	3.474400	7.000000	0.000000	0	0	0	1	0	0	0	0
2.1	-13.591112	0.000000	21.230509	2.988747	7.000000	0.000000	0	0	0	1	0	0	0	0
3.9	261.618180	299.429429	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.0	251.634670	289.547583	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.1	252.625121	290.638850	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.2	252.392843	290.506861	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.3	251.724192	289.938236	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.4	249.876413	288.190482	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.5	259.719681	297.133849	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.6	259.655552	297.169741	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.7	259.265377	296.879604	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.8	259.752345	297.466619	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.9	259.936323	297.750623	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.0	260.602465	297.516777	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.1	-17.843839	7.746565	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.2	-37.739691	-2.194333	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.3	-37.832047	-2.186669	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.4	-37.089827	-2.344432	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.5	-37.247248	-2.401844	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.6	-37.370984	-2.425579	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.7	-36.463846	-2.418436	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
5.8	-36.692625	-2.547204	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
5.9	-36.800347	-2.554912	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
6.0	-36.076150	-2.730699	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
6.1	-36.315749	-2.870281	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
6.2	-36.598725	-3.053242	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
6.3	-35.729041	-3.083546	20.000000	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
6.4	-36.140099	-3.394595	20.000000	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
6.5	-50.893696	-10.150691	20.000000	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
6.6	-51.168327	-10.325321	20.000000	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
6.7	-51.530718	-10.587711	20.000000	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
