time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.604903	1.570796	8.098000	0.980000	2.000000
0.300000	-1.750000	192.419613	1.570796	8.196000	0.980000	2.000000
0.400000	-1.750000	193.244126	1.570796	8.294000	0.980000	2.000000
0.500000	-1.750000	194.078441	1.570796	8.392000	0.980000	2.000000
0.600000	-1.750000	194.922558	1.570796	8.490000	0.980000	2.000000
0.700000	-1.749560	195.742043	1.569160	7.902000	-5.880000	1.000000
0.800000	-1.747078	196.502708	1.565838	7.314000	-5.880000	1.000000
0.900000	-1.742473	197.218649	1.563072	7.005976	-3.080238	7.000000
1.000000	-1.736529	197.919222	1.561857	7.005976	0.000000	4.000000
1.100000	-1.730685	198.590248	1.562647	6.417976	-5.880000	1.000000
1.200000	-1.726179	199.236958	1.565277	6.515976	0.980000	2.000000
1.300000	-1.723929	199.859006	1.569253	5.927976	-5.880000	1.000000
1.400000	-1.724283	200.435217	1.573564	5.598150	-3.298261	7.000000
1.500000	-1.726832	200.978389	1.577241	5.268330	-3.298196	7.000000
1.600000	-1.730748	201.488653	1.579420	4.938522	-3.298082	7.000000
1.700000	-1.734974	201.965861	1.579519	4.608720	-3.298026	7.000000
1.800000	-1.738429	202.410008	1.577250	4.278931	-3.297888	7.000000
1.900000	-1.740205	202.821301	1.572578	3.949168	-3.297626	7.000000
2.000000	-1.739630	203.199517	1.565626	3.619421	-3.297477	7.000000
2.100000	-1.736338	203.544578	1.556661	3.289708	-3.297129	7.000000
2.200000	-1.730312	203.856798	1.546075	2.960070	-3.296374	7.000000
2.300000	-1.721784	204.135811	1.534323	2.630484	-3.295860	7.000000
2.400000	-1.711273	204.381383	1.521939	2.301018	-3.294665	7.000000
2.500000	-1.699532	204.594185	1.509526	1.971869	-3.291494	7.000000
2.600000	-1.687424	204.773604	1.497746	1.643006	-3.288627	7.000000
2.700000	-1.675958	204.918649	1.487227	1.314874	-3.281314	7.000000
2.800000	-1.666028	205.030921	1.478657	0.989698	-3.251769	7.000000
2.900000	-1.658489	205.109191	1.472551	0.669868	-3.198291	7.000000
3.000000	-1.655015	205.143006	1.468778	0.368699	-3.011695	7.000000
3.100000	-1.653045	205.161838	1.466677	0.200944	-1.677551	7.000000
3.200000	-1.650956	205.181823	1.466677	0.200944	0.000000	4.000000
3.300000	-1.648868	205.201809	1.466677	0.200944	0.000000	4.000000
3.400000	-1.646779	205.221795	1.466677	0.200944	0.000000	4.000000
3.500000	-1.644691	205.241780	1.466677	0.200944	0.000000	4.000000
3.600000	-1.642602	205.261766	1.466677	0.200944	0.000000	4.000000
3.700000	-1.640514	205.281751	1.466677	0.200944	0.000000	4.000000
3.800000	-1.638426	205.301737	1.466677	0.200944	0.000000	4.000000
3.900000	-1.633033	205.351125	1.462061	0.494944	2.940000	0.000000
4.000000	-1.625070	205.421053	1.455522	0.788944	2.940000	0.000000
4.100000	-1.613770	205.514831	1.446746	1.082944	2.940000	0.000000
4.200000	-1.597591	205.638089	1.435195	1.376944	2.940000	0.000000
4.300000	-1.575610	205.790220	1.420911	1.670944	2.940000	0.000000
4.400000	-1.546783	205.970299	1.403959	1.964944	2.940000	0.000000
4.500000	-1.509570	206.178469	1.384291	2.258944	2.940000	0.000000
4.600000	-1.462092	206.414876	1.361842	2.552944	2.940000	0.000000
4.700000	-1.402584	206.678614	1.336626	2.846944	2.940000	0.000000
4.800000	-1.329043	206.968833	1.308624	3.140944	2.940000	0.000000
4.900000	-1.238775	207.285240	1.277715	3.434944	2.940000	0.000000
5.000000	-1.129323	207.626550	1.243831	3.728944	2.940000	0.000000
5.100000	-1.001483	207.982092	1.207805	3.826944	0.980000	2.000000
5.200000	-0.857076	208.341790	1.170453	3.924944	0.980000	2.000000
5.300000	-0.695147	208.704674	1.131697	4.022944	0.980000	2.000000
5.400000	-0.514651	209.069666	1.091467	4.120944	0.980000	2.000000
5.500000	-0.314611	209.435550	1.049719	4.218944	0.980000	2.000000
5.600000	-0.094110	209.800985	1.006434	4.316944	0.980000	2.000000
5.700000	0.147714	210.164508	0.961619	4.414944	0.980000	2.000000
5.800000	0.411644	210.524537	0.915310	4.512944	0.980000	2.000000
5.900000	0.698361	210.879378	0.867574	4.610944	0.980000	2.000000
6.000000	1.008416	211.227246	0.818510	4.708944	0.980000	2.000000
6.100000	1.342212	211.566280	0.768247	4.806944	0.980000	2.000000
6.200000	1.696280	211.891314	0.717444	4.806944	0.000000	4.000000
