time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	-10.419407	2.503865	26.106688	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	0
0.1	-20.648709	-7.625436	26.106688	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	0
0.2	-10.068886	2.234863	26.349750	15.404745	19.000000	0.000000	0	0	0	1	0	0	0	0
0.3	-19.334911	-7.931160	26.349745	15.404745	18.000000	0.000000	0	0	0	1	0	0	0	0
0.4	-18.579446	-8.075693	26.349740	15.404745	17.000000	0.000000	0	0	0	1	0	0	0	0
0.5	-17.916700	-8.312946	26.349739	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	0
0.6	-18.704304	0.000000	26.349599	15.483276	15.000000	0.000000	0	0	0	1	0	0	0	0
0.7	-17.900133	0.000000	26.349140	14.133276	14.000000	0.000000	0	0	0	1	0	0	0	0
0.8	-18.124240	0.000000	26.039700	12.933276	14.000000	0.000000	0	0	0	1	0	0	0	0
0.9	992.941738	0.000000	10234.048598	11.733276	13.000000	0.000000	0	0	0	1	0	0	0	1
1.0	-16.460823	0.000000	26.550953	10.683276	12.000000	0.000000	0	0	0	1	0	0	0	0
1.1	-15.669403	0.000000	26.550668	9.633276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.2	-15.855773	0.000000	26.550612	8.583276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.3	-15.065970	0.000000	26.549639	7.683276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.4	-15.252618	0.000000	26.550433	6.783276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.5	-14.474674	0.000000	26.549551	6.033609	9.000000	0.000000	0	0	0	1	0	0	0	0
1.6	-14.673815	0.000000	26.549377	5.285657	9.000000	0.000000	0	0	0	1	0	0	0	0
1.7	-13.841465	0.000000	26.546340	4.535807	8.000000	0.000000	0	0	0	1	0	0	0	0
1.8	-14.063999	0.000000	26.543355	3.935861	8.000000	0.000000	0	0	0	1	0	0	0	0
1.9	-13.257708	0.000000	26.542232	3.315291	7.000000	0.000000	0	0	0	1	0	0	0	0
2.0	-13.406304	0.000000	26.539898	2.649323	7.000000	0.000000	0	0	0	1	0	0	0	0
2.1	-13.650420	0.000000	26.538299	2.102109	7.000000	0.000000	0	0	0	1	0	0	0	0
2.2	-12.860923	0.000000	26.450056	1.475677	6.000000	0.000000	0	0	0	1	0	0	0	0
2.3	-13.239491	0.000000	26.260839	0.993777	6.000000	0.000000	0	0	0	1	0	0	0	0
2.4	-13.297086	0.000000	25.999357	0.332020	6.000000	0.000000	0	0	0	1	0	0	0	0
2.5	-13.875605	0.000000	25.718055	0.431662	6.000000	0.000000	0	0	0	1	0	0	0	0
2.6	-14.022931	0.000000	25.444674	0.272920	6.000000	0.000000	0	0	0	1	0	0	0	0
2.7	-14.596961	0.000000	25.195917	0.209479	6.000000	0.000000	0	0	0	1	0	0	0	0
2.8	-15.053770	0.000000	28.065307	0.238804	6.000000	0.000000	0	0	0	0	1	0	0	0
2.9	269.987234	0.000000	20443.015618	0.238804	6.000000	0.000000	0	0	0	0	1	0	0	2
3.6	2239.680613	2276.708491	17.889424	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.7	197.837519	234.966623	17.889424	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.8	198.006751	235.236416	17.889424	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.9	198.018232	235.348029	17.889424	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.0	197.710686	235.140571	17.889424	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.1	197.072087	234.602086	17.889424	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.2	197.189806	234.819868	17.889424	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.3	197.004295	234.734370	17.889424	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.4	197.584346	235.414471	17.889424	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.5	197.701565	234.631732	17.889424	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
4.6	197.582793	234.612972	17.889424	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
4.7	197.164360	234.294564	17.889424	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
4.8	197.390661	234.620897	17.889424	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
4.9	198.501089	234.831343	17.889424	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.0	198.100300	234.530566	17.889424	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.1	197.381457	233.911748	17.889424	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.2	198.371568	234.001879	17.889424	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
5.3	197.970887	233.701200	17.889424	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
5.4	197.133507	232.963838	17.889424	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
5.5	198.122317	233.052667	17.889424	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
5.6	197.551422	232.581782	17.889424	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
5.7	197.291529	231.421898	17.889424	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
5.8	195.453396	229.683780	17.889424	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
