time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.804903	1.570796	8.098000	0.980000	2.000000
0.200000	-1.750000	191.619613	1.570796	8.196000	0.980000	2.000000
0.300000	-1.750000	192.453959	1.570796	8.490000	2.940000	0.000000
0.400000	-1.750000	193.317703	1.570796	8.784000	2.940000	0.000000
0.500000	-1.750000	194.210814	1.570796	9.078000	2.940000	0.000000
0.600000	-1.749998	195.089175	1.570763	8.490000	-5.880000	1.000000
0.700000	-1.749232	195.908700	1.568492	7.902000	-5.880000	1.000000
0.800000	-1.746119	196.682010	1.565054	7.565479	-3.365208	7.000000
0.900000	-1.740848	197.421636	1.562534	7.228961	-3.365185	7.000000
1.000000	-1.734664	198.127659	1.561872	6.892446	-3.365152	7.000000
1.100000	-1.729010	198.799976	1.563214	6.555931	-3.365142	7.000000
1.200000	-1.725039	199.438627	1.566163	6.219421	-3.365101	7.000000
1.300000	-1.723369	200.043718	1.570023	5.882917	-3.365040	7.000000
1.400000	-1.724068	200.615072	1.573972	5.546415	-3.365025	7.000000
1.500000	-1.726685	201.152737	1.577184	5.209921	-3.364943	7.000000
1.600000	-1.730418	201.656862	1.578951	4.873438	-3.364821	7.000000
1.700000	-1.734279	202.127197	1.578707	4.536959	-3.364794	7.000000
1.800000	-1.737250	202.563837	1.576105	4.200498	-3.364609	7.000000
1.900000	-1.738457	202.967027	1.571029	3.864065	-3.364326	7.000000
2.000000	-1.737223	203.336325	1.563536	3.527638	-3.364273	7.000000
2.100000	-1.733213	203.671862	1.553910	3.191262	-3.363760	7.000000
2.200000	-1.726458	203.974048	1.542612	2.854970	-3.362917	7.000000
2.300000	-1.717233	204.242005	1.530192	2.518692	-3.362785	7.000000
2.400000	-1.706186	204.475995	1.517304	2.182614	-3.360781	7.000000
2.500000	-1.694161	204.677035	1.504668	1.846920	-3.356942	7.000000
2.600000	-1.682137	204.842941	1.493020	1.511275	-3.356441	7.000000
2.700000	-1.671179	204.974040	1.483009	1.177169	-3.341069	7.000000
2.800000	-1.661961	205.074427	1.475503	0.847614	-3.295545	7.000000
2.900000	-1.651716	205.176020	1.465033	0.188505	-3.295545	7.000000
3.000000	-1.649726	205.194765	1.465033	0.188505	0.000000	4.000000
3.100000	-1.647736	205.213510	1.465033	0.188505	0.000000	4.000000
3.200000	-1.645746	205.232255	1.465033	0.188505	0.000000	4.000000
3.300000	-1.643756	205.251000	1.465033	0.188505	0.000000	4.000000
3.400000	-1.641766	205.269745	1.465033	0.188505	0.000000	4.000000
3.500000	-1.639776	205.288491	1.465033	0.188505	0.000000	4.000000
3.600000	-1.637786	205.307236	1.465033	0.188505	0.000000	4.000000
3.700000	-1.635796	205.325981	1.465033	0.188505	0.000000	4.000000
3.800000	-1.633806	205.344726	1.465033	0.188505	0.000000	4.000000
3.900000	-1.628386	205.393332	1.459854	0.482505	2.940000	0.000000
4.000000	-1.620335	205.462287	1.452503	0.776505	2.940000	0.000000
4.100000	-1.608822	205.554964	1.442613	1.070505	2.940000	0.000000
4.200000	-1.592206	205.676877	1.429583	1.364505	2.940000	0.000000
4.300000	-1.569396	205.827647	1.413434	1.658505	2.940000	0.000000
4.400000	-1.539210	206.006280	1.394245	1.952505	2.940000	0.000000
4.500000	-1.499942	206.212778	1.371975	2.246505	2.940000	0.000000
4.600000	-1.449452	206.447286	1.346547	2.540505	2.940000	0.000000
4.700000	-1.385754	206.708772	1.317992	2.834505	2.940000	0.000000
4.800000	-1.309300	206.986848	1.287351	2.932505	0.980000	2.000000
4.900000	-1.221377	207.271734	1.255582	3.030505	0.980000	2.000000
5.000000	-1.121049	207.562903	1.222572	3.128505	0.980000	2.000000
5.100000	-1.007419	207.859693	1.188156	3.226505	0.980000	2.000000
5.200000	-0.879554	208.161326	1.152118	3.324505	0.980000	2.000000
5.300000	-0.736456	208.466902	1.114198	3.422505	0.980000	2.000000
5.400000	-0.577056	208.775370	1.074136	3.520505	0.980000	2.000000
5.500000	-0.400230	209.085511	1.031717	3.618505	0.980000	2.000000
5.600000	-0.204833	209.395923	0.986779	3.716505	0.980000	2.000000
5.700000	0.010268	209.705011	0.939227	3.814505	0.980000	2.000000
5.800000	0.246148	210.010984	0.889040	3.912505	0.980000	2.000000
5.900000	0.503776	210.311867	0.836279	4.010505	0.980000	2.000000
6.000000	0.784040	210.605487	0.781084	4.108505	0.980000	2.000000
6.100000	1.087588	210.889534	0.723694	4.206505	0.980000	2.000000
6.200000	1.414747	211.161638	0.664448	4.304505	0.980000	2.000000
6.300000	1.765546	211.419421	0.603780	4.402505	0.980000	2.000000
6.400000	2.139685	211.660581	0.542209	4.500505	0.980000	2.000000
6.500000	2.536540	211.882980	0.480337	4.598505	0.980000	2.000000
