time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	544.098339	-9.250000	2418.347827	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	566.900190	0.630000	2448.078611	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-13.725360	0.512210	1.573018	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-22.940950	-9.603380	1.573018	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	-22.156540	-9.718970	1.573018	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.5	-22.362521	-9.834560	1.670185	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.578111	-9.950150	1.670185	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-20.771199	0.000000	1.668969	15.033276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.8	998.341429	546.374580	2440.367564	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
0.9	986.279462	535.835282	2424.289995	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	975.923552	536.524058	2403.304121	2449.848484	33.000000	0.000000	1	0	0	0	0	0	0	0
1.1	671.207103	0.000000	2420.703059	4686.335178	32.000000	0.000000	1	0	0	0	0	0	0	0
1.2	-6.391729	0.000000	20.493138	9.633276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.3	-16.562064	0.000000	20.492604	8.583276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.4	-15.724285	0.000000	20.167363	7.533276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.5	-15.965568	0.000000	19.423269	6.783276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.6	-15.065106	0.000000	19.298307	5.784713	9.000000	0.000000	0	0	0	1	0	0	0	0
1.7	-15.173911	0.000000	19.299097	5.285657	9.000000	0.000000	0	0	0	1	0	0	0	0
1.8	-14.228174	0.000000	19.299057	4.685687	8.000000	0.000000	0	0	0	1	0	0	0	0
1.9	912.065716	0.000000	9616.764699	4.086471	8.000000	0.000000	0	0	0	0	0	0	0	1
2.0	-16.071901	0.000000	1.103367	3.630526	8.000000	0.000000	0	0	0	0	0	0	0	0
2.1	-15.212895	0.000000	1.102191	3.195889	7.000000	0.000000	0	0	0	0	0	0	0	0
2.3	-15.653230	0.000000	1.073617	1.904397	7.000000	0.000000	0	0	0	0	0	0	0	0
2.4	-14.802755	0.000000	1.011939	1.475677	6.000000	0.000000	0	0	0	0	0	0	0	0
2.5	-14.954554	0.000000	0.918871	0.993777	6.000000	0.000000	0	0	0	0	0	0	0	0
2.6	718.848297	0.000000	9616.463140	0.730750	6.000000	0.000000	0	0	0	0	0	0	0	1
2.7	-15.229426	0.000000	0.664741	0.449167	6.000000	0.000000	0	0	0	0	0	0	0	0
2.8	-15.348724	0.000000	0.515032	0.431662	6.000000	0.000000	0	0	0	0	0	0	0	0
2.9	-15.467039	0.000000	0.369342	0.392322	6.000000	0.000000	0	0	0	0	0	0	0	0
3.0	-15.577660	0.000000	0.261459	0.328881	6.000000	0.000000	0	0	0	0	0	0	0	0
3.2	-15.544498	0.000000	22.475516	0.238804	6.000000	0.000000	0	0	0	0	1	0	0	0
3.3	38.787029	0.000000	9638.123091	0.238804	6.000000	0.000000	0	0	0	0	1	0	0	1
4.0	1190.144975	1227.289357	16.518923	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.1	224.239790	261.485680	16.518923	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.2	224.635385	261.981997	16.518923	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.3	224.719425	262.166269	16.518923	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.4	224.502485	262.049384	16.518923	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
