time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	-22.467385	-9.250000	21.141400	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	0
0.1	-10.925110	2.539091	21.325405	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	0
0.2	-20.114882	-7.550680	21.325405	15.404745	19.000000	0.000000	0	0	0	1	0	0	0	0
0.3	-19.365746	-7.701544	21.325404	15.404745	18.000000	0.000000	0	0	0	1	0	0	0	0
0.4	-18.652534	-7.888330	21.325404	15.404745	17.000000	0.000000	0	0	0	1	0	0	0	0
0.5	-18.050410	-8.186205	21.325403	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	0
0.6	-19.162702	0.786034	21.301653	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	0
0.7	-19.082708	0.000000	21.299075	14.583276	15.000000	0.000000	0	0	0	1	0	0	0	0
0.8	978.582516	0.000000	10021.579366	13.383276	14.000000	0.000000	0	0	0	1	0	0	0	1
0.9	13054.173854	12539.934662	3063.150825	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.0	-7.765518	0.000000	20.925148	11.283276	13.000000	0.000000	0	0	0	1	0	0	0	0
1.1	16982.840288	16478.065793	3066.083816	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.2	-6.191728	0.000000	21.273536	9.333276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.3	962.287039	0.000000	10021.676258	8.433276	11.000000	0.000000	0	0	0	1	0	0	0	1
1.4	-15.473566	0.000000	21.676476	7.533276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.5	-15.684137	0.000000	21.674990	6.783276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.6	-14.821189	0.000000	21.674205	5.914207	9.000000	0.000000	0	0	0	1	0	0	0	0
1.7	-15.052089	0.000000	21.674133	5.285657	9.000000	0.000000	0	0	0	1	0	0	0	0
1.8	-14.196726	0.000000	21.671025	4.535807	8.000000	0.000000	0	0	0	1	0	0	0	0
1.9	-14.383323	0.000000	21.669512	3.935861	8.000000	0.000000	0	0	0	1	0	0	0	0
2.0	-13.562835	0.000000	21.665829	3.095869	7.000000	0.000000	0	0	0	1	0	0	0	0
2.1	-13.772083	0.000000	21.664737	2.820926	7.000000	0.000000	0	0	0	1	0	0	0	0
2.2	-13.982089	0.000000	21.664358	2.291158	7.000000	0.000000	0	0	0	1	0	0	0	0
2.3	-13.166160	0.000000	21.598677	1.696238	6.000000	0.000000	0	0	0	1	0	0	0	0
2.4	-13.479752	0.000000	21.439409	1.241750	6.000000	0.000000	0	0	0	1	0	0	0	0
2.5	-13.582974	0.000000	21.204380	0.352220	6.000000	0.000000	0	0	0	1	0	0	0	0
2.6	-14.036677	0.000000	20.930382	0.449167	6.000000	0.000000	0	0	0	1	0	0	0	0
2.7	-14.200282	0.000000	20.650747	0.392322	6.000000	0.000000	0	0	0	1	0	0	0	0
2.8	495.740354	0.000000	10020.375779	0.328881	6.000000	0.000000	0	0	0	1	0	0	0	1
