time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	601.573826	-9.250000	2995.992321	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	-10.471937	2.138048	29.962982	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	0
0.2	-19.668213	-7.958227	29.962981	15.404745	19.000000	0.000000	0	0	0	1	0	0	0	0
0.3	-18.913058	-8.103071	29.962981	15.404745	18.000000	0.000000	0	0	0	1	0	0	0	0
0.4	-18.186588	-8.276600	29.962980	15.404745	17.000000	0.000000	0	0	0	1	0	0	0	0
0.5	-17.548179	-8.538190	29.962980	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	0
0.6	-18.486639	-9.376648	29.962979	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	0
0.7	-18.253652	0.000000	29.960113	14.583276	15.000000	0.000000	0	0	0	1	0	0	0	0
0.8	-17.392362	0.000000	29.846964	13.383276	14.000000	0.000000	0	0	0	1	0	0	0	0
0.9	17062.891881	16563.424587	3022.293274	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.0	-6.878075	0.000000	29.490996	11.283276	13.000000	0.000000	0	0	0	1	0	0	0	0
1.1	970.614912	0.000000	10061.034519	10.383276	12.000000	0.000000	0	0	0	1	0	0	0	1
1.2	-15.160014	0.000000	30.172891	9.483276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.3	-15.349742	0.000000	30.172640	8.583276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.4	34916.635365	34415.076864	3010.927385	2449.848484	30.000000	0.000000	1	0	1	0	0	0	0	0
1.5	-4.928560	0.000000	29.542861	6.933276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.6	-14.098756	0.000000	29.138012	6.183407	9.000000	0.000000	0	0	0	1	0	0	0	0
1.7	66594.537235	66145.525805	3018.105136	1957.533612	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	-3.444609	0.000000	29.819145	4.457229	8.000000	0.000000	0	0	0	1	0	0	0	0
1.9	-13.572536	0.000000	29.815937	4.086471	8.000000	0.000000	0	0	0	1	0	0	0	0
2.0	-13.651229	0.000000	29.817830	3.251995	8.000000	0.000000	0	0	0	1	0	0	0	0
2.1	-12.704145	0.000000	29.749846	2.988747	7.000000	0.000000	0	0	0	1	0	0	0	0
3.8	1068.707107	1106.925994	15.798603	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
3.9	246.083246	284.403795	15.798603	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.0	247.749175	286.170539	15.798603	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.1	247.041353	285.563006	15.798603	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.2	246.524871	285.146550	15.798603	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.3	245.806232	284.528016	15.798603	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.4	255.471877	293.293703	15.798603	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.5	254.122956	292.044803	15.798603	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.6	254.861158	292.883043	15.798603	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.7	253.961711	292.083643	15.798603	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.8	254.050451	292.272409	15.798603	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.9	254.751175	292.073144	15.798603	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.0	-18.496068	7.498985	15.798603	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.1	-28.733647	-2.638568	15.798603	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.2	-38.714545	-2.664181	15.798603	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.3	-37.739186	-2.588806	15.798603	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.4	-37.865268	-2.614880	15.798603	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.5	-38.036339	-2.685950	15.798603	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.6	-37.198818	-2.748423	15.798603	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
5.7	-37.362310	-2.811904	15.798603	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
5.8	-37.634734	-2.984313	15.798603	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
5.9	-36.857272	-3.106835	15.798603	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
6.0	-37.047705	-3.197252	15.798603	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
6.1	-37.342109	-3.391640	15.798603	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
6.2	-36.592581	-3.542100	15.798603	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
6.3	-36.887416	-3.736926	15.798603	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
6.4	-37.088716	-3.838221	15.798603	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
6.5	-52.269758	-11.020989	15.798603	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
6.6	-52.618343	-11.269573	15.798603	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
