time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.600000	1.570796	8.000000	0.000000	4.000000
0.300000	-1.750000	192.400000	1.570796	8.000000	0.000000	4.000000
0.400000	-1.750000	193.200000	1.570796	8.000000	0.000000	4.000000
0.500000	-1.750000	194.004903	1.570796	8.098000	0.980000	2.000000
0.600000	-1.750000	194.819613	1.570796	8.196000	0.980000	2.000000
0.700000	-1.749748	195.609767	1.569639	7.608000	-5.880000	1.000000
0.800000	-1.747825	196.341036	1.566569	7.020000	-5.880000	1.000000
0.900000	-1.743785	197.043024	1.563640	7.020000	0.000000	4.000000
1.000000	-1.738214	197.729834	1.562002	6.717413	-3.025865	7.000000
1.100000	-1.732402	198.386330	1.562189	6.414829	-3.025850	7.000000
1.200000	-1.727528	199.012586	1.564091	6.112248	-3.025809	7.000000
1.300000	-1.724419	199.608657	1.567247	5.809670	-3.025771	7.000000
1.400000	-1.723462	200.174382	1.571010	5.507094	-3.025762	7.000000
1.500000	-1.724573	200.709833	1.574661	5.204525	-3.025694	7.000000
1.600000	-1.727288	201.215118	1.577521	4.901964	-3.025608	7.000000
1.700000	-1.730893	201.690039	1.578996	4.599406	-3.025583	7.000000
1.800000	-1.734529	202.134635	1.578635	4.296859	-3.025469	7.000000
1.900000	-1.737339	202.549066	1.576165	3.994332	-3.025269	7.000000
2.000000	-1.738570	202.933225	1.571472	3.691819	-3.025134	7.000000
2.100000	-1.737643	203.286954	1.564604	3.389325	-3.024940	7.000000
2.200000	-1.734253	203.610455	1.555794	3.086882	-3.024424	7.000000
2.300000	-1.728369	203.903847	1.545402	2.784495	-3.023870	7.000000
2.400000	-1.720173	204.166483	1.533874	2.482135	-3.023600	7.000000
2.500000	-1.710160	204.398656	1.521751	2.179943	-3.021927	7.000000
2.600000	-1.699003	204.601119	1.509636	1.878023	-3.019200	7.000000
2.700000	-1.687479	204.772263	1.498151	1.576168	-3.018549	7.000000
2.800000	-1.676494	204.912087	1.487844	1.275172	-3.009953	7.000000
2.900000	-1.666833	205.022239	1.479413	0.976729	-2.984436	7.000000
3.000000	-1.659313	205.100906	1.473224	0.682010	-2.947192	7.000000
3.100000	-1.655789	205.135326	1.469489	0.401210	-2.807994	7.000000
3.200000	-1.653656	205.155776	1.467270	0.234353	-1.668571	7.000000
3.300000	-1.651234	205.179085	1.467270	0.234353	0.000000	4.000000
3.400000	-1.648812	205.202395	1.467270	0.234353	0.000000	4.000000
3.500000	-1.646390	205.225705	1.467270	0.234353	0.000000	4.000000
3.600000	-1.643969	205.249015	1.467270	0.234353	0.000000	4.000000
3.700000	-1.641547	205.272325	1.467270	0.234353	0.000000	4.000000
3.800000	-1.639125	205.295635	1.467270	0.234353	0.000000	4.000000
3.900000	-1.636703	205.318944	1.467270	0.234353	0.000000	4.000000
4.000000	-1.634281	205.342254	1.467270	0.234353	0.000000	4.000000
4.100000	-1.628691	205.393760	1.462518	0.528353	2.940000	0.000000
4.200000	-1.620472	205.466273	1.455826	0.822353	2.940000	0.000000
4.300000	-1.608863	205.562915	1.446899	1.116353	2.940000	0.000000
4.400000	-1.592245	205.689553	1.435185	1.410353	2.940000	0.000000
4.500000	-1.569790	205.844929	1.420784	1.704353	2.940000	0.000000
4.600000	-1.540433	206.028203	1.403754	1.998353	2.940000	0.000000
4.700000	-1.502562	206.239710	1.384026	2.292353	2.940000	0.000000
4.800000	-1.454361	206.479378	1.361554	2.586353	2.940000	0.000000
4.900000	-1.394058	206.746327	1.336348	2.880353	2.940000	0.000000
5.000000	-1.319604	207.039790	1.308375	3.174353	2.940000	0.000000
5.100000	-1.228341	207.359399	1.277515	3.468353	2.940000	0.000000
5.200000	-1.117819	207.703863	1.243691	3.762353	2.940000	0.000000
5.300000	-0.988821	208.062532	1.207715	3.860353	0.980000	2.000000
5.400000	-0.843158	208.425316	1.170384	3.958353	0.980000	2.000000
5.500000	-0.679851	208.791238	1.131612	4.056353	0.980000	2.000000
5.600000	-0.497819	209.159204	1.091323	4.154353	0.980000	2.000000
5.700000	-0.296095	209.527980	1.049470	4.252353	0.980000	2.000000
5.800000	-0.073743	209.896203	1.006030	4.350353	0.980000	2.000000
5.900000	0.170118	210.262385	0.961009	4.448353	0.980000	2.000000
6.000000	0.436289	210.624911	0.914440	4.546353	0.980000	2.000000
6.100000	0.725466	210.982056	0.866391	4.644353	0.980000	2.000000
6.200000	1.038213	211.331994	0.816964	4.742353	0.980000	2.000000
6.300000	1.371393	211.669391	0.766811	4.742353	0.000000	4.000000
6.400000	1.721090	211.989638	0.716532	4.742353	0.000000	4.000000
