time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.570489	1.570796	7.412000	-5.880000	1.000000
0.300000	-1.750000	192.311689	1.570796	7.412000	0.000000	4.000000
0.400000	-1.750000	193.052889	1.570796	7.412000	0.000000	4.000000
0.500000	-1.750000	193.794089	1.570796	7.412000	0.000000	4.000000
0.600000	-1.750000	194.535289	1.570796	7.412000	0.000000	4.000000
0.700000	-1.749972	195.274565	1.570528	7.311406	-2.696667	7.000000
0.800000	-1.749023	195.992182	1.568135	7.041741	-2.696654	7.000000
0.900000	-1.746115	196.682842	1.565050	6.772077	-2.696642	7.000000
1.000000	-1.741462	197.346476	1.562717	6.502413	-2.696635	7.000000
1.100000	-1.735956	197.983130	1.561843	6.232752	-2.696609	7.000000
1.200000	-1.730499	198.611306	1.562652	6.330752	0.980000	2.000000
1.300000	-1.726232	199.214934	1.565050	5.742752	-5.880000	1.000000
1.400000	-1.723971	199.759531	1.568352	5.154752	-5.880000	1.000000
1.500000	-1.723616	200.245438	1.571795	4.566752	-5.880000	1.000000
1.600000	-1.724777	200.691421	1.574923	4.355698	-2.110542	7.000000
1.700000	-1.727266	201.141854	1.577570	4.649698	2.940000	0.000000
1.800000	-1.730738	201.591916	1.579237	4.355698	-2.940000	3.000000
1.900000	-1.734375	202.012622	1.579375	4.061698	-2.940000	3.000000
2.000000	-1.737461	202.404000	1.577669	3.767698	-2.940000	3.000000
2.100000	-1.739332	202.765779	1.573988	3.473698	-2.940000	3.000000
2.200000	-1.739510	203.098126	1.568450	3.179698	-2.940000	3.000000
2.300000	-1.737766	203.401333	1.561349	2.885698	-2.940000	3.000000
2.400000	-1.734055	203.674759	1.553046	2.591698	-2.940000	3.000000
2.500000	-1.728605	203.918476	1.543983	2.297698	-2.940000	3.000000
2.600000	-1.721840	204.132957	1.534622	2.003698	-2.940000	3.000000
2.700000	-1.706560	204.473242	1.516826	1.415698	-2.940000	3.000000
2.800000	-1.699326	204.597441	1.509280	1.121698	-2.940000	3.000000
2.900000	-1.688317	204.762281	1.498448	0.533698	-2.940000	3.000000
3.000000	-1.681838	204.847597	1.492358	0.129155	-2.940000	3.000000
3.100000	-1.681267	204.854531	1.491836	0.120865	-2.940000	3.000000
3.200000	-1.680124	204.868400	1.490793	0.104284	-2.940000	3.000000
3.300000	-1.678982	204.882268	1.489749	0.087703	-2.940000	3.000000
3.400000	-1.678240	204.891007	1.489101	0.087703	0.000000	4.000000
3.500000	-1.677492	204.899745	1.488462	0.087703	0.000000	4.000000
3.600000	-1.676740	204.908483	1.487835	0.087703	0.000000	4.000000
3.700000	-1.675235	204.925959	1.486582	0.087703	0.000000	4.000000
3.800000	-1.673730	204.943434	1.485329	0.087703	0.000000	4.000000
3.900000	-1.672225	204.960910	1.484076	0.087703	0.000000	4.000000
4.000000	-1.671465	204.969647	1.484076	0.087703	0.000000	4.000000
4.100000	-1.670706	204.978385	1.484076	0.087703	0.000000	4.000000
4.200000	-1.669946	204.987122	1.484076	0.087703	0.000000	4.000000
4.300000	-1.666020	205.029917	1.479976	0.381703	2.940000	0.000000
4.400000	-1.660154	205.091552	1.474954	0.675703	2.940000	0.000000
4.500000	-1.651695	205.174875	1.465262	0.969703	2.940000	0.000000
4.600000	-1.639213	205.286741	1.454982	1.263703	2.940000	0.000000
4.700000	-1.621712	205.428184	1.441964	1.557703	2.940000	0.000000
4.800000	-1.598272	205.597950	1.426310	1.851703	2.940000	0.000000
4.900000	-1.567689	205.795467	1.408050	2.145703	2.940000	0.000000
5.000000	-1.527987	206.021780	1.387046	2.439703	2.940000	0.000000
5.100000	-1.477512	206.275957	1.363331	2.733703	2.940000	0.000000
5.200000	-1.416629	206.547581	1.337809	2.831703	0.980000	2.000000
5.300000	-1.346350	206.826998	1.311282	2.929703	0.980000	2.000000
5.400000	-1.265937	207.113809	1.283624	3.027703	0.980000	2.000000
5.500000	-1.174496	207.407599	1.254624	3.125703	0.980000	2.000000
5.600000	-1.071113	207.707819	1.224006	3.223703	0.980000	2.000000
5.700000	-0.954792	208.013794	1.191430	3.321703	0.980000	2.000000
5.800000	-0.824412	208.324709	1.156508	3.419703	0.980000	2.000000
5.900000	-0.678723	208.639580	1.118865	3.517703	0.980000	2.000000
6.000000	-0.516371	208.957225	1.078205	3.615703	0.980000	2.000000
6.100000	-0.335936	209.276247	1.034322	3.713703	0.980000	2.000000
6.200000	-0.138708	209.590868	0.987740	3.713703	0.000000	4.000000
6.300000	0.073282	209.895734	0.939036	3.713703	0.000000	4.000000
6.400000	0.300187	210.189661	0.888121	3.713703	0.000000	4.000000
6.500000	0.542084	210.471373	0.834884	3.713703	0.000000	4.000000
6.600000	0.798948	210.739502	0.779282	3.713703	0.000000	4.000000
6.700000	1.070607	210.992622	0.721403	3.713703	0.000000	4.000000
6.800000	1.356699	211.229300	0.661514	3.713703	0.000000	4.000000
6.900000	1.656623	211.448181	0.600083	3.713703	0.000000	4.000000
7.000000	1.969516	211.648078	0.537788	3.713703	0.000000	4.000000
7.100000	2.294259	211.828087	0.475507	3.713703	0.000000	4.000000
7.200000	2.629507	211.987686	0.414285	3.713703	0.000000	4.000000
