time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	-10.826553	2.627423	20.740375	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	0
0.1	-21.056458	-7.502482	20.740375	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	0
0.2	-10.477235	2.356585	20.989830	15.404745	19.000000	0.000000	0	0	0	1	0	0	0	0
0.3	-19.746140	-7.812318	20.989825	15.404745	18.000000	0.000000	0	0	0	1	0	0	0	0
0.4	-18.991729	-7.957905	20.989820	15.404745	17.000000	0.000000	0	0	0	1	0	0	0	0
0.5	-18.336260	-8.202435	20.989819	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	0
0.6	-19.232617	0.000000	20.989675	15.483276	15.000000	0.000000	0	0	0	1	0	0	0	0
0.7	-18.427980	0.000000	20.989204	14.133276	14.000000	0.000000	0	0	0	1	0	0	0	0
0.8	-18.649828	0.000000	20.671624	12.933276	14.000000	0.000000	0	0	0	1	0	0	0	0
0.9	-17.833019	0.000000	20.444807	11.733276	13.000000	0.000000	0	0	0	1	0	0	0	0
1.0	-16.987203	0.000000	20.444583	10.683276	12.000000	0.000000	0	0	0	1	0	0	0	0
1.1	-16.103680	0.000000	20.443634	9.633276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.2	933.893523	0.000000	9649.499493	8.733276	11.000000	0.000000	0	0	0	0	0	0	0	1
1.3	29838.291457	29322.268680	3169.148993	2449.848484	30.000000	0.000000	1	0	1	0	1	0	0	0
1.4	-5.777173	0.000000	20.499743	7.083276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.5	914.928965	0.000000	9669.301469	6.333305	9.000000	0.000000	0	0	0	1	0	0	0	1
1.6	-15.052844	0.000000	21.066823	5.584777	9.000000	0.000000	0	0	0	1	0	0	0	0
1.7	-14.214112	0.000000	21.066046	4.835760	8.000000	0.000000	0	0	0	1	0	0	0	0
1.8	-14.416351	0.000000	21.062522	4.236415	8.000000	0.000000	0	0	0	1	0	0	0	0
1.9	-14.596156	0.000000	21.061683	3.630526	8.000000	0.000000	0	0	0	1	0	0	0	0
