time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	544.389241	-9.250000	2421.271468	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	566.915857	0.630000	2448.236077	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-13.747432	0.512210	1.349834	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-22.963022	-9.603380	1.349834	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	-22.178612	-9.718970	1.349834	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.5	-22.385956	-9.834560	1.433214	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.601546	-9.950150	1.433214	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-20.794527	0.000000	1.432171	15.033276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.8	998.808834	546.718857	2441.619097	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
0.9	986.970936	536.179206	2427.822662	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	976.766084	536.868968	2408.362209	2449.848484	33.000000	0.000000	1	0	0	0	0	0	0	0
1.1	671.465219	0.000000	2423.292532	4686.335178	32.000000	0.000000	1	0	0	0	0	0	0	0
1.2	-5.795398	0.000000	26.637886	9.633276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.3	-15.967493	0.000000	26.637427	8.583276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.4	-15.120092	0.000000	26.358333	7.533276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.5	-15.363914	0.000000	25.719813	6.783276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.6	-14.452712	0.000000	25.612581	5.784713	9.000000	0.000000	0	0	0	1	0	0	0	0
1.7	-14.574891	0.000000	25.613259	5.285657	9.000000	0.000000	0	0	0	1	0	0	0	0
1.8	-13.633777	0.000000	25.613225	4.685687	8.000000	0.000000	0	0	0	1	0	0	0	0
1.9	1035.632669	0.000000	10911.089431	4.086471	8.000000	0.000000	0	0	0	0	0	0	0	1
2.0	-16.086731	0.000000	0.946818	3.630526	8.000000	0.000000	0	0	0	0	0	0	0	0
2.1	-15.227716	0.000000	0.945809	3.195889	7.000000	0.000000	0	0	0	0	0	0	0	0
2.3	-15.666864	0.000000	0.921289	1.904397	7.000000	0.000000	0	0	0	0	0	0	0	0
2.4	-14.815275	0.000000	0.868362	1.475677	6.000000	0.000000	0	0	0	0	0	0	0	0
2.5	-14.965777	0.000000	0.788499	0.993777	6.000000	0.000000	0	0	0	0	0	0	0	0
2.6	-15.109706	0.000000	0.688348	0.730750	6.000000	0.000000	0	0	0	0	0	0	0	0
2.7	-15.236762	0.000000	0.570425	0.449167	6.000000	0.000000	0	0	0	0	0	0	0	0
2.8	-15.353730	0.000000	0.441958	0.431662	6.000000	0.000000	0	0	0	0	0	0	0	0
2.9	-15.470146	0.000000	0.316938	0.392322	6.000000	0.000000	0	0	0	0	0	0	0	0
3.0	-15.579545	0.000000	0.224363	0.328881	6.000000	0.000000	0	0	0	0	0	0	0	0
3.1	483.925941	0.000000	10910.294049	0.209479	6.000000	0.000000	0	0	0	0	0	0	0	1
4.1	237.148706	274.369694	15.627288	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.2	226.599974	263.922543	15.627288	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.3	226.902906	264.326244	15.627288	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.4	225.835316	263.358916	15.627288	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.5	225.643913	263.267556	15.627288	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.6	226.312838	264.036598	15.627288	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.7	225.299159	263.123004	15.627288	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.8	225.221855	263.145715	15.627288	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.9	226.016849	264.040752	15.627288	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.0	209.770895	245.652564	15.627288	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.1	200.064958	236.046664	15.627288	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.2	200.219655	236.301385	15.627288	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.3	197.948029	234.129770	15.627288	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.4	197.642326	233.924070	15.627288	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.5	200.506516	235.888276	15.627288	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.6	199.693139	235.174927	15.627288	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.7	198.649063	234.230885	15.627288	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.8	190.382593	225.422805	15.627288	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.9	189.733669	223.873911	15.627288	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
