time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.600000	1.570796	8.000000	0.000000	4.000000
0.300000	-1.750000	192.400000	1.570796	8.000000	0.000000	4.000000
0.400000	-1.750000	193.200000	1.570796	8.000000	0.000000	4.000000
0.500000	-1.750000	194.004903	1.570796	8.098000	0.980000	2.000000
0.600000	-1.750000	194.819613	1.570796	8.196000	0.980000	2.000000
0.700000	-1.749748	195.609767	1.569639	7.608000	-5.880000	1.000000
0.800000	-1.747825	196.341036	1.566569	7.020000	-5.880000	1.000000
0.900000	-1.743785	197.043024	1.563640	7.020000	0.000000	4.000000
1.000000	-1.738214	197.729834	1.562002	6.717413	-3.025865	7.000000
1.100000	-1.732402	198.386330	1.562189	6.414829	-3.025850	7.000000
1.200000	-1.727528	199.012586	1.564091	6.112248	-3.025809	7.000000
1.300000	-1.724419	199.608657	1.567247	5.809670	-3.025771	7.000000
1.400000	-1.723462	200.174382	1.571010	5.507094	-3.025762	7.000000
1.500000	-1.724573	200.709833	1.574661	5.204525	-3.025694	7.000000
1.600000	-1.727288	201.215118	1.577521	4.901964	-3.025608	7.000000
1.700000	-1.730893	201.690039	1.578996	4.599406	-3.025583	7.000000
1.800000	-1.734529	202.134635	1.578635	4.296859	-3.025469	7.000000
1.900000	-1.737339	202.549066	1.576165	3.994332	-3.025269	7.000000
2.000000	-1.738570	202.933225	1.571472	3.691819	-3.025134	7.000000
2.100000	-1.737643	203.286954	1.564604	3.389325	-3.024940	7.000000
2.200000	-1.734253	203.610455	1.555794	3.086882	-3.024424	7.000000
2.300000	-1.728369	203.903847	1.545402	2.784495	-3.023870	7.000000
2.400000	-1.720173	204.166483	1.533874	2.482135	-3.023600	7.000000
2.500000	-1.710160	204.398656	1.521751	2.179943	-3.021927	7.000000
2.600000	-1.699003	204.601119	1.509636	1.878023	-3.019200	7.000000
2.700000	-1.687479	204.772263	1.498151	1.576168	-3.018549	7.000000
2.800000	-1.676494	204.912087	1.487844	1.275172	-3.009953	7.000000
2.900000	-1.666833	205.022239	1.479413	0.976729	-2.984436	7.000000
3.000000	-1.659313	205.100906	1.473224	0.682010	-2.947192	7.000000
3.100000	-1.655789	205.135326	1.469489	0.401210	-2.807994	7.000000
3.200000	-1.653656	205.155776	1.467270	0.234353	-1.668571	7.000000
3.300000	-1.652375	205.167926	1.465951	0.135204	-0.991487	7.000000
3.400000	-1.650960	205.181372	1.465951	0.135204	0.000000	4.000000
3.500000	-1.649545	205.194818	1.465951	0.135204	0.000000	4.000000
3.600000	-1.648130	205.208265	1.465951	0.135204	0.000000	4.000000
3.700000	-1.646715	205.221711	1.465951	0.135204	0.000000	4.000000
3.800000	-1.645301	205.235157	1.465951	0.135204	0.000000	4.000000
3.900000	-1.643886	205.248603	1.465951	0.135204	0.000000	4.000000
4.000000	-1.642471	205.262049	1.465951	0.135204	0.000000	4.000000
4.100000	-1.641056	205.275496	1.465951	0.135204	0.000000	4.000000
4.200000	-1.636067	205.320914	1.461785	0.429204	2.940000	0.000000
4.300000	-1.628656	205.385890	1.455823	0.723204	2.940000	0.000000
4.400000	-1.618059	205.474118	1.447722	1.017204	2.940000	0.000000
4.500000	-1.602940	205.590676	1.437006	1.311204	2.940000	0.000000
4.600000	-1.582209	205.736440	1.423581	1.605204	2.940000	0.000000
4.700000	-1.554915	205.910304	1.407530	1.899204	2.940000	0.000000
4.800000	-1.519729	206.112005	1.388846	2.193204	2.940000	0.000000
4.900000	-1.474720	206.342188	1.367423	2.487204	2.940000	0.000000
5.000000	-1.418211	206.599920	1.343281	2.781204	2.940000	0.000000
5.100000	-1.348286	206.884366	1.316407	3.075204	2.940000	0.000000
5.200000	-1.262446	207.195156	1.286698	3.369204	2.940000	0.000000
5.300000	-1.158217	207.531239	1.254071	3.663204	2.940000	0.000000
5.400000	-1.036394	207.881953	1.219349	3.761204	0.980000	2.000000
5.500000	-0.898739	208.237266	1.183329	3.859204	0.980000	2.000000
5.600000	-0.744306	208.596280	1.145930	3.957204	0.980000	2.000000
5.700000	-0.572137	208.957988	1.107084	4.055204	0.980000	2.000000
5.800000	-0.381177	209.321271	1.066732	4.153204	0.980000	2.000000
5.900000	-0.170497	209.684872	1.024846	4.251204	0.980000	2.000000
6.000000	0.060791	210.047413	0.981420	4.349204	0.980000	2.000000
6.100000	0.313511	210.407397	0.936475	4.447204	0.980000	2.000000
6.200000	0.588399	210.763214	0.890063	4.545204	0.980000	2.000000
6.300000	0.886081	211.113152	0.842258	4.643204	0.980000	2.000000
6.400000	1.207049	211.455410	0.793157	4.741204	0.980000	2.000000
6.500000	1.548021	211.784766	0.743394	4.741204	0.000000	4.000000
