time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.585269	1.570796	7.706000	-2.940000	3.000000
0.300000	-1.750000	192.360784	1.570796	7.804000	0.980000	2.000000
0.400000	-1.750000	193.146094	1.570796	7.902000	0.980000	2.000000
0.500000	-1.750000	193.941197	1.570796	8.000000	0.980000	2.000000
0.600000	-1.750000	194.746101	1.570796	8.098000	0.980000	2.000000
0.700000	-1.749831	195.526399	1.569905	7.510000	-5.880000	1.000000
0.800000	-1.748139	196.262735	1.566926	7.218069	-2.919311	7.000000
0.900000	-1.744296	196.969915	1.563904	6.926140	-2.919290	7.000000
1.000000	-1.738927	197.647854	1.562104	6.634212	-2.919283	7.000000
1.100000	-1.732998	198.316172	1.562059	6.732212	0.980000	2.000000
1.200000	-1.727872	198.959781	1.563894	6.144212	-5.880000	1.000000
1.300000	-1.724636	199.559032	1.567097	5.841055	-3.031561	7.000000
1.400000	-1.723620	200.127873	1.570978	5.537900	-3.031559	7.000000
1.500000	-1.724752	200.666373	1.574743	5.234750	-3.031496	7.000000
1.600000	-1.727544	201.174635	1.577669	4.931609	-3.031408	7.000000
1.700000	-1.731248	201.652504	1.579161	4.628472	-3.031372	7.000000
1.800000	-1.734979	202.099977	1.578789	4.325345	-3.031269	7.000000
1.900000	-1.737870	202.517210	1.576309	4.022238	-3.031072	7.000000
2.000000	-1.739169	202.904155	1.571636	3.719146	-3.030919	7.000000
2.100000	-1.738303	203.260595	1.564828	3.416070	-3.030758	7.000000
2.200000	-1.734973	203.586726	1.556114	3.113044	-3.030261	7.000000
2.300000	-1.729152	203.882753	1.545842	2.810075	-3.029685	7.000000
2.400000	-1.721012	204.147948	1.534431	2.507123	-3.029524	7.000000
2.500000	-1.711033	204.382585	1.522396	2.204327	-3.027961	7.000000
2.600000	-1.699880	204.587368	1.510325	1.901802	-3.025250	7.000000
2.700000	-1.688317	204.760963	1.498835	1.599388	-3.024144	7.000000
2.800000	-1.677244	204.903137	1.488477	1.297741	-3.016466	7.000000
2.900000	-1.667462	205.015341	1.479929	0.998506	-2.992355	7.000000
3.000000	-1.659728	205.096769	1.473662	0.703139	-2.953670	7.000000
3.100000	-1.656103	205.132241	1.469817	0.418935	-2.842032	7.000000
3.200000	-1.653882	205.153573	1.467505	0.247995	-1.709401	7.000000
3.300000	-1.652532	205.166402	1.466114	0.145181	-1.028143	7.000000
3.400000	-1.651015	205.180840	1.466114	0.145181	0.000000	4.000000
3.500000	-1.649498	205.195279	1.466114	0.145181	0.000000	4.000000
3.600000	-1.647981	205.209717	1.466114	0.145181	0.000000	4.000000
3.700000	-1.646463	205.224156	1.466114	0.145181	0.000000	4.000000
3.800000	-1.644946	205.238595	1.466114	0.145181	0.000000	4.000000
3.900000	-1.643429	205.253033	1.466114	0.145181	0.000000	4.000000
4.000000	-1.638386	205.299038	1.461933	0.439181	2.940000	0.000000
4.100000	-1.630903	205.364755	1.455957	0.733181	2.940000	0.000000
4.200000	-1.620221	205.453821	1.447853	1.027181	2.940000	0.000000
4.300000	-1.604983	205.571408	1.437140	1.321181	2.940000	0.000000
4.400000	-1.584137	205.718152	1.423747	1.615181	2.940000	0.000000
4.500000	-1.556730	205.892979	1.407753	1.909181	2.940000	0.000000
4.600000	-1.521417	206.095696	1.389145	2.203181	2.940000	0.000000
4.700000	-1.476297	206.326878	1.367823	2.497181	2.940000	0.000000
4.800000	-1.419698	206.585603	1.343805	2.791181	2.940000	0.000000
4.900000	-1.349713	206.871047	1.317077	3.085181	2.940000	0.000000
5.000000	-1.263838	207.182869	1.287531	3.379181	2.940000	0.000000
5.100000	-1.159628	207.520000	1.255085	3.673181	2.940000	0.000000
5.200000	-1.037871	207.871790	1.220550	3.771181	0.980000	2.000000
5.300000	-0.900320	208.228211	1.184712	3.869181	0.980000	2.000000
5.400000	-0.746028	208.588369	1.147487	3.967181	0.980000	2.000000
5.500000	-0.574019	208.951261	1.108802	4.065181	0.980000	2.000000
5.600000	-0.383243	209.315770	1.068592	4.163181	0.980000	2.000000
5.700000	-0.172761	209.680639	1.026824	4.261181	0.980000	2.000000
5.800000	0.058329	210.044490	0.983487	4.359181	0.980000	2.000000
5.900000	0.310865	210.405821	0.938598	4.457181	0.980000	2.000000
6.000000	0.585600	210.763015	0.892205	4.555181	0.980000	2.000000
6.100000	0.883175	211.114350	0.844386	4.653181	0.980000	2.000000
6.200000	1.204099	211.458015	0.795246	4.751181	0.980000	2.000000
6.300000	1.545105	211.788769	0.745424	4.751181	0.000000	4.000000
