time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.570489	1.570796	7.412000	-5.880000	1.000000
0.300000	-1.750000	192.311689	1.570796	7.412000	0.000000	4.000000
0.400000	-1.750000	193.052889	1.570796	7.412000	0.000000	4.000000
0.500000	-1.750000	193.794089	1.570796	7.412000	0.000000	4.000000
0.600000	-1.750000	194.535289	1.570796	7.412000	0.000000	4.000000
0.700000	-1.749972	195.274565	1.570528	7.311406	-2.696667	7.000000
0.800000	-1.749023	195.992182	1.568135	7.041741	-2.696654	7.000000
0.900000	-1.746115	196.682842	1.565050	6.772077	-2.696642	7.000000
1.000000	-1.741462	197.346476	1.562717	6.502413	-2.696635	7.000000
1.100000	-1.735791	198.001621	1.561847	6.600413	0.980000	2.000000
1.200000	-1.730345	198.632065	1.562757	6.012413	-5.880000	1.000000
1.300000	-1.726356	199.203691	1.565076	5.424413	-5.880000	1.000000
1.400000	-1.724174	199.716584	1.568113	4.836413	-5.880000	1.000000
1.500000	-1.723665	200.170421	1.571234	4.248413	-5.880000	1.000000
1.600000	-1.724542	200.610131	1.574286	4.542413	2.940000	0.000000
1.700000	-1.726700	201.049472	1.577013	4.248413	-2.940000	3.000000
1.800000	-1.729660	201.459516	1.578866	3.954413	-2.940000	3.000000
1.900000	-1.732895	201.840074	1.579520	3.660413	-2.940000	3.000000
2.000000	-1.735904	202.195887	1.578771	3.460199	-2.002139	7.000000
2.100000	-1.738236	202.531671	1.576501	3.259999	-2.002002	7.000000
2.200000	-1.739470	202.847514	1.572695	3.059815	-2.001840	7.000000
2.300000	-1.739288	203.143440	1.567424	2.859644	-2.001717	7.000000
2.400000	-1.737460	203.419132	1.560814	2.659476	-2.001671	7.000000
2.500000	-1.733910	203.674640	1.553059	2.459338	-2.001383	7.000000
2.600000	-1.728696	203.910057	1.544395	2.259253	-2.000848	7.000000
2.700000	-1.721992	204.125555	1.535087	2.059239	-2.000140	7.000000
2.800000	-1.714060	204.321209	1.525416	1.859286	-1.999537	7.000000
2.900000	-1.705214	204.496265	1.515653	1.659357	-1.999283	7.000000
3.000000	-1.695872	204.650779	1.506070	1.459618	-1.997396	7.000000
3.100000	-1.686491	204.784971	1.497024	1.260308	-1.993102	7.000000
3.200000	-1.677518	204.899444	1.488874	1.061732	-1.985751	7.000000
3.300000	-1.669322	204.994955	1.481830	0.864046	-1.976865	7.000000
3.400000	-1.662553	205.067510	1.475913	0.666805	-1.972406	7.000000
3.500000	-1.655043	205.143373	1.468523	0.272324	-1.972406	7.000000
3.600000	-1.652262	205.170463	1.468523	0.272324	0.000000	4.000000
3.700000	-1.650919	205.183285	1.464285	0.010000	-2.940000	3.000000
3.800000	-1.650919	205.183285	1.464285	0.010000	-2.940000	3.000000
3.900000	-1.650919	205.183285	1.464285	0.010000	-2.940000	3.000000
4.000000	-1.650919	205.183285	1.464285	0.010000	-2.940000	3.000000
4.100000	-1.650919	205.183285	1.464285	0.010000	-2.940000	3.000000
4.200000	-1.650919	205.183285	1.464285	0.010000	-2.940000	3.000000
4.300000	-1.650919	205.183285	1.464285	0.010000	-2.940000	3.000000
4.400000	-1.650919	205.183285	1.464285	0.010000	-2.940000	3.000000
4.500000	-1.650919	205.183285	1.464285	0.010000	-2.940000	3.000000
4.600000	-1.650919	205.183285	1.464285	0.010000	-2.940000	3.000000
4.700000	-1.646615	205.221889	1.460771	0.304000	2.940000	0.000000
4.800000	-1.640164	205.277962	1.455663	0.598000	2.940000	0.000000
4.900000	-1.630790	205.355921	1.448559	0.892000	2.940000	0.000000
5.000000	-1.617571	205.459339	1.439125	1.186000	2.940000	0.000000
5.100000	-1.598963	205.592808	1.426930	1.480000	2.940000	0.000000
5.200000	-1.574174	205.754726	1.412104	1.774000	2.940000	0.000000
5.300000	-1.542092	205.944385	1.394687	2.068000	2.940000	0.000000
5.400000	-1.500939	206.162469	1.374576	2.362000	2.940000	0.000000
5.500000	-1.449003	206.408458	1.351762	2.656000	2.940000	0.000000
5.600000	-1.384484	206.681499	1.326246	2.950000	2.940000	0.000000
5.700000	-1.307901	206.971445	1.298872	3.048000	0.980000	2.000000
5.800000	-1.220441	207.268570	1.270401	3.146000	0.980000	2.000000
5.900000	-1.121294	207.572357	1.240629	3.244000	0.980000	2.000000
6.000000	-1.009562	207.882200	1.209245	3.342000	0.980000	2.000000
6.100000	-0.884226	208.197371	1.175844	3.440000	0.980000	2.000000
6.200000	-0.744126	208.516988	1.140014	3.538000	0.980000	2.000000
6.300000	-0.587979	208.839986	1.101404	3.636000	0.980000	2.000000
6.400000	-0.414406	209.165095	1.059751	3.734000	0.980000	2.000000
6.500000	-0.221986	209.490825	1.014890	3.832000	0.980000	2.000000
6.600000	-0.009312	209.815453	0.966768	3.930000	0.980000	2.000000
6.700000	0.224946	210.137032	0.915455	4.028000	0.980000	2.000000
6.800000	0.482071	210.453379	0.861136	4.126000	0.980000	2.000000
6.900000	0.763045	210.762147	0.804145	4.224000	0.980000	2.000000
7.000000	1.068520	211.060898	0.744952	4.322000	0.980000	2.000000
7.100000	1.398796	211.347177	0.684107	4.420000	0.980000	2.000000
7.200000	1.753811	211.618585	0.622186	4.518000	0.980000	2.000000
7.300000	2.133144	211.872857	0.559776	4.616000	0.980000	2.000000
