time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	538.232659	-9.250000	2359.396126	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	455.891084	1.981148	2444.702126	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-13.629162	0.514427	1.267883	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-22.840342	-9.596753	1.267883	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	-22.051522	-9.707933	1.267883	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.5	-22.262702	-9.819113	1.267883	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.439769	-9.930293	1.612828	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-20.629423	0.000000	1.612716	15.333276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.8	-20.858331	0.000000	1.612856	13.904745	15.000000	0.000000	0	0	0	0	0	0	0	0
0.9	-20.041354	0.000000	1.612751	13.233276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.0	981.118575	543.016049	2397.547138	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.1	-7.255001	0.000000	15.072853	11.053213	12.000000	0.000000	0	0	0	1	0	0	0	0
1.2	-17.348064	0.000000	15.071514	10.233276	12.000000	0.000000	0	0	0	1	0	0	0	0
1.3	-16.404837	0.000000	15.071754	9.333276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.4	959.321046	0.000000	10005.324127	8.583276	11.000000	0.000000	0	0	0	1	0	0	0	1
1.5	10865.945761	10419.882351	2455.330790	2449.848484	30.000000	0.000000	1	0	1	0	1	0	0	0
1.6	965.469182	0.000000	9991.081964	7.233276	10.000000	0.000000	0	0	0	0	0	0	0	1
1.7	-16.351742	0.000000	0.699542	6.633276	9.000000	0.000000	0	0	0	0	0	0	0	0
1.8	-16.476624	0.000000	0.699068	6.033609	9.000000	0.000000	0	0	0	0	0	0	0	0
1.9	948.542897	0.000000	9991.474707	5.435247	9.000000	0.000000	0	0	0	0	0	0	0	1
2.0	-15.716668	0.000000	1.197755	4.607386	8.000000	0.000000	0	0	0	0	0	0	0	0
2.1	-15.847254	0.000000	1.196526	4.386100	8.000000	0.000000	0	0	0	0	0	0	0	0
2.2	918.527771	0.000000	9991.469141	3.935861	8.000000	0.000000	0	0	0	0	0	0	0	1
2.3	-15.142897	0.000000	1.194198	3.474400	7.000000	0.000000	0	0	0	0	0	0	0	0
2.4	913.785513	0.000000	9991.466690	2.988747	7.000000	0.000000	0	0	0	0	0	0	0	1
2.5	-15.434411	0.000000	1.191074	2.649323	7.000000	0.000000	0	0	0	0	0	0	0	0
2.6	-15.575534	0.000000	1.188674	2.102109	7.000000	0.000000	0	0	0	0	0	0	0	0
2.7	868.030916	0.000000	9991.419169	1.696238	6.000000	0.000000	0	0	0	0	0	0	0	1
2.8	-14.876169	0.000000	1.058436	1.241750	6.000000	0.000000	0	0	0	0	0	0	0	0
2.9	845.670838	0.000000	9991.216194	0.615246	6.000000	0.000000	0	0	0	0	0	0	0	1
3.0	-15.176973	0.000000	0.802163	0.451422	6.000000	0.000000	0	0	0	0	0	0	0	0
3.1	-15.292675	0.000000	0.641500	0.329765	6.000000	0.000000	0	0	0	0	0	0	0	0
3.2	696.624326	0.000000	9990.749925	0.312260	6.000000	0.000000	0	0	0	0	0	0	0	1
3.3	-15.529261	0.000000	0.325429	0.272920	6.000000	0.000000	0	0	0	0	0	0	0	0
3.6	122.967411	0.000000	19993.124794	0.238804	6.000000	0.000000	0	0	0	0	1	0	0	2
4.6	1226.966492	1263.900260	28.666196	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.7	222.620677	258.656111	28.666196	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.8	221.921373	258.057629	28.666196	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.9	222.001563	258.238116	28.666196	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.0	221.841131	258.177711	28.666196	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.1	222.404205	258.840901	28.666196	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.2	221.533406	258.070192	28.666196	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.3	221.499065	258.135873	28.666196	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.4	221.088527	257.825375	28.666196	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.5	222.423578	258.260476	28.666196	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.6	206.395523	241.193444	28.666196	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.7	196.171982	231.069900	28.666196	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.8	195.606940	230.604871	28.666196	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.9	197.207301	232.305257	28.666196	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
6.0	67.850426	43.540836	28.666196	504.901058	33.000000	0.000000	0	0	1	0	0	0	0	0
6.1	66.522076	42.312513	28.666196	504.901058	33.000000	0.000000	0	0	1	0	0	0	0	0
6.2	57.600051	43.338264	28.666196	504.901058	33.000000	0.000000	0	0	1	0	0	0	0	0
6.3	58.313848	43.152084	28.666196	504.901058	32.000000	0.000000	0	0	1	0	0	0	0	0
6.4	59.284170	44.222425	28.666196	504.901058	32.000000	0.000000	0	0	1	0	0	0	0	0
6.5	57.993635	43.031905	28.666196	504.901058	32.000000	0.000000	0	0	1	0	0	0	0	0
6.6	57.647922	42.786199	28.666196	504.901058	32.000000	0.000000	0	0	1	0	0	0	0	0
6.7	58.378902	42.617177	28.666196	504.901058	31.000000	0.000000	0	0	1	0	0	0	0	0
6.8	58.051789	42.390068	28.666196	504.901058	31.000000	0.000000	0	0	1	0	0	0	0	0
6.9	33.285222	0.000000	45.742938	659.786710	31.000000	0.000000	0	0	1	0	0	0	0	0
7.0	-14.582523	0.000000	45.808092	168.534879	30.000000	0.000000	0	0	1	0	0	0	0	0
7.1	-25.510648	6.138981	28.666196	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
7.2	-26.084600	5.665046	28.666196	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
7.3	-40.104697	-0.375088	28.666196	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
