time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	462.456679	3.157884	2492.254155	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	452.194149	-7.004697	2492.253374	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	864.908396	634.645686	2520.544212	258.101642	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	878.901684	487.792969	2532.191181	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	864.506335	633.774313	2517.483626	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	879.612901	276.821646	2447.844986	3951.800330	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	856.472321	471.756637	2457.569618	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	868.677797	483.083173	2455.427764	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	1014.781180	572.302237	2456.237560	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	662.646023	0.000000	2453.770339	4609.670321	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	-7.974979	0.000000	2.283648	27.976288	14.000000	0.000000	0	0	0	0	0	0	0	0
1.1	-18.138469	0.000000	2.282044	27.033263	14.000000	0.000000	0	0	0	0	0	0	0	0
1.2	-17.246525	0.000000	1.996495	26.428184	13.000000	0.000000	0	0	0	0	0	0	0	0
1.3	-17.420365	0.000000	1.359105	25.678184	13.000000	0.000000	0	0	0	0	0	0	0	0
1.4	16165.612800	15771.093193	2509.356937	1874.833062	32.000000	0.000000	1	0	1	0	1	0	0	0
1.5	-6.941035	0.000000	1.698237	22.533263	12.000000	0.000000	0	0	0	0	0	0	0	0
1.6	943.596105	0.000000	9714.696483	20.578184	11.000000	0.000000	0	0	0	0	0	1	0	1
1.7	22887.853911	22492.566729	2507.603227	1874.833062	31.000000	0.000000	1	0	1	0	1	0	0	0
1.8	-5.802087	0.000000	2.164610	16.683263	10.000000	0.000000	0	0	0	0	0	0	0	0
1.9	960.868137	508.196561	2521.935533	2449.848484	30.000000	0.000000	1	0	1	0	1	0	0	0
2.0	950.376712	497.805174	2521.935231	2449.848484	30.000000	0.000000	1	0	1	0	1	0	0	0
2.1	976.521191	496.897414	2484.701689	2797.999482	39.000000	0.000000	1	0	1	0	0	0	0	0
2.2	-4.163976	0.000000	27.918203	8.735239	9.000000	0.000000	0	0	0	1	0	0	0	0
2.3	-13.482208	0.000000	26.762637	6.485678	8.000000	0.000000	0	0	0	1	0	0	0	0
2.4	-13.773293	0.000000	25.591918	4.686462	8.000000	0.000000	0	0	0	1	0	0	0	0
2.5	-13.960010	0.000000	24.831230	3.630526	8.000000	0.000000	0	0	0	1	0	0	0	0
2.6	-12.902031	0.000000	24.629325	3.153421	7.000000	0.000000	0	0	0	1	0	0	0	0
4.8	907.592615	945.837843	15.512529	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.9	190.376375	228.723265	15.512529	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.0	190.111601	228.559306	15.512529	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.1	191.842397	230.390391	15.512529	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
