time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.804903	1.570796	8.098000	0.980000	2.000000
0.200000	-1.750000	191.619613	1.570796	8.196000	0.980000	2.000000
0.300000	-1.750000	192.444126	1.570796	8.294000	0.980000	2.000000
0.400000	-1.750000	193.278441	1.570796	8.392000	0.980000	2.000000
0.500000	-1.750000	194.122558	1.570796	8.490000	0.980000	2.000000
0.600000	-1.750000	194.976467	1.570796	8.588000	0.980000	2.000000
0.700000	-1.749448	195.807687	1.568907	8.018795	-5.880000	1.000000
0.800000	-1.746686	196.580056	1.565494	7.430795	-5.880000	1.000000
0.900000	-1.741781	197.307016	1.562818	7.109998	-3.207974	7.000000
1.000000	-1.735788	198.001933	1.561834	6.789203	-3.207949	7.000000
1.100000	-1.730062	198.664700	1.562785	6.468409	-3.207941	7.000000
1.200000	-1.725643	199.316454	1.565501	6.566409	0.980000	2.000000
1.300000	-1.723524	199.943527	1.569493	5.978409	-5.880000	1.000000
1.400000	-1.723974	200.511750	1.573671	5.390409	-5.880000	1.000000
1.500000	-1.726339	201.021272	1.577071	4.802409	-5.880000	1.000000
1.600000	-1.729671	201.471687	1.579095	4.214409	-5.880000	1.000000
1.700000	-1.733455	201.907978	1.579558	4.508409	2.940000	0.000000
1.800000	-1.736907	202.329079	1.578113	3.920409	-5.880000	1.000000
1.900000	-1.739095	202.707496	1.574727	3.651433	-2.689762	7.000000
2.000000	-1.737962	203.383807	1.561940	3.113480	-2.689762	7.000000
2.100000	-1.734027	203.681648	1.552914	2.844555	-2.689255	7.000000
2.200000	-1.727798	203.952170	1.542627	2.575635	-2.689196	7.000000
2.300000	-1.719565	204.195526	1.531548	2.306805	-2.688299	7.000000
2.400000	-1.709810	204.412080	1.520160	2.038144	-2.686609	7.000000
2.500000	-1.688166	204.764578	1.498157	1.500823	-2.686609	7.000000
2.600000	-1.677666	204.898744	1.488415	1.232926	-2.678961	7.000000
2.700000	-1.668272	205.006847	1.480348	0.967007	-2.659192	7.000000
2.800000	-1.660716	205.086767	1.474210	0.703316	-2.636908	7.000000
2.900000	-1.653050	205.162990	1.466507	0.175935	-2.636908	7.000000
3.000000	-1.652072	205.172236	1.465495	0.100337	-0.755977	7.000000
3.100000	-1.651488	205.177722	1.464894	0.055477	-0.448599	7.000000
3.200000	-1.650902	205.183238	1.464894	0.055477	0.000000	4.000000
3.300000	-1.650316	205.188755	1.464894	0.055477	0.000000	4.000000
3.400000	-1.649729	205.194271	1.464894	0.055477	0.000000	4.000000
3.500000	-1.649143	205.199788	1.464894	0.055477	0.000000	4.000000
3.600000	-1.648556	205.205305	1.464894	0.055477	0.000000	4.000000
3.700000	-1.647970	205.210821	1.464894	0.055477	0.000000	4.000000
3.800000	-1.647384	205.216338	1.464894	0.055477	0.000000	4.000000
3.900000	-1.642842	205.257301	1.461166	0.349477	2.940000	0.000000
4.000000	-1.636052	205.316521	1.455774	0.643477	2.940000	0.000000
4.100000	-1.626246	205.398159	1.448336	0.937477	2.940000	0.000000
4.200000	-1.612341	205.506414	1.438463	1.231477	2.940000	0.000000
4.300000	-1.592983	205.644376	1.425859	1.525477	2.940000	0.000000
4.400000	-1.567321	205.810646	1.410636	1.819477	2.940000	0.000000
4.500000	-1.534200	206.004592	1.392824	2.113477	2.940000	0.000000
4.600000	-1.491726	206.227099	1.372300	2.407477	2.940000	0.000000
4.700000	-1.438237	206.477385	1.349075	2.701477	2.940000	0.000000
4.800000	-1.374292	206.745007	1.324043	2.799477	0.980000	2.000000
4.900000	-1.301055	207.020345	1.297992	2.897477	0.980000	2.000000
5.000000	-1.217794	207.303002	1.270780	2.995477	0.980000	2.000000
5.100000	-1.123661	207.592540	1.242182	3.093477	0.980000	2.000000
5.200000	-1.017700	207.888430	1.211886	3.191477	0.980000	2.000000
5.300000	-0.898902	208.189985	1.179519	3.289477	0.980000	2.000000
5.400000	-0.766125	208.496373	1.144649	3.387477	0.980000	2.000000
5.500000	-0.618075	208.806575	1.106810	3.485477	0.980000	2.000000
5.600000	-0.453314	209.119342	1.065525	3.583477	0.980000	2.000000
5.700000	-0.270274	209.433154	1.020348	3.681477	0.980000	2.000000
5.800000	-0.070091	209.742065	0.971573	3.681477	0.000000	4.000000
5.900000	0.145376	210.040510	0.919751	3.681477	0.000000	4.000000
6.000000	0.376440	210.327042	0.864999	3.681477	0.000000	4.000000
6.100000	0.623210	210.600155	0.807587	3.681477	0.000000	4.000000
6.200000	0.885546	210.858347	0.747934	3.681477	0.000000	4.000000
6.300000	1.163023	211.100187	0.686602	3.681477	0.000000	4.000000
6.400000	1.454925	211.324400	0.624288	3.681477	0.000000	4.000000
6.500000	1.760255	211.529953	0.561795	3.681477	0.000000	4.000000
6.600000	2.077774	211.716127	0.500008	3.681477	0.000000	4.000000
6.700000	2.406060	211.882592	0.439862	3.681477	0.000000	4.000000
