time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.814727	1.570796	8.294000	2.940000	0.000000
0.200000	-1.750000	191.658876	1.570796	8.588000	2.940000	0.000000
0.300000	-1.750000	192.532412	1.570796	8.882000	2.940000	0.000000
0.400000	-1.750000	193.435317	1.570796	9.176000	2.940000	0.000000
0.500000	-1.750000	194.367653	1.570796	9.470000	2.940000	0.000000
0.600000	-1.749956	195.324223	1.570431	9.464963	-5.880000	1.000000
0.700000	-1.747774	196.285453	1.565472	9.758963	2.940000	0.000000
0.800000	-1.735867	197.231775	1.548493	9.170963	-5.880000	1.000000
0.900000	-1.705407	198.118883	1.524493	8.582963	-5.880000	1.000000
1.000000	-1.660114	198.946439	1.510393	7.994963	-5.880000	1.000000
1.100000	-1.614403	199.715063	1.515820	7.406963	-5.880000	1.000000
1.200000	-1.582707	200.425572	1.539251	6.818963	-5.880000	1.000000
1.300000	-1.572524	201.077768	1.572069	6.230963	-5.880000	1.000000
1.400000	-1.582870	201.671293	1.603934	5.642963	-5.880000	1.000000
1.500000	-1.607138	202.205363	1.626817	5.054963	-5.880000	1.000000
1.600000	-1.636650	202.680275	1.636882	4.466963	-5.880000	1.000000
1.700000	-1.664640	203.105915	1.634123	4.068982	-3.979812	7.000000
1.800000	-1.686778	203.492114	1.620358	3.671044	-3.979374	7.000000
1.900000	-1.700340	203.838585	1.598615	3.273144	-3.979001	7.000000
2.000000	-1.705008	204.145796	1.572711	2.875378	-3.977663	7.000000
2.100000	-1.701930	204.412718	1.546212	2.477676	-3.977023	7.000000
2.200000	-1.693508	204.639509	1.521951	2.080332	-3.973437	7.000000
2.300000	-1.682396	204.826680	1.501729	1.683675	-3.966571	7.000000
2.400000	-1.671112	204.971787	1.486467	1.287787	-3.958881	7.000000
2.500000	-1.655352	205.141296	1.468559	0.496011	-3.958881	7.000000
2.600000	-1.652716	205.166458	1.465998	0.204784	-2.912270	7.000000
2.700000	-1.650574	205.186825	1.465998	0.204784	0.000000	4.000000
2.800000	-1.648432	205.207191	1.465998	0.204784	0.000000	4.000000
2.900000	-1.646290	205.227557	1.465998	0.204784	0.000000	4.000000
3.000000	-1.644147	205.247923	1.465998	0.204784	0.000000	4.000000
3.100000	-1.642005	205.268289	1.465998	0.204784	0.000000	4.000000
3.200000	-1.639863	205.288655	1.465998	0.204784	0.000000	4.000000
3.300000	-1.637721	205.309021	1.465998	0.204784	0.000000	4.000000
3.400000	-1.632262	205.358644	1.461238	0.498784	2.940000	0.000000
3.500000	-1.624199	205.428859	1.454498	0.792784	2.940000	0.000000
3.600000	-1.612752	205.522951	1.445459	1.086784	2.940000	0.000000
3.700000	-1.596339	205.646575	1.433567	1.380784	2.940000	0.000000
3.800000	-1.574022	205.799038	1.418871	1.674784	2.940000	0.000000
3.900000	-1.544724	205.979418	1.401437	1.968784	2.940000	0.000000
4.000000	-1.506857	206.187867	1.381217	2.262784	2.940000	0.000000
4.100000	-1.458498	206.424488	1.358144	2.556784	2.940000	0.000000
4.200000	-1.397837	206.688352	1.332237	2.850784	2.940000	0.000000
4.300000	-1.325352	206.969165	1.304413	2.948784	0.980000	2.000000
4.400000	-1.242272	207.257189	1.275503	3.046784	0.980000	2.000000
4.500000	-1.147681	207.551992	1.245330	3.144784	0.980000	2.000000
4.600000	-1.040700	207.852978	1.213632	3.242784	0.980000	2.000000
4.700000	-0.920354	208.159445	1.180065	3.340784	0.980000	2.000000
4.800000	-0.785542	208.470544	1.144217	3.438784	0.980000	2.000000
4.900000	-0.635030	208.785252	1.105685	3.536784	0.980000	2.000000
5.000000	-0.467476	209.102341	1.064144	3.634784	0.980000	2.000000
5.100000	-0.281474	209.420357	1.019374	3.732784	0.980000	2.000000
5.200000	-0.075611	209.737609	0.971267	3.830784	0.980000	2.000000
5.300000	0.151468	210.052172	0.919843	3.928784	0.980000	2.000000
5.400000	0.400985	210.361897	0.865261	4.026784	0.980000	2.000000
5.500000	0.674055	210.664414	0.807808	4.124784	0.980000	2.000000
5.600000	0.971430	210.957236	0.747936	4.222784	0.980000	2.000000
5.700000	1.293476	211.237850	0.686239	4.320784	0.980000	2.000000
5.800000	1.640164	211.503809	0.623387	4.418784	0.980000	2.000000
5.900000	2.011081	211.752820	0.560064	4.516784	0.980000	2.000000
6.000000	2.405457	211.982827	0.496957	4.614784	0.980000	2.000000
