time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	639.949160	-9.250000	3381.675012	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	-9.790440	2.824087	29.917062	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	0
0.2	-18.975589	-7.261062	29.917062	15.404745	19.000000	0.000000	0	0	0	1	0	0	0	0
0.3	-18.230731	-7.416203	29.917062	15.404745	18.000000	0.000000	0	0	0	1	0	0	0	0
0.4	-17.526940	-7.612411	29.917061	15.404745	17.000000	0.000000	0	0	0	1	0	0	0	0
0.5	-16.950602	-7.936071	29.917061	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	0
0.6	-18.212890	-9.098358	29.917060	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	0
0.7	-18.258161	0.000000	29.914252	14.583276	15.000000	0.000000	0	0	0	1	0	0	0	0
0.8	981.092924	0.000000	10061.451438	13.383276	14.000000	0.000000	0	0	0	1	0	0	0	1
0.9	-16.577661	0.000000	30.202505	12.333276	13.000000	0.000000	0	0	0	1	0	0	0	0
1.0	-16.782657	0.000000	30.203006	11.283276	13.000000	0.000000	0	0	0	1	0	0	0	0
1.1	17101.376653	16562.657783	3411.179946	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.2	-5.360383	0.000000	29.827469	9.333276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.3	966.197653	0.000000	10061.539398	8.433276	11.000000	0.000000	0	0	0	1	0	0	0	1
1.4	-14.644440	0.000000	30.291253	7.533276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.5	-14.867658	0.000000	30.290759	6.783276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.6	-14.016989	0.000000	30.289973	5.655078	9.000000	0.000000	0	0	0	1	0	0	0	0
1.7	-14.246533	0.000000	30.289567	5.285657	9.000000	0.000000	0	0	0	1	0	0	0	0
1.8	-13.384382	0.000000	30.285228	4.535807	8.000000	0.000000	0	0	0	1	0	0	0	0
1.9	-13.582670	0.000000	30.283834	3.935861	8.000000	0.000000	0	0	0	1	0	0	0	0
2.0	-12.743722	0.000000	30.279767	3.315291	7.000000	0.000000	0	0	0	1	0	0	0	0
2.1	-13.005245	0.000000	30.279309	2.820926	7.000000	0.000000	0	0	0	1	0	0	0	0
2.2	-13.240154	0.000000	30.279111	2.291158	7.000000	0.000000	0	0	0	1	0	0	0	0
2.3	-12.437182	0.000000	30.213799	1.696238	6.000000	0.000000	0	0	0	1	0	0	0	0
2.4	-12.571274	0.000000	30.048234	0.863219	6.000000	0.000000	0	0	0	1	0	0	0	0
2.5	-12.887220	0.000000	29.803013	0.395462	6.000000	0.000000	0	0	0	1	0	0	0	0
2.6	-13.483037	0.000000	29.518694	0.449167	6.000000	0.000000	0	0	0	1	0	0	0	0
2.7	-13.673105	0.000000	29.229800	0.392322	6.000000	0.000000	0	0	0	1	0	0	0	0
2.8	483.825107	0.000000	10060.198590	0.328881	6.000000	0.000000	0	0	0	1	0	0	0	1
2.9	-14.739361	0.000000	28.799790	0.238804	6.000000	0.000000	0	0	0	1	0	0	0	0
3.0	-15.491345	0.000000	15.217710	0.238804	6.000000	0.000000	0	0	0	0	1	0	0	0
3.8	333.254532	369.814545	22.985672	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.9	322.448658	359.109772	22.985672	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.0	322.702341	359.463903	22.985672	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.1	322.626929	359.488565	22.985672	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.2	322.219085	359.180822	22.985672	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.3	322.726571	359.788416	22.985672	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.4	321.361374	358.523271	22.985672	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.5	320.994054	358.255974	22.985672	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.6	322.846347	359.208317	22.985672	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
4.7	307.006426	342.290804	22.985672	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
4.8	296.951574	332.335968	22.985672	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
4.9	296.735601	332.219996	22.985672	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.0	296.204223	331.788629	22.985672	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.1	296.389908	331.074337	22.985672	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
5.2	61.773915	38.048562	22.985672	504.901058	33.000000	0.000000	0	0	1	0	0	0	0	0
5.3	61.404307	37.778981	22.985672	504.901058	33.000000	0.000000	0	0	1	0	0	0	0	0
5.4	52.500044	38.820424	22.985672	504.901058	33.000000	0.000000	0	0	1	0	0	0	0	0
5.5	53.116733	38.537137	22.985672	504.901058	32.000000	0.000000	0	0	1	0	0	0	0	0
5.6	53.043879	38.564302	22.985672	504.901058	32.000000	0.000000	0	0	1	0	0	0	0	0
5.7	52.723386	38.343823	22.985672	504.901058	32.000000	0.000000	0	0	1	0	0	0	0	0
5.8	53.379002	38.099447	22.985672	504.901058	31.000000	0.000000	0	0	1	0	0	0	0	0
5.9	53.106586	37.927031	22.985672	504.901058	31.000000	0.000000	0	0	1	0	0	0	0	0
6.0	52.705369	37.625816	22.985672	504.901058	31.000000	0.000000	0	0	1	0	0	0	0	0
6.1	-29.213467	2.821058	22.985672	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
6.2	-29.632554	2.501984	22.985672	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
6.3	-30.044869	2.189685	22.985672	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
6.4	-30.554444	1.780124	22.985672	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
6.5	-45.148447	-4.838825	22.985672	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
