time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.604903	1.570796	8.098000	0.980000	2.000000
0.300000	-1.750000	192.419613	1.570796	8.196000	0.980000	2.000000
0.400000	-1.750000	193.244126	1.570796	8.294000	0.980000	2.000000
0.500000	-1.750000	194.078441	1.570796	8.392000	0.980000	2.000000
0.600000	-1.750000	194.922558	1.570796	8.490000	0.980000	2.000000
0.700000	-1.749560	195.742043	1.569160	7.902000	-5.880000	1.000000
0.800000	-1.747078	196.502708	1.565838	7.314000	-5.880000	1.000000
0.900000	-1.742582	197.204680	1.563113	6.726000	-5.880000	1.000000
1.000000	-1.736859	197.882175	1.561874	6.824000	0.980000	2.000000
1.100000	-1.731141	198.534961	1.562508	6.236000	-5.880000	1.000000
1.200000	-1.726712	199.143894	1.564780	5.943665	-2.923354	7.000000
1.300000	-1.724110	199.743156	1.568297	6.041665	0.980000	2.000000
1.400000	-1.723842	200.317736	1.572412	5.453665	-5.880000	1.000000
1.500000	-1.725842	200.868038	1.576343	5.551665	0.980000	2.000000
1.600000	-1.729591	201.393562	1.579300	4.963665	-5.880000	1.000000
1.700000	-1.733885	201.860170	1.580362	4.375665	-5.880000	1.000000
1.800000	-1.737990	202.312586	1.578936	4.669665	2.940000	0.000000
1.900000	-1.740667	202.749728	1.574415	4.081665	-5.880000	1.000000
2.000000	-1.740805	203.128096	1.567530	3.493665	-5.880000	1.000000
2.100000	-1.738488	203.447484	1.559343	2.905665	-5.880000	1.000000
2.200000	-1.734412	203.707330	1.550953	2.317665	-5.880000	1.000000
2.300000	-1.725328	204.052338	1.537304	1.141665	-5.880000	1.000000
2.400000	-1.719409	204.210471	1.529931	0.175067	-5.880000	1.000000
2.500000	-1.707212	204.467406	1.516342	0.010000	-5.880000	1.000000
2.600000	-1.688769	204.758383	1.498034	0.010000	-5.880000	1.000000
2.700000	-1.688769	204.758383	1.498034	0.010000	-5.880000	1.000000
2.800000	-1.688769	204.758383	1.498034	0.010000	-5.880000	1.000000
2.900000	-1.688769	204.758383	1.498034	0.010000	-5.880000	1.000000
3.000000	-1.688769	204.758383	1.498034	0.010000	-5.880000	1.000000
3.100000	-1.688769	204.758383	1.498034	0.010000	-5.880000	1.000000
3.200000	-1.688769	204.758383	1.498034	0.010000	-5.880000	1.000000
3.300000	-1.688769	204.758383	1.498034	0.010000	-5.880000	1.000000
3.400000	-1.688769	204.758383	1.498034	0.010000	-5.880000	1.000000
3.500000	-1.688769	204.758383	1.498034	0.010000	-5.880000	1.000000
3.600000	-1.688769	204.758383	1.498034	0.010000	-5.880000	1.000000
3.700000	-1.688769	204.758383	1.498034	0.010000	-5.880000	1.000000
3.800000	-1.688769	204.758383	1.498034	0.010000	-5.880000	1.000000
3.900000	-1.685808	204.797114	1.495285	0.304000	2.940000	0.000000
4.000000	-1.681350	204.853380	1.491271	0.598000	2.940000	0.000000
4.100000	-1.674839	204.931631	1.485788	0.892000	2.940000	0.000000
4.200000	-1.665601	205.035480	1.478638	1.186000	2.940000	0.000000
4.300000	-1.652486	205.168478	1.466033	1.480000	2.940000	0.000000
4.400000	-1.634019	205.331295	1.450563	1.774000	2.940000	0.000000
4.500000	-1.609174	205.522037	1.432242	2.068000	2.940000	0.000000
4.600000	-1.576037	205.741480	1.410263	2.362000	2.940000	0.000000
4.700000	-1.532531	205.989098	1.384354	2.656000	2.940000	0.000000
4.800000	-1.476329	206.263966	1.354285	2.950000	2.940000	0.000000
4.900000	-1.404548	206.565337	1.319786	3.244000	2.940000	0.000000
5.000000	-1.313735	206.892311	1.280588	3.538000	2.940000	0.000000
5.100000	-1.203636	207.233755	1.237759	3.636000	0.980000	2.000000
5.200000	-1.075212	207.579192	1.192495	3.734000	0.980000	2.000000
5.300000	-0.927093	207.927304	1.144927	3.832000	0.980000	2.000000
5.400000	-0.757996	208.276614	1.095208	3.930000	0.980000	2.000000
5.500000	-0.566758	208.625494	1.043517	4.028000	0.980000	2.000000
5.600000	-0.352255	208.972162	0.990049	4.126000	0.980000	2.000000
5.700000	-0.113617	209.314712	0.935031	4.224000	0.980000	2.000000
5.800000	0.149787	209.651150	0.878717	4.322000	0.980000	2.000000
5.900000	0.438367	209.979429	0.821381	4.420000	0.980000	2.000000
6.000000	0.752292	210.297484	0.763318	4.518000	0.980000	2.000000
6.100000	1.091482	210.603273	0.704844	4.616000	0.980000	2.000000
6.200000	1.455614	210.894829	0.646287	4.714000	0.980000	2.000000
6.300000	1.844123	211.170303	0.587994	4.812000	0.980000	2.000000
6.400000	2.256226	211.428014	0.530322	4.910000	0.980000	2.000000
6.500000	2.690946	211.666491	0.473636	5.008000	0.980000	2.000000
6.600000	3.147188	211.884470	0.418312	5.106000	0.980000	2.000000
