time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	-11.133133	2.620524	17.710084	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	0
0.1	-21.363004	-7.509347	17.710084	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	0
0.2	-10.782558	2.349789	17.971217	15.404745	19.000000	0.000000	0	0	0	1	0	0	0	0
0.3	-20.051302	-7.818953	17.971212	15.404745	18.000000	0.000000	0	0	0	1	0	0	0	0
0.4	-19.296832	-7.964481	17.971207	15.404745	17.000000	0.000000	0	0	0	1	0	0	0	0
0.5	-18.691202	1.566154	17.696866	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	0
0.6	-19.362419	0.000000	17.695942	15.254745	15.000000	0.000000	0	0	0	1	0	0	0	0
0.7	926.672702	0.000000	9503.008877	14.283276	15.000000	0.000000	0	0	0	1	0	0	0	1
0.8	-18.698658	0.000000	18.031915	13.233276	14.000000	0.000000	0	0	0	1	0	0	0	0
0.9	-17.899883	0.000000	18.031257	12.033276	13.000000	0.000000	0	0	0	1	0	0	0	0
1.0	912.746653	0.000000	9503.007949	10.983276	12.000000	0.000000	0	0	0	1	0	0	0	1
1.1	-17.329693	0.000000	18.031689	9.704745	12.000000	0.000000	0	0	0	1	0	0	0	0
1.2	907.462237	0.000000	9503.007165	9.033276	11.000000	0.000000	0	0	0	1	0	0	0	1
1.3	-15.716178	0.000000	18.030107	8.133276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.4	-15.897553	0.000000	18.031151	7.233276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.5	895.767711	0.000000	9503.007039	6.483276	9.000000	0.000000	0	0	0	1	0	0	0	1
1.6	-15.287850	0.000000	18.030077	5.734316	9.000000	0.000000	0	0	0	1	0	0	0	0
1.7	-14.454549	0.000000	18.028883	4.985916	8.000000	0.000000	0	0	0	1	0	0	0	0
1.8	-14.655520	0.000000	18.025933	4.386100	8.000000	0.000000	0	0	0	1	0	0	0	0
1.9	-14.837921	0.000000	18.025269	3.784099	8.000000	0.000000	0	0	0	1	0	0	0	0
2.0	863.238977	0.000000	9502.997904	3.153421	7.000000	0.000000	0	0	0	1	0	0	0	1
2.1	-14.212913	0.000000	18.021259	2.649323	7.000000	0.000000	0	0	0	1	0	0	0	0
2.2	-14.412533	0.000000	18.015233	2.102109	7.000000	0.000000	0	0	0	1	0	0	0	0
2.3	-13.588746	0.000000	17.927814	1.475677	6.000000	0.000000	0	0	0	1	0	0	0	0
2.4	-13.874999	0.000000	17.751309	0.993777	6.000000	0.000000	0	0	0	1	0	0	0	0
