time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	601.545908	-9.250000	2995.711734	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	-22.363937	-9.370000	24.412017	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	0
0.2	-21.583937	-9.490000	24.412017	15.404745	19.000000	0.000000	0	0	0	1	0	0	0	0
0.3	-20.803937	-9.610000	24.412017	15.404745	18.000000	0.000000	0	0	0	1	0	0	0	0
0.4	-9.057699	1.300257	24.475192	15.404745	17.000000	0.000000	0	0	0	1	0	0	0	0
0.5	-18.273131	-8.815175	24.475192	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	0
0.6	-18.842583	-9.284626	24.475192	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	0
0.7	-18.672718	0.000000	24.473827	14.733276	15.000000	0.000000	0	0	0	1	0	0	0	0
0.8	-17.810264	0.000000	24.433828	13.683276	14.000000	0.000000	0	0	0	1	0	0	0	0
0.9	2064.218362	0.000000	21171.008917	12.633276	13.000000	0.000000	0	0	0	0	0	0	0	2
1.0	2150.147818	1651.509406	3012.480846	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.1	-6.458486	0.000000	24.171788	10.683276	12.000000	0.000000	0	0	0	1	0	0	0	0
1.2	1022.534867	0.000000	10586.069033	9.783276	12.000000	0.000000	0	0	0	0	0	0	0	1
1.3	25266.804838	24766.519495	3007.788284	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	1014.837592	0.000000	10609.739651	8.133276	10.000000	0.000000	0	0	0	1	0	0	0	1
1.5	-15.191896	0.000000	24.782721	7.233276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.6	-14.389498	0.000000	24.782120	6.483276	9.000000	0.000000	0	0	0	1	0	0	0	0
1.7	1001.588950	0.000000	10609.739339	5.734316	9.000000	0.000000	0	0	0	1	0	0	0	1
1.8	-13.712766	0.000000	24.780034	5.016514	8.000000	0.000000	0	0	0	1	0	0	0	0
1.9	-13.912602	0.000000	24.778574	4.386100	8.000000	0.000000	0	0	0	1	0	0	0	0
2.0	-14.083662	0.000000	24.777466	3.784099	8.000000	0.000000	0	0	0	1	0	0	0	0
2.1	-13.330984	0.000000	24.773749	3.315291	7.000000	0.000000	0	0	0	1	0	0	0	0
2.2	974.772687	0.000000	10609.731458	2.442395	7.000000	0.000000	0	0	0	1	0	0	0	1
2.3	-13.641132	0.000000	24.769859	1.912628	7.000000	0.000000	0	0	0	1	0	0	0	0
2.4	-12.950363	0.000000	24.707426	1.696238	6.000000	0.000000	0	0	0	1	0	0	0	0
2.5	-13.068998	0.000000	24.580190	0.964452	6.000000	0.000000	0	0	0	1	0	0	0	0
2.6	-13.339788	0.000000	24.399734	0.451422	6.000000	0.000000	0	0	0	1	0	0	0	0
2.7	701.335167	0.000000	10609.155623	0.449167	6.000000	0.000000	0	0	0	1	0	0	0	1
2.8	-13.976874	0.000000	23.987882	0.392322	6.000000	0.000000	0	0	0	1	0	0	0	0
2.9	529.994141	0.000000	10608.738967	0.328881	6.000000	0.000000	0	0	0	1	0	0	0	1
3.0	-15.755482	0.000000	0.173756	0.238804	6.000000	0.000000	0	0	0	0	0	0	0	0
3.1	-15.473506	0.000000	13.729772	0.238804	6.000000	0.000000	0	0	0	0	1	0	0	0
4.0	294.041286	331.737417	11.447298	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.1	284.727613	322.524788	11.447298	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
