time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.804903	1.570796	8.098000	0.980000	2.000000
0.200000	-1.750000	191.619613	1.570796	8.196000	0.980000	2.000000
0.300000	-1.750000	192.453959	1.570796	8.490000	2.940000	0.000000
0.400000	-1.750000	193.317703	1.570796	8.784000	2.940000	0.000000
0.500000	-1.750000	194.210814	1.570796	9.078000	2.940000	0.000000
0.600000	-1.749998	195.089175	1.570763	8.490000	-5.880000	1.000000
0.700000	-1.749232	195.908700	1.568492	7.902000	-5.880000	1.000000
0.800000	-1.746119	196.682010	1.565054	7.565479	-3.365208	7.000000
0.900000	-1.740848	197.421636	1.562534	7.228961	-3.365185	7.000000
1.000000	-1.734664	198.127659	1.561872	6.892446	-3.365152	7.000000
1.100000	-1.728844	198.821784	1.563297	6.990446	0.980000	2.000000
1.200000	-1.724840	199.491265	1.566600	6.402446	-5.880000	1.000000
1.300000	-1.723523	200.102023	1.570787	5.814446	-5.880000	1.000000
1.400000	-1.724635	200.653798	1.574761	5.226446	-5.880000	1.000000
1.500000	-1.727358	201.146950	1.577718	4.638446	-5.880000	1.000000
1.600000	-1.730880	201.597290	1.579272	4.372116	-2.663291	7.000000
1.700000	-1.734747	202.049354	1.579109	4.666116	2.940000	0.000000
1.800000	-1.738019	202.498368	1.576678	4.319063	-3.470536	7.000000
1.900000	-1.739527	202.912782	1.571758	3.972039	-3.470238	7.000000
2.000000	-1.738548	203.292423	1.564266	3.625036	-3.470029	7.000000
2.100000	-1.734653	203.637154	1.554470	3.278071	-3.469647	7.000000
2.200000	-1.727845	203.947348	1.542943	2.931196	-3.468756	7.000000
2.300000	-1.718449	204.222493	1.530350	2.584374	-3.468220	7.000000
2.400000	-1.707145	204.462485	1.517386	2.237721	-3.466533	7.000000
2.500000	-1.694838	204.668268	1.504732	1.891471	-3.462497	7.000000
2.600000	-1.682538	204.838241	1.493078	1.545426	-3.460447	7.000000
2.700000	-1.671351	204.972166	1.483049	1.200805	-3.446216	7.000000
2.800000	-1.655324	205.141584	1.468374	0.511561	-3.446216	7.000000
2.900000	-1.652605	205.167519	1.465831	0.199643	-3.119179	7.000000
3.000000	-1.651498	205.177943	1.464809	0.074268	-1.253757	7.000000
3.100000	-1.650713	205.185328	1.464809	0.074268	0.000000	4.000000
3.200000	-1.649927	205.192713	1.464809	0.074268	0.000000	4.000000
3.300000	-1.649141	205.200098	1.464809	0.074268	0.000000	4.000000
3.400000	-1.648356	205.207483	1.464809	0.074268	0.000000	4.000000
3.500000	-1.647570	205.214869	1.464809	0.074268	0.000000	4.000000
3.600000	-1.646784	205.222254	1.464809	0.074268	0.000000	4.000000
3.700000	-1.645999	205.229639	1.464809	0.074268	0.000000	4.000000
3.800000	-1.645213	205.237024	1.464809	0.074268	0.000000	4.000000
3.900000	-1.640553	205.278999	1.460941	0.368268	2.940000	0.000000
4.000000	-1.633594	205.339546	1.455360	0.662268	2.940000	0.000000
4.100000	-1.623564	205.422716	1.447687	0.956268	2.940000	0.000000
4.200000	-1.609310	205.532940	1.437508	1.250268	2.940000	0.000000
4.300000	-1.589533	205.672733	1.424575	1.544268	2.940000	0.000000
4.400000	-1.563349	205.840774	1.408994	1.838268	2.940000	0.000000
4.500000	-1.529571	206.036451	1.390794	2.132268	2.940000	0.000000
4.600000	-1.486234	206.260720	1.369840	2.426268	2.940000	0.000000
4.700000	-1.431677	206.512686	1.346154	2.720268	2.940000	0.000000
4.800000	-1.366450	206.781924	1.320639	2.818268	0.980000	2.000000
4.900000	-1.291726	207.058800	1.294092	2.916268	0.980000	2.000000
5.000000	-1.206764	207.342901	1.266372	3.014268	0.980000	2.000000
5.100000	-1.110680	207.633786	1.237247	3.112268	0.980000	2.000000
5.200000	-1.002528	207.930888	1.206406	3.210268	0.980000	2.000000
5.300000	-0.881291	208.233498	1.173473	3.308268	0.980000	2.000000
5.400000	-0.745812	208.540757	1.138016	3.406268	0.980000	2.000000
5.500000	-0.594792	208.851612	1.099570	3.504268	0.980000	2.000000
5.600000	-0.426788	209.164780	1.057663	3.602268	0.980000	2.000000
5.700000	-0.240232	209.478699	1.011856	3.700268	0.980000	2.000000
5.800000	-0.036305	209.787405	0.962460	3.700268	0.000000	4.000000
5.900000	0.183070	210.085323	0.910045	3.700268	0.000000	4.000000
6.000000	0.418173	210.370987	0.854745	3.700268	0.000000	4.000000
6.100000	0.669067	210.642878	0.796848	3.700268	0.000000	4.000000
6.200000	0.935562	210.899490	0.736794	3.700268	0.000000	4.000000
6.300000	1.217179	211.139403	0.675167	3.700268	0.000000	4.000000
6.400000	1.513145	211.361369	0.612683	3.700268	0.000000	4.000000
6.500000	1.822411	211.564395	0.550165	3.700268	0.000000	4.000000
6.600000	2.143692	211.747821	0.488514	3.700268	0.000000	4.000000
6.700000	2.475529	211.911386	0.428678	3.700268	0.000000	4.000000
