time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.604903	1.570796	8.098000	0.980000	2.000000
0.300000	-1.750000	192.419613	1.570796	8.196000	0.980000	2.000000
0.400000	-1.750000	193.244126	1.570796	8.294000	0.980000	2.000000
0.500000	-1.750000	194.078441	1.570796	8.392000	0.980000	2.000000
0.600000	-1.750000	194.922558	1.570796	8.490000	0.980000	2.000000
0.700000	-1.749550	195.748011	1.569137	7.964541	-5.880000	1.000000
0.800000	-1.747017	196.514942	1.565784	7.376541	-5.880000	1.000000
0.900000	-1.742439	197.223132	1.563058	6.788541	-5.880000	1.000000
1.000000	-1.736639	197.906876	1.561863	6.886541	0.980000	2.000000
1.100000	-1.730885	198.565926	1.562584	6.298541	-5.880000	1.000000
1.200000	-1.726494	199.180730	1.564966	5.998917	-2.996234	7.000000
1.300000	-1.724060	199.765576	1.568439	5.699297	-2.996208	7.000000
1.400000	-1.723817	200.320398	1.572282	5.399679	-2.996175	7.000000
1.500000	-1.725643	200.865302	1.575899	5.497679	0.980000	2.000000
1.600000	-1.729042	201.385460	1.578569	4.909679	-5.880000	1.000000
1.700000	-1.732924	201.846640	1.579568	4.321679	-5.880000	1.000000
1.800000	-1.736678	202.293664	1.578443	4.615679	2.940000	0.000000
1.900000	-1.739262	202.725426	1.574696	4.027679	-5.880000	1.000000
2.000000	-1.739671	203.098312	1.568732	3.439679	-5.880000	1.000000
2.100000	-1.737896	203.412412	1.561289	2.851679	-5.880000	1.000000
2.200000	-1.734468	203.666746	1.553410	2.263679	-5.880000	1.000000
2.300000	-1.726583	204.001428	1.540418	1.087679	-5.880000	1.000000
2.400000	-1.722377	204.127641	1.534668	0.010000	-5.880000	1.000000
2.500000	-1.710007	204.413538	1.519846	0.010000	-5.880000	1.000000
2.600000	-1.692946	204.699192	1.502188	0.010000	-5.880000	1.000000
2.700000	-1.692946	204.699192	1.502188	0.010000	-5.880000	1.000000
2.800000	-1.692946	204.699192	1.502188	0.010000	-5.880000	1.000000
2.900000	-1.692946	204.699192	1.502188	0.010000	-5.880000	1.000000
3.000000	-1.692946	204.699192	1.502188	0.010000	-5.880000	1.000000
3.100000	-1.692946	204.699192	1.502188	0.010000	-5.880000	1.000000
3.200000	-1.692946	204.699192	1.502188	0.010000	-5.880000	1.000000
3.300000	-1.692946	204.699192	1.502188	0.010000	-5.880000	1.000000
3.400000	-1.692946	204.699192	1.502188	0.010000	-5.880000	1.000000
3.500000	-1.692946	204.699192	1.502188	0.010000	-5.880000	1.000000
3.600000	-1.692946	204.699192	1.502188	0.010000	-5.880000	1.000000
3.700000	-1.692946	204.699192	1.502188	0.010000	-5.880000	1.000000
3.800000	-1.692946	204.699192	1.502188	0.010000	-5.880000	1.000000
3.900000	-1.690149	204.737935	1.499510	0.304000	2.940000	0.000000
4.000000	-1.685933	204.794220	1.495573	0.598000	2.940000	0.000000
4.100000	-1.679759	204.872498	1.490102	0.892000	2.940000	0.000000
4.200000	-1.670970	204.976386	1.482946	1.186000	2.940000	0.000000
4.300000	-1.658335	205.110553	1.471849	1.480000	2.940000	0.000000
4.400000	-1.641001	205.272780	1.456049	1.774000	2.940000	0.000000
4.500000	-1.617224	205.463658	1.437940	2.068000	2.940000	0.000000
4.600000	-1.585365	205.683290	1.416193	2.362000	2.940000	0.000000
4.700000	-1.543359	205.931167	1.390527	2.656000	2.940000	0.000000
4.800000	-1.488890	206.206385	1.360707	2.950000	2.940000	0.000000
4.900000	-1.419085	206.508219	1.326457	3.244000	2.940000	0.000000
5.000000	-1.330495	206.835803	1.287498	3.538000	2.940000	0.000000
5.100000	-1.222798	207.178012	1.244889	3.636000	0.980000	2.000000
5.200000	-1.096875	207.524369	1.199814	3.734000	0.980000	2.000000
5.300000	-0.951336	207.873568	1.152405	3.832000	0.980000	2.000000
5.400000	-0.784879	208.224144	1.102812	3.930000	0.980000	2.000000
5.500000	-0.596316	208.574477	1.051212	4.028000	0.980000	2.000000
5.600000	-0.384497	208.922792	0.997800	4.126000	0.980000	2.000000
5.700000	-0.148527	209.267184	0.942803	4.224000	0.980000	2.000000
5.800000	0.112256	209.605659	0.886472	4.322000	0.980000	2.000000
5.900000	0.398290	209.936159	0.829083	4.420000	0.980000	2.000000
6.000000	0.709769	210.256608	0.770930	4.518000	0.980000	2.000000
6.100000	1.046641	210.564949	0.712328	4.616000	0.980000	2.000000
6.200000	1.408604	210.859193	0.653606	4.714000	0.980000	2.000000
6.300000	1.795113	211.137465	0.595112	4.812000	0.980000	2.000000
6.400000	2.205401	211.398055	0.537203	4.910000	0.980000	2.000000
6.500000	2.638502	211.639459	0.480246	5.008000	0.980000	2.000000
6.600000	3.093325	211.860380	0.424618	5.106000	0.980000	2.000000
