time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	506.630041	-9.250000	2041.781093	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	422.863564	2.522857	2107.002028	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	958.572059	550.959711	2144.545962	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	956.864602	555.368654	2070.954190	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	969.513878	554.525877	2104.107316	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	821.146841	443.958375	2039.135720	2117.032871	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	794.405189	433.696525	2099.702101	1874.833062	36.000000	0.000000	1	0	1	0	1	0	0	0
0.7	779.917957	433.090381	2061.466822	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	936.311829	532.516753	2062.325185	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	517.537224	0.000000	2062.380059	3536.345416	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	621.761958	0.000000	2059.140432	4584.608542	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	620.717261	0.000000	2059.139852	4559.854197	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	620.599697	0.000000	2059.139868	4556.179012	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	923.573079	517.307207	2062.186353	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	365.488877	0.000000	2068.625836	1979.258686	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	625.560254	0.000000	2059.422955	4597.669309	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	545.581293	0.000000	2064.226150	3779.103070	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	548.550043	0.000000	2064.226063	3815.950493	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	607.188032	0.000000	2060.080772	4478.591539	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	380.877448	422.322219	16.056947	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	579.014216	0.000000	2060.234432	4186.917766	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	578.536635	0.000000	2060.234458	4168.322499	37.000000	0.000000	1	0	1	0	0	0	0	0
2.2	392.585192	432.310770	16.056947	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	751.221119	425.609867	29.254146	3569.683918	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	398.346707	436.639357	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	396.615565	435.008226	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	395.564126	433.056797	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	393.568728	431.161409	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	406.555374	442.690916	16.056947	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.9	393.833531	430.069076	16.056947	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.0	389.503671	425.839223	16.056947	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.1	1366.504634	1401.940197	16.056947	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.2	376.031981	411.567544	16.056947	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.3	366.704957	401.340544	16.056947	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
