time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	251.176493	2.516723	2180.195586	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	420.962775	-7.633341	2184.395702	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	487.994596	266.551057	2140.406014	551.601859	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	467.223700	266.460625	2211.465435	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	467.018683	266.355578	2211.465154	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	467.779520	266.216250	2211.463674	258.101642	37.000000	0.000000	1	0	1	0	1	0	0	0
0.6	797.760259	575.208035	2136.625114	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	638.289364	249.869894	2145.971273	2087.289980	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	465.993480	270.244240	2138.844693	258.101642	36.000000	0.000000	1	0	1	0	0	0	0	0
0.9	561.010060	0.000000	2132.944154	3902.704816	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	441.275648	0.000000	2135.699226	2694.036301	35.000000	0.000000	1	0	1	0	0	0	0	0
1.1	439.263652	0.000000	2135.698487	2677.115688	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	552.934916	0.000000	2132.479223	3807.538818	34.000000	0.000000	1	0	1	0	0	0	0	0
1.3	445.774968	0.000000	2135.912944	2728.486154	33.000000	0.000000	1	0	1	0	0	0	0	0
1.4	549.334057	0.000000	2132.238728	3775.541629	33.000000	0.000000	1	0	1	0	0	0	0	0
1.5	443.816312	0.000000	2136.131919	2700.600160	32.000000	0.000000	1	0	1	0	0	0	0	0
1.6	546.854216	0.000000	2131.996722	3744.050323	32.000000	0.000000	1	0	1	0	0	0	0	0
1.7	547.170046	0.000000	2131.995736	3728.262681	31.000000	0.000000	1	0	1	0	0	0	0	0
1.8	455.411199	0.000000	2136.573767	2818.820877	31.000000	0.000000	1	0	1	0	0	0	0	0
1.9	626.955137	0.000000	2127.085588	4529.443844	30.000000	0.000000	1	0	1	0	0	0	0	0
2.0	468.775703	0.000000	2136.983764	2939.797696	30.000000	0.000000	1	0	1	0	0	0	0	0
2.1	491.181120	0.000000	2134.633019	3235.365024	39.000000	0.000000	1	0	1	0	0	0	0	0
2.2	491.720179	0.000000	2134.632761	3230.992378	38.000000	0.000000	1	0	1	0	0	0	0	0
2.3	246.186244	285.770974	24.684845	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.4	465.681639	0.000000	2134.935003	2962.746514	37.000000	0.000000	1	0	1	0	0	0	0	0
2.5	272.452413	311.230493	24.684845	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.6	277.289627	315.167729	24.684845	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.7	1712.093586	1385.595963	37.573957	3569.683918	36.000000	0.000000	0	0	1	0	0	0	0	0
2.8	340.544526	377.554933	24.684845	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.9	334.842366	373.196574	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
3.0	338.698831	374.872256	24.684845	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.1	328.792058	365.065503	24.684845	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.2	2344.816965	2380.190395	24.684845	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.3	325.351801	360.825248	24.684845	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.4	323.217461	357.790921	24.684845	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.5	320.652407	355.325872	24.684845	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.6	319.552063	353.325541	24.684845	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
3.7	316.891400	350.764894	24.684845	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
