time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	514.991472	-9.250000	2125.815785	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	433.088800	3.265056	2202.399583	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	976.871392	561.214034	2226.319602	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	975.315651	564.656776	2164.090920	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	986.551058	563.767562	2183.344751	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	964.914495	553.667389	2157.693564	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	797.871091	441.794933	2156.698185	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	965.527401	553.480280	2157.693221	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	667.854829	0.000000	2157.571403	4961.895347	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	668.574290	0.000000	2157.571425	4960.854199	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	962.233031	548.495654	2157.644712	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	583.118216	0.000000	2162.233187	4077.557400	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	671.148054	0.000000	2157.846862	4981.686505	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	673.424892	0.000000	2157.846762	4983.705665	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	585.366054	0.000000	2162.869065	4100.373543	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	953.910567	537.699914	2157.511735	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	409.090985	0.000000	2175.162144	2303.006378	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	680.423982	0.000000	2157.619807	5119.307658	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	635.827666	628.542912	24.336375	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	439.924721	479.751632	24.336375	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	865.738125	691.673995	24.336375	2075.700691	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	453.786130	492.768128	24.336375	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	449.274969	488.641569	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.3	747.322411	0.000000	2155.955800	5661.172350	35.000000	0.000000	1	0	1	0	0	0	0	0
2.4	448.496371	485.735816	24.336375	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.5	952.520494	504.717567	2104.519907	2797.999482	34.000000	0.000000	1	0	0	0	0	0	0	0
2.6	470.542937	508.369893	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	468.295455	505.222443	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.8	464.672538	501.699555	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	456.874043	493.001090	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	444.042008	480.269082	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	431.150894	467.477995	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	419.721382	455.148482	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
