time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	244.779531	2.543010	2115.602327	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	414.527638	-7.607567	2119.400161	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	475.601474	260.153314	2079.623750	551.601859	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	454.205287	260.063010	2144.437655	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	454.000041	259.957730	2144.437402	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	454.760036	259.817547	2144.436063	258.101642	37.000000	0.000000	1	0	1	0	1	0	0	0
0.6	779.350542	562.757978	2076.204980	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	625.936185	243.600357	2084.655975	2087.289980	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	453.975089	264.214963	2078.211970	258.101642	36.000000	0.000000	1	0	1	0	0	0	0	0
0.9	555.028612	0.000000	2072.876578	3902.704816	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	435.261034	0.000000	2075.367773	2694.036301	35.000000	0.000000	1	0	1	0	0	0	0	0
1.1	433.264402	0.000000	2075.367104	2677.115688	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	546.950248	0.000000	2072.456177	3807.538818	34.000000	0.000000	1	0	1	0	0	0	0	0
1.3	439.766514	0.000000	2075.561021	2728.486154	33.000000	0.000000	1	0	1	0	0	0	0	0
1.4	543.363688	0.000000	2072.238717	3775.541629	33.000000	0.000000	1	0	1	0	0	0	0	0
1.5	437.805879	0.000000	2075.759022	2700.600160	32.000000	0.000000	1	0	1	0	0	0	0	0
1.6	540.887355	0.000000	2072.019889	3744.050323	32.000000	0.000000	1	0	1	0	0	0	0	0
1.7	541.193097	0.000000	2072.018998	3728.262681	31.000000	0.000000	1	0	1	0	0	0	0	0
1.8	448.352837	254.588957	2078.228784	258.101642	31.000000	0.000000	1	0	1	0	0	0	0	0
1.9	619.741089	0.000000	2067.444030	4521.760395	30.000000	0.000000	1	0	1	0	0	0	0	0
2.0	459.480134	0.000000	2076.404810	2911.133290	30.000000	0.000000	1	0	1	0	0	0	0	0
2.1	477.757825	0.000000	2074.368132	3167.965090	39.000000	0.000000	1	0	1	0	0	0	0	0
2.2	477.101608	0.000000	2074.367880	3151.708788	38.000000	0.000000	1	0	1	0	0	0	0	0
2.3	232.370168	272.419688	19.972471	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.4	453.323819	0.000000	2074.651569	2905.358731	37.000000	0.000000	1	0	1	0	0	0	0	0
2.5	450.952648	491.239575	19.972471	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.6	417.527338	0.000000	2077.080326	2440.347512	36.000000	0.000000	1	0	1	0	0	0	0	0
2.7	1702.686042	1376.865164	31.854660	3569.683918	36.000000	0.000000	0	0	1	0	0	0	0	0
2.8	319.765546	358.107744	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.9	1329.488125	1366.930352	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
3.0	330.625652	367.306423	19.972471	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.1	320.663954	357.444743	19.972471	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.2	2336.315904	2372.196674	19.972471	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.3	318.522749	353.503532	19.972471	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.4	301.146674	293.247600	12.845704	446.652345	32.000000	0.000000	0	0	0	0	0	0	0	0
3.5	399.077524	386.255940	19.972471	504.901058	32.000000	0.000000	0	0	1	0	0	0	0	0
3.6	276.481276	310.746934	19.972471	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
3.7	755.351765	536.673648	19.972471	2595.900521	31.000000	0.000000	0	0	1	0	0	0	0	0
