time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	425.389565	2.463865	2126.347707	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	415.140574	-7.685168	2126.346826	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	755.459239	561.323294	2154.803234	258.101642	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	805.979641	450.777360	2167.944248	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	741.454409	545.387115	2167.091786	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	784.616616	436.324667	2084.981464	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	774.332815	426.140874	2084.981426	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	775.071697	425.979763	2084.981388	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	941.468134	536.384947	2086.015763	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.9	551.844082	0.000000	2088.481932	3867.482284	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	656.538642	0.000000	2085.123926	4897.676180	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	556.846310	0.000000	2088.803299	3909.762063	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	557.605615	0.000000	2088.803208	3908.773719	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	648.575608	0.000000	2084.436320	4819.959910	33.000000	0.000000	1	0	1	0	0	0	0	0
1.4	383.372979	0.000000	2093.932656	2142.036366	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	556.058375	0.000000	2088.787069	3870.248943	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	396.278556	0.000000	2052.974954	2195.017902	31.000000	0.000000	1	0	0	0	0	0	0	0
1.7	400.803761	0.000000	2093.193654	2194.302618	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	591.919963	0.000000	2083.417041	4294.804215	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	383.723424	425.099819	16.984605	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	564.301587	0.000000	2083.683779	4021.375289	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	563.593002	0.000000	2083.683214	4012.228585	38.000000	0.000000	1	0	1	0	0	0	0	0
2.2	397.896573	437.555529	16.984605	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	403.645368	442.909782	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.4	391.888458	431.252876	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.5	391.104033	429.568455	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	389.030440	427.594866	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.7	387.694613	425.359042	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	384.976454	422.740887	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.9	382.991710	419.856146	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	379.726839	416.691278	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.1	377.040078	413.104521	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	366.007709	402.172138	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	355.715419	390.979857	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.4	344.058955	379.423400	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
