time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.585269	1.570796	7.706000	-2.940000	3.000000
0.300000	-1.750000	192.341103	1.570796	7.412000	-2.940000	3.000000
0.400000	-1.749999	193.067546	1.570792	7.118000	-2.940000	3.000000
0.500000	-1.749983	193.764638	1.570742	6.824000	-2.940000	3.000000
0.600000	-1.749952	194.432262	1.570856	6.530000	-2.940000	3.000000
0.700000	-1.749998	195.084967	1.570765	6.491612	-2.940000	3.000000
0.800000	-1.749595	195.719342	1.569244	6.197612	-2.940000	3.000000
0.900000	-1.747806	196.344023	1.566554	6.295612	0.980000	2.000000
1.000000	-1.744365	196.958823	1.563934	6.001612	-2.940000	3.000000
1.100000	-1.739798	197.544210	1.562237	5.707612	-2.940000	3.000000
1.200000	-1.734680	198.119876	1.561798	5.805612	0.980000	2.000000
1.300000	-1.729645	198.705333	1.562845	5.903612	0.980000	2.000000
1.400000	-1.725633	199.300586	1.565527	6.001612	0.980000	2.000000
1.500000	-1.723675	199.905650	1.569834	6.099612	0.980000	2.000000
1.600000	-1.724798	200.520526	1.575588	6.197612	0.980000	2.000000
1.700000	-1.729902	201.145188	1.582437	6.295612	0.980000	2.000000
1.800000	-1.739650	201.779600	1.589867	6.393612	0.980000	2.000000
1.900000	-1.754343	202.423720	1.597201	6.491612	0.980000	2.000000
2.000000	-1.773805	203.077519	1.603643	6.589612	0.980000	2.000000
2.100000	-1.797285	203.740989	1.608290	6.687612	0.980000	2.000000
2.200000	-1.823348	204.414167	1.610143	6.785612	0.980000	2.000000
2.300000	-1.849786	205.097131	1.608117	6.883612	0.980000	2.000000
2.400000	-1.873366	205.785086	1.601127	6.883612	0.000000	4.000000
2.500000	-1.890157	206.473238	1.588256	6.883612	0.000000	4.000000
2.600000	-1.895822	207.161564	1.568683	6.883612	0.000000	4.000000
2.700000	-1.885490	207.849826	1.541678	6.883612	0.000000	4.000000
2.800000	-1.853834	208.537421	1.506622	6.883612	0.000000	4.000000
2.900000	-1.795192	209.223222	1.463038	6.883612	0.000000	4.000000
3.000000	-1.703715	209.905394	1.410604	6.883612	0.000000	4.000000
3.100000	-1.573573	210.581225	1.349176	6.883612	0.000000	4.000000
3.200000	-1.399200	211.246979	1.278794	6.883612	0.000000	4.000000
3.300000	-1.175591	211.897809	1.199695	6.883612	0.000000	4.000000
