time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	534.829077	-9.250000	2325.189188	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	450.795883	2.095466	2392.295351	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-13.632967	0.514427	1.229415	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-22.844147	-9.596753	1.229415	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	845.589743	471.875993	2342.958919	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	-12.028835	0.185307	1.014487	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.200427	-9.917053	1.325609	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-20.380620	0.000000	1.324860	15.483276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.8	970.876129	539.453871	2348.681608	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	-9.940118	0.000000	1.127130	13.533276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.0	971.610990	538.517843	2345.788943	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.1	654.453942	0.000000	2364.408806	4606.536724	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	977.820459	533.777863	2338.176708	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	667.885240	0.000000	2363.457278	4617.473277	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	509.813061	0.000000	2322.992525	3058.121659	31.000000	0.000000	1	0	0	0	0	0	0	0
1.5	501.885735	0.000000	2322.991050	3064.572916	30.000000	0.000000	1	0	0	0	0	0	0	0
1.6	499.566679	541.229853	12.184845	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
1.7	959.981611	529.118514	26.335694	4660.399376	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	692.098108	684.897803	12.184845	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	682.265357	675.165058	12.184845	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	958.859887	526.347215	27.021662	4660.399376	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	697.530872	677.590365	12.184845	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.2	697.061250	677.220752	12.184845	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.3	610.861314	454.682102	15.521573	1957.533612	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	610.648248	453.569021	15.521573	1957.533612	34.000000	0.000000	0	0	0	0	0	0	0	0
2.5	881.281616	503.941082	15.461501	4179.349692	34.000000	0.000000	0	0	0	0	0	0	0	0
2.6	607.358899	0.000000	2320.180085	4165.245759	33.000000	0.000000	1	0	0	0	0	0	0	0
2.7	502.581571	539.156672	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.8	498.769198	535.444309	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	495.431891	531.207011	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	486.716406	522.591534	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	476.283206	511.258343	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
