time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	560.512576	3.040710	3479.856691	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	554.361439	0.634427	3444.366408	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-23.097357	0.000000	0.128529	20.654745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-12.576912	0.422825	0.855204	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	-22.779295	-9.679559	0.855204	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.5	-21.981706	-9.781970	0.855204	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.158318	-9.884519	1.117477	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	843.799261	0.000000	3469.839791	5313.793922	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	834.791811	0.000000	3469.837014	5312.548892	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	759.913914	577.261177	35.247946	2117.032871	34.000000	0.000000	0	0	1	0	0	0	0	0
1.0	811.699147	0.000000	3466.647084	4980.737711	33.000000	0.000000	1	0	1	0	0	0	0	0
1.1	631.790744	0.000000	3418.580823	3214.566193	33.000000	0.000000	1	0	0	0	0	0	0	0
1.2	623.601673	0.000000	3418.580718	3226.753156	32.000000	0.000000	1	0	0	0	0	0	0	0
1.3	625.125438	0.000000	3418.579242	3216.417203	31.000000	0.000000	1	0	0	0	0	0	0	0
1.4	624.563023	0.000000	3418.579090	3214.451587	31.000000	0.000000	1	0	0	0	0	0	0	0
1.5	775.654522	0.000000	3415.261881	4738.577387	30.000000	0.000000	1	0	0	0	0	0	0	0
1.6	821.905167	814.731686	22.465623	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.7	1097.614767	666.067503	35.971682	4660.399376	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	640.104314	680.089187	22.465623	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	647.669791	675.816290	22.465623	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.0	638.056879	665.303414	22.465623	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.1	623.824833	663.123312	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.2	623.744082	662.142595	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.3	622.547889	661.046435	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	620.237949	657.836526	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.5	617.877273	655.575880	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.6	617.484563	654.283200	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.7	610.616529	647.515194	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.8	599.402753	635.401446	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
2.9	589.323090	625.421810	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	575.016896	611.215642	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
