time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	337.613141	2.705619	3047.517370	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	327.359438	-7.448133	3047.516572	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	660.299468	352.982006	3011.011711	551.601859	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	661.110029	352.892403	3011.011131	551.601859	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	660.903330	352.785660	3011.010977	551.601859	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	661.657958	352.640057	3011.010166	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	661.458649	352.540520	3011.009360	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	662.180973	352.362591	3011.008470	551.601859	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	511.123765	-4.145163	3005.989266	2498.522726	36.000000	0.000000	1	0	1	0	0	0	0	0
0.9	500.475119	-14.693789	3005.989203	2498.522726	36.000000	0.000000	1	0	1	0	0	0	0	0
1.0	510.524985	-5.543920	3005.989192	2498.522726	35.000000	0.000000	1	0	1	0	0	0	0	0
1.1	640.818128	330.714460	3001.487586	551.601859	35.000000	0.000000	1	0	1	0	0	0	0	0
1.2	510.231560	-5.637307	3005.989075	2498.522726	35.000000	0.000000	1	0	1	0	0	0	0	0
1.3	641.526801	330.623162	3001.487509	551.601859	34.000000	0.000000	1	0	1	0	0	0	0	0
1.4	510.894799	-5.774045	3005.989002	2498.522726	34.000000	0.000000	1	0	1	0	0	0	0	0
1.5	511.735138	-5.833702	3005.988989	2498.522726	33.000000	0.000000	1	0	1	0	0	0	0	0
1.6	642.011536	330.407912	3001.487472	551.601859	33.000000	0.000000	1	0	1	0	0	0	0	0
1.7	511.399384	-5.969447	3005.988963	2498.522726	33.000000	0.000000	1	0	1	0	0	0	0	0
1.8	494.896513	0.000000	3013.976298	2337.156690	32.000000	0.000000	1	0	1	0	0	0	0	0
1.9	496.844626	0.000000	3013.976353	2347.146452	32.000000	0.000000	1	0	1	0	0	0	0	0
2.0	495.855940	0.000000	3013.974295	2335.577025	31.000000	0.000000	1	0	1	0	0	0	0	0
2.1	497.443174	0.000000	3013.972795	2344.945694	31.000000	0.000000	1	0	1	0	0	0	0	0
2.2	497.140257	0.000000	3013.970276	2343.755018	30.000000	0.000000	1	0	1	0	0	0	0	0
2.3	496.410546	0.000000	3013.970997	2332.984805	30.000000	0.000000	1	0	1	0	0	0	0	0
2.4	627.414260	329.829236	3001.487520	446.652345	39.000000	0.000000	1	0	1	0	0	0	0	0
2.5	595.941255	-6.558693	3008.498503	3393.265656	39.000000	0.000000	1	0	1	0	0	0	0	0
2.6	628.038882	329.653861	3001.487511	446.652345	38.000000	0.000000	1	0	1	0	0	0	0	0
2.7	588.901277	628.949990	16.103320	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.8	408.265673	448.346724	16.103320	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.9	408.927589	448.108669	16.103320	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
3.0	410.118438	448.399549	16.103320	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
3.1	410.793709	449.174852	16.103320	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
3.2	410.530392	448.011564	16.103320	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.3	409.621325	447.202522	16.103320	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.4	409.727583	447.408798	16.103320	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.5	409.911091	446.692267	16.103320	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.6	409.532023	446.413199	16.103320	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.7	410.727882	446.709067	16.103320	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.8	409.707664	445.788867	16.103320	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.9	410.346747	445.527974	16.103320	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
4.0	408.381487	443.662741	16.103320	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
4.1	408.126281	442.507564	16.103320	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
4.2	406.109609	440.590919	16.103320	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
4.3	405.792633	439.373968	16.103320	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
