time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.482223	1.570796	6.824000	-5.880000	1.000000
0.300000	-1.750000	192.135035	1.570796	6.236000	-5.880000	1.000000
0.400000	-1.750000	192.729185	1.570796	5.648000	-5.880000	1.000000
0.500000	-1.750000	193.264321	1.570796	5.060000	-5.880000	1.000000
0.600000	-1.750000	193.740660	1.570796	4.472000	-5.880000	1.000000
0.700000	-1.750000	194.158171	1.570796	3.884000	-5.880000	1.000000
0.800000	-1.750000	194.516519	1.570796	3.296000	-5.880000	1.000000
0.900000	-1.750000	194.851115	1.570796	3.394000	0.980000	2.000000
1.000000	-1.749990	195.195433	1.570658	3.492000	0.980000	2.000000
1.100000	-1.749808	195.549627	1.569831	3.590000	0.980000	2.000000
1.200000	-1.749215	195.913610	1.568469	3.688000	0.980000	2.000000
1.300000	-1.748035	196.287374	1.566813	3.786000	0.980000	2.000000
1.400000	-1.746174	196.670915	1.565104	3.884000	0.980000	2.000000
1.500000	-1.743622	197.064226	1.563574	3.982000	0.980000	2.000000
1.600000	-1.740465	197.467322	1.562436	4.080000	0.980000	2.000000
1.700000	-1.736875	197.880238	1.561879	4.178000	0.980000	2.000000
1.800000	-1.733115	198.302968	1.562043	4.276000	0.980000	2.000000
1.900000	-1.729513	198.735509	1.563013	4.374000	0.980000	2.000000
2.000000	-1.726446	199.177858	1.564813	4.472000	0.980000	2.000000
2.100000	-1.724304	199.630012	1.567371	4.570000	0.980000	2.000000
2.200000	-1.723437	200.091964	1.570488	4.668000	0.980000	2.000000
2.300000	-1.724093	200.563707	1.573855	4.766000	0.980000	2.000000
2.400000	-1.726348	201.045233	1.576981	4.864000	0.980000	2.000000
2.500000	-1.729971	201.536535	1.579117	4.962000	0.980000	2.000000
2.600000	-1.734244	202.032717	1.579306	4.962000	0.000000	4.000000
2.700000	-1.738002	202.543654	1.576426	5.256000	2.940000	0.000000
2.800000	-1.739245	203.069251	1.569149	5.256000	0.000000	4.000000
2.900000	-1.735189	203.594831	1.556024	5.256000	0.000000	4.000000
3.000000	-1.722145	204.125196	1.535221	5.354000	0.980000	2.000000
3.100000	-1.695105	204.664836	1.504883	5.452000	0.980000	2.000000
3.200000	-1.649858	205.193388	1.463380	5.165698	0.980000	2.000000
3.300000	-1.582321	205.710450	1.419751	5.263698	0.980000	2.000000
3.400000	-1.491925	206.233972	1.380925	5.361698	0.980000	2.000000
3.500000	-1.380137	206.763376	1.345233	5.459698	0.980000	2.000000
3.600000	-1.247633	207.298082	1.311020	5.557698	0.980000	2.000000
3.700000	-1.094273	207.837376	1.276665	5.655698	0.980000	2.000000
3.800000	-0.919095	208.380280	1.240623	5.753698	0.980000	2.000000
3.900000	-0.720353	208.925435	1.201473	5.851698	0.980000	2.000000
4.000000	-0.495594	209.470983	1.157953	5.949698	0.980000	2.000000
4.100000	-0.241791	210.014446	1.108992	6.047698	0.980000	2.000000
4.200000	0.042140	210.548330	1.054189	6.047698	0.000000	4.000000
4.300000	0.356370	211.064941	0.993599	6.047698	0.000000	4.000000
4.400000	0.702747	211.560548	0.927175	6.047698	0.000000	4.000000
