time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.482223	1.570796	6.824000	-5.880000	1.000000
0.300000	-1.750000	192.135035	1.570796	6.236000	-5.880000	1.000000
0.400000	-1.750000	192.729185	1.570796	5.648000	-5.880000	1.000000
0.500000	-1.750000	193.264321	1.570796	5.060000	-5.880000	1.000000
0.600000	-1.750000	193.740660	1.570796	4.472000	-5.880000	1.000000
0.700000	-1.750000	194.158171	1.570796	3.884000	-5.880000	1.000000
0.800000	-1.750000	194.516519	1.570796	3.296000	-5.880000	1.000000
0.900000	-1.750000	194.816711	1.570796	2.708000	-5.880000	1.000000
1.000000	-1.750002	195.061829	1.570831	2.353212	2.940000	0.000000
1.100000	-1.750067	195.312374	1.571358	2.647212	2.940000	0.000000
1.200000	-1.750398	195.592076	1.572679	2.941212	2.940000	0.000000
1.300000	-1.751312	195.901007	1.574924	3.235212	2.940000	0.000000
1.400000	-1.753179	196.229513	1.578078	3.333212	0.980000	2.000000
1.500000	-1.756294	196.567817	1.581922	3.431212	0.980000	2.000000
1.600000	-1.760920	196.915905	1.586178	3.529212	0.980000	2.000000
1.700000	-1.767214	197.273762	1.590457	3.627212	0.980000	2.000000
1.800000	-1.775183	197.641374	1.594298	3.725212	0.980000	2.000000
1.900000	-1.784645	198.018735	1.597202	3.823212	0.980000	2.000000
2.000000	-1.795483	198.415633	1.598707	4.117212	2.940000	0.000000
2.100000	-1.807082	198.832131	1.598226	4.215212	0.980000	2.000000
2.200000	-1.818247	199.258457	1.595388	4.313212	0.980000	2.000000
2.300000	-1.827887	199.694629	1.590102	4.411212	0.980000	2.000000
2.400000	-1.834860	200.140655	1.582549	4.509212	0.980000	2.000000
2.500000	-1.838107	200.596519	1.573189	4.607212	0.980000	2.000000
2.600000	-1.836754	201.062186	1.562581	4.705212	0.980000	2.000000
2.700000	-1.829948	201.547431	1.550970	4.999212	2.940000	0.000000
2.800000	-1.816843	202.052087	1.538712	5.097212	0.980000	2.000000
2.900000	-1.797116	202.566349	1.526282	5.195212	0.980000	2.000000
3.000000	-1.770476	203.090121	1.513787	5.293212	0.980000	2.000000
3.100000	-1.736646	203.623304	1.501190	5.391212	0.980000	2.000000
3.200000	-1.695292	204.165787	1.488312	5.489212	0.980000	2.000000
3.300000	-1.645935	204.717439	1.474832	5.587212	0.980000	2.000000
3.400000	-1.587871	205.278091	1.460298	5.685212	0.980000	2.000000
3.500000	-1.520081	205.847513	1.444135	5.783212	0.980000	2.000000
3.600000	-1.441155	206.425380	1.425665	5.881212	0.980000	2.000000
3.700000	-1.349212	207.011227	1.404121	5.979212	0.980000	2.000000
3.800000	-1.241831	207.604393	1.378672	6.077212	0.980000	2.000000
3.900000	-1.115984	208.203938	1.348443	6.175212	0.980000	2.000000
4.000000	-0.968081	208.808516	1.312565	6.273212	0.980000	2.000000
4.100000	-0.793963	209.416262	1.270202	6.371212	0.980000	2.000000
4.200000	-0.588980	210.024635	1.220592	6.469212	0.980000	2.000000
4.300000	-0.348122	210.630249	1.163088	6.567212	0.980000	2.000000
4.400000	-0.066229	211.228699	1.097203	6.665212	0.980000	2.000000
4.500000	0.261715	211.814416	1.022649	6.763212	0.980000	2.000000
