time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.482223	1.570796	6.824000	-5.880000	1.000000
0.300000	-1.750000	192.169534	1.570796	6.922000	0.980000	2.000000
0.400000	-1.750000	192.861734	1.570796	6.922000	0.000000	4.000000
0.500000	-1.750000	193.539176	1.570796	6.628000	-2.940000	3.000000
0.600000	-1.750000	194.172396	1.570796	6.040000	-5.880000	1.000000
0.700000	-1.750000	194.746810	1.570796	5.452000	-5.880000	1.000000
0.800000	-1.750055	195.296915	1.571317	5.550000	0.980000	2.000000
0.900000	-1.751204	195.856850	1.574846	5.648000	0.980000	2.000000
1.000000	-1.755226	196.426566	1.581223	5.746000	0.980000	2.000000
1.100000	-1.763701	197.006026	1.589869	5.844000	0.980000	2.000000
1.200000	-1.777927	197.595164	1.600168	5.942000	0.980000	2.000000
1.300000	-1.798881	198.193896	1.611467	6.040000	0.980000	2.000000
1.400000	-1.827191	198.802144	1.623086	6.138000	0.980000	2.000000
1.500000	-1.863063	199.419819	1.634342	6.236000	0.980000	2.000000
1.600000	-1.905907	200.041943	1.644468	6.236000	0.000000	4.000000
1.700000	-1.954901	200.668553	1.652785	6.334000	0.980000	2.000000
1.800000	-2.009207	201.304566	1.658659	6.432000	0.980000	2.000000
1.900000	-2.067140	201.950100	1.661338	6.530000	0.980000	2.000000
2.000000	-2.126442	202.605349	1.660076	6.628000	0.980000	2.000000
2.100000	-2.184261	203.270563	1.654139	6.726000	0.980000	2.000000
2.200000	-2.237133	203.946012	1.642828	6.824000	0.980000	2.000000
2.300000	-2.280992	204.631913	1.625532	6.922000	0.980000	2.000000
2.400000	-2.311029	205.323444	1.601864	6.922000	0.000000	4.000000
2.500000	-2.322427	206.015523	1.571610	6.922000	0.000000	4.000000
2.600000	-2.310521	206.707578	1.534497	6.922000	0.000000	4.000000
2.700000	-2.270510	207.398562	1.490313	6.922000	0.000000	4.000000
2.800000	-2.197541	208.086825	1.438927	6.922000	0.000000	4.000000
2.900000	-2.086844	208.770010	1.380307	6.922000	0.000000	4.000000
3.000000	-1.933891	209.444966	1.314533	6.922000	0.000000	4.000000
3.100000	-1.734594	210.107687	1.241814	6.922000	0.000000	4.000000
3.200000	-1.491330	210.739752	1.164336	6.628000	-2.940000	3.000000
3.300000	-1.205147	211.337370	1.083890	6.628000	0.000000	4.000000
3.400000	-0.870998	211.909537	1.000656	6.628000	0.000000	4.000000
