time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	428.876745	3.043139	2155.600680	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	418.616442	-7.117202	2155.599781	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	958.377776	552.528225	2126.233849	2449.848484	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	967.232483	560.629691	2123.141829	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	979.334318	559.668499	2151.810124	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	831.271137	449.327267	2087.390221	2117.032871	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	804.377499	439.032359	2146.690339	1874.833062	36.000000	0.000000	1	0	1	0	1	0	0	0
0.7	790.019512	438.196603	2112.538299	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	946.244112	537.456621	2113.476354	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	628.719981	0.000000	2110.474907	4615.880378	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	629.600234	0.000000	2110.474240	4610.544384	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	630.493434	0.000000	2110.473193	4607.054168	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	630.412917	0.000000	2110.472445	4605.623829	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	937.278882	526.018788	2113.338967	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	378.622559	0.000000	2121.064480	2062.725260	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	627.518721	442.674522	26.701334	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.6	564.511098	0.000000	2115.261006	3825.628132	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	394.394035	0.000000	2120.902362	2204.227336	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	607.337751	0.000000	2110.528447	4435.197221	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	387.513870	429.071552	14.899133	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	579.626056	0.000000	2110.727336	4146.525642	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	581.304493	0.000000	2110.726996	4149.614768	37.000000	0.000000	1	0	1	0	0	0	0	0
2.2	398.865936	438.704855	14.899133	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	416.350491	444.384526	14.899133	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	394.838778	433.148123	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	393.212713	431.622069	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	392.255327	429.764692	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	390.088324	427.697700	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	388.643388	425.352774	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	386.022051	422.831446	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	382.999381	419.908785	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.1	2340.044590	0.000000	21786.550932	2023.088160	12.000000	0.000000	1	0	0	0	0	0	0	2
3.2	412.810853	448.683453	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	391.409266	426.381869	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.4	381.878479	416.951110	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
