time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.482223	1.570796	6.824000	-5.880000	1.000000
0.300000	-1.750000	192.149848	1.570796	6.530000	-2.940000	3.000000
0.400000	-1.750000	192.788058	1.570796	6.236000	-2.940000	3.000000
0.500000	-1.750000	193.411658	1.570796	6.236000	0.000000	4.000000
0.600000	-1.750000	194.035258	1.570796	6.236000	0.000000	4.000000
0.700000	-1.750000	194.644125	1.570796	5.942000	-2.940000	3.000000
0.800000	-1.750028	195.226664	1.571112	5.801640	0.980000	2.000000
0.900000	-1.751032	195.811745	1.574456	5.899640	0.980000	2.000000
1.000000	-1.755015	196.406601	1.580959	5.997640	0.980000	2.000000
1.100000	-1.763785	197.011205	1.589958	6.095640	0.980000	2.000000
1.200000	-1.778825	197.625497	1.600764	6.193640	0.980000	2.000000
1.300000	-1.801233	198.249378	1.612664	6.291640	0.980000	2.000000
1.400000	-1.831418	198.877813	1.624818	6.291640	0.000000	4.000000
1.500000	-1.869416	199.510760	1.636477	6.389640	0.980000	2.000000
1.600000	-1.914779	200.148109	1.646886	6.389640	0.000000	4.000000
1.700000	-1.966148	200.785003	1.655225	6.389640	0.000000	4.000000
1.800000	-2.021971	201.421522	1.660779	6.389640	0.000000	4.000000
1.900000	-2.080253	202.057823	1.662869	6.389640	0.000000	4.000000
2.000000	-2.139037	202.699026	1.660858	6.487640	0.980000	2.000000
2.100000	-2.195437	203.345333	1.654026	6.487640	0.000000	4.000000
2.200000	-2.245691	203.992143	1.641810	6.487640	0.000000	4.000000
2.300000	-2.286190	204.639632	1.623865	6.487640	0.000000	4.000000
2.400000	-2.313093	205.287821	1.599797	6.487640	0.000000	4.000000
2.500000	-2.322264	205.936492	1.569151	6.487640	0.000000	4.000000
2.600000	-2.309313	206.585085	1.531580	6.487640	0.000000	4.000000
2.700000	-2.269652	207.232577	1.486716	6.487640	0.000000	4.000000
2.800000	-2.198611	207.877359	1.434550	6.487640	0.000000	4.000000
2.900000	-2.091737	208.517155	1.375184	6.487640	0.000000	4.000000
3.000000	-1.944798	209.148926	1.308599	6.487640	0.000000	4.000000
3.100000	-1.753957	209.768820	1.235017	6.487640	0.000000	4.000000
3.200000	-1.522052	210.358672	1.156933	6.193640	-2.940000	3.000000
3.300000	-1.250519	210.915142	1.076626	6.193640	0.000000	4.000000
3.400000	-0.934722	211.447733	0.994778	6.193640	0.000000	4.000000
3.500000	-0.576420	211.952710	0.913065	6.193640	0.000000	4.000000
