time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.570489	1.570796	7.412000	-5.880000	1.000000
0.300000	-1.750000	192.282223	1.570796	6.824000	-5.880000	1.000000
0.400000	-1.750000	192.964623	1.570796	6.824000	0.000000	4.000000
0.500000	-1.750000	193.632248	1.570796	6.530000	-2.940000	3.000000
0.600000	-1.750000	194.255697	1.570796	5.942000	-5.880000	1.000000
0.700000	-1.750000	194.820264	1.570796	5.354000	-5.880000	1.000000
0.800000	-1.750101	195.360603	1.571569	5.452000	0.980000	2.000000
0.900000	-1.751446	195.910741	1.575348	5.550000	0.980000	2.000000
1.000000	-1.755715	196.470660	1.581818	5.648000	0.980000	2.000000
1.100000	-1.764386	197.040324	1.590435	5.746000	0.980000	2.000000
1.200000	-1.778678	197.619668	1.600614	5.844000	0.980000	2.000000
1.300000	-1.799511	198.208610	1.611738	5.942000	0.980000	2.000000
1.400000	-1.827460	198.807055	1.623151	6.040000	0.980000	2.000000
1.500000	-1.862732	199.414940	1.634193	6.138000	0.980000	2.000000
1.600000	-1.905108	200.032204	1.644199	6.236000	0.980000	2.000000
1.700000	-1.953922	200.658828	1.652481	6.334000	0.980000	2.000000
1.800000	-2.008026	201.294858	1.658330	6.432000	0.980000	2.000000
1.900000	-2.065748	201.940411	1.661021	6.530000	0.980000	2.000000
2.000000	-2.124864	202.595677	1.659842	6.628000	0.980000	2.000000
2.100000	-2.182584	203.260900	1.654090	6.726000	0.980000	2.000000
2.200000	-2.235519	203.936344	1.643087	6.824000	0.980000	2.000000
2.300000	-2.279701	204.622225	1.626238	6.922000	0.980000	2.000000
2.400000	-2.310423	205.313727	1.603160	6.922000	0.000000	4.000000
2.500000	-2.322969	206.005787	1.573663	6.922000	0.000000	4.000000
2.600000	-2.312654	206.702773	1.537232	7.020000	0.980000	2.000000
2.700000	-2.273778	207.408549	1.493178	7.118000	0.980000	2.000000
2.800000	-2.199996	208.121368	1.441040	7.216000	0.980000	2.000000
2.900000	-2.085545	208.833717	1.380877	7.216000	0.000000	4.000000
3.000000	-1.925768	209.537255	1.313064	7.216000	0.000000	4.000000
3.100000	-1.714472	210.232175	1.237242	7.314000	0.980000	2.000000
3.200000	-1.444687	210.917042	1.153018	7.412000	0.980000	2.000000
3.300000	-1.111154	211.584149	1.060634	7.510000	0.980000	2.000000
