time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	506.981335	-9.250000	2045.311701	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	423.679453	2.375743	2116.689654	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	960.310095	551.805541	2153.614804	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	958.213684	556.060942	2077.630193	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	970.704136	555.156306	2109.797704	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	821.984179	444.400148	2043.153442	2117.032871	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	795.384689	434.151363	2105.024454	1874.833062	36.000000	0.000000	1	0	1	0	1	0	0	0
0.7	781.216086	433.808544	2067.350201	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	937.508157	533.127210	2068.280276	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	624.527187	0.000000	2065.152125	4609.776169	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	625.828763	0.000000	2065.152433	4625.547135	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	625.950904	0.000000	2065.151506	4612.579253	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	532.258268	0.000000	2069.216266	3664.611825	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	925.394549	518.542930	2068.134891	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	544.615198	0.000000	2070.377576	3790.535783	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	629.559187	0.000000	2065.479714	4638.325831	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	550.207383	0.000000	2070.660140	3824.794018	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	553.168866	0.000000	2070.658807	3861.751169	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	616.064521	0.000000	2066.021848	4558.908389	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	388.560165	429.796988	18.106551	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	588.165598	0.000000	2066.166824	4271.466980	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	587.088551	0.000000	2066.166994	4262.973343	37.000000	0.000000	1	0	1	0	0	0	0	0
2.2	400.755304	440.272393	18.106551	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	607.776114	587.479866	18.106551	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	398.634339	436.926095	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	411.014376	448.754879	18.106551	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.6	399.929994	436.770501	18.106551	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.7	397.593412	434.533925	18.106551	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.8	1406.266447	1443.160268	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	387.218410	424.212251	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	401.173942	437.348607	18.106551	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.1	385.765217	421.039898	18.106551	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.2	373.843693	409.218380	18.106551	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.3	364.316810	398.791521	18.106551	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
