time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	251.257955	2.543361	2180.746909	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	421.006672	-7.607223	2184.574551	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	488.477698	266.631727	2144.485945	551.601859	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	758.544264	557.513053	2213.471084	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	467.039013	266.436139	2210.855381	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	467.798994	266.295943	2210.854032	258.101642	37.000000	0.000000	1	0	1	0	1	0	0	0
0.6	798.422084	575.434356	2141.040341	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	638.637493	249.862185	2149.557667	2087.289980	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	466.829762	270.663843	2143.063084	258.101642	36.000000	0.000000	1	0	1	0	0	0	0	0
0.9	561.482228	0.000000	2137.685815	3902.704816	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	441.724000	0.000000	2140.196563	2694.036301	35.000000	0.000000	1	0	1	0	0	0	0	0
1.1	439.710866	0.000000	2140.195889	2677.115688	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	553.411800	0.000000	2137.262115	3807.538818	34.000000	0.000000	1	0	1	0	0	0	0	0
1.3	446.220822	0.000000	2140.391328	2728.486154	33.000000	0.000000	1	0	1	0	0	0	0	0
1.4	549.812106	0.000000	2137.042948	3775.541629	33.000000	0.000000	1	0	1	0	0	0	0	0
1.5	444.260225	0.000000	2140.590883	2700.600160	32.000000	0.000000	1	0	1	0	0	0	0	0
1.6	547.334304	0.000000	2136.822403	3744.050323	32.000000	0.000000	1	0	1	0	0	0	0	0
1.7	547.650955	0.000000	2136.821504	3728.262681	31.000000	0.000000	1	0	1	0	0	0	0	0
1.8	455.850384	0.000000	2140.993548	2818.820877	31.000000	0.000000	1	0	1	0	0	0	0	0
1.9	627.479092	0.000000	2132.346797	4529.443844	30.000000	0.000000	1	0	1	0	0	0	0	0
2.0	469.211703	0.000000	2141.367185	2939.797696	30.000000	0.000000	1	0	1	0	0	0	0	0
2.1	491.638943	0.000000	2139.224908	3235.365024	39.000000	0.000000	1	0	1	0	0	0	0	0
2.2	492.178069	0.000000	2139.224673	3230.992378	38.000000	0.000000	1	0	1	0	0	0	0	0
2.3	245.951981	286.151315	18.415887	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.4	466.136764	0.000000	2139.500112	2962.746514	37.000000	0.000000	1	0	1	0	0	0	0	0
2.5	272.215365	311.608050	18.415887	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.6	277.052044	315.544749	18.415887	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.7	1712.816689	1387.054633	30.161970	3569.683918	36.000000	0.000000	0	0	1	0	0	0	0	0
2.8	340.301462	377.926472	18.415887	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.9	335.964155	374.318362	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
3.0	338.463807	375.251835	18.415887	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.1	328.557603	365.445652	18.415887	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.2	2356.708098	2393.514404	18.415887	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.3	328.049407	364.955722	18.415887	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.4	310.149614	302.289276	14.048148	446.652345	32.000000	0.000000	0	0	0	0	0	0	0	0
3.5	273.103468	309.596786	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.6	268.455687	304.049036	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.7	389.395376	376.570826	18.415887	504.901058	31.000000	0.000000	0	0	1	0	0	0	0	0
