time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	508.851167	-9.250000	2064.104025	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	425.867622	2.274843	2139.717258	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	964.244829	553.980374	2171.503344	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	963.080880	558.500675	2102.304176	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	975.119289	557.629856	2129.533161	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	952.712833	547.529684	2096.056378	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	785.666912	435.664480	2095.084269	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	953.325741	547.342576	2096.056043	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	661.722550	0.000000	2095.937072	4961.895347	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	662.442677	0.000000	2095.937093	4960.854199	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	950.040724	542.367191	2096.008667	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	576.963683	0.000000	2100.489873	4077.557400	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	665.017802	0.000000	2096.206092	4981.686505	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	667.284490	0.000000	2096.205994	4983.705665	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	579.227814	0.000000	2101.110886	4100.373543	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	941.707052	531.559936	2095.878799	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	402.919200	0.000000	2113.116576	2303.006378	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	674.284877	0.000000	2095.984344	5119.307658	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	629.713272	622.403923	24.587252	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	433.781078	473.583393	24.587252	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	643.663168	623.615765	24.587252	504.901058	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	443.880760	482.842535	24.587252	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	441.152510	480.525869	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.3	920.260052	496.527051	14.959533	4660.399376	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	453.175528	491.696187	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	453.258095	490.878779	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.6	450.112923	487.833631	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	447.375279	484.196011	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.8	458.491570	493.913182	24.587252	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.9	443.008228	477.529858	24.587252	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.0	429.575939	464.197589	24.587252	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.1	416.511055	451.232726	24.587252	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.2	404.838065	438.659742	24.587252	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
