time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	564.416988	-9.250000	2622.555849	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	471.593896	0.630000	2606.688313	2384.722251	30.000000	0.000000	1	0	0	0	0	0	0	0
0.2	-33.152236	-9.487790	0.799085	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-32.365585	-9.601165	0.799076	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	-31.574530	-9.710132	0.799068	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.5	-31.779090	-9.814696	0.799066	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-30.979205	-9.914839	0.799056	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-20.147195	0.000000	0.797672	15.633276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.8	690.991976	0.000000	2668.311991	4579.151830	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	681.797736	0.000000	2668.310476	4578.656082	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	-9.954939	0.000000	0.803818	12.813874	14.000000	0.000000	0	0	0	0	0	0	0	0
1.1	682.326214	0.000000	2663.603329	4478.317008	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	673.317987	0.000000	2663.602772	4477.624667	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	673.103228	0.000000	2663.602785	4476.830520	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	513.487485	0.000000	2667.541297	2864.032751	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	752.182248	0.000000	2659.076152	5263.530548	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	526.107756	0.000000	2668.317635	2976.259947	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	509.656796	550.307317	21.851267	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	799.943901	476.097324	35.308399	3569.683918	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	509.658980	549.486073	21.851267	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	803.036711	477.432340	35.439260	3569.683918	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	503.153836	542.153703	21.851267	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	673.545549	663.647972	21.851267	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.3	974.466931	540.270743	35.644336	4660.399376	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	521.000613	547.301588	21.851267	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.5	520.320992	546.721992	21.851267	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.6	507.786299	545.134543	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	507.679484	545.127751	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	466.922000	0.000000	2598.058716	2211.303553	13.000000	0.000000	1	0	0	0	0	0	0	0
2.9	547.473596	0.000000	2616.773113	3155.567151	33.000000	0.000000	1	0	0	0	0	0	0	0
3.0	490.638814	526.185967	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	488.354045	524.001234	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	477.142825	511.890048	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.3	467.951210	502.798468	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
