time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.482223	1.570796	6.824000	-5.880000	1.000000
0.300000	-1.750000	192.135035	1.570796	6.236000	-5.880000	1.000000
0.400000	-1.750000	192.729185	1.570796	5.648000	-5.880000	1.000000
0.500000	-1.750000	193.264321	1.570796	5.060000	-5.880000	1.000000
0.600000	-1.750000	193.740660	1.570796	4.472000	-5.880000	1.000000
0.700000	-1.750000	194.158171	1.570796	3.884000	-5.880000	1.000000
0.800000	-1.750000	194.516519	1.570796	3.296000	-5.880000	1.000000
0.900000	-1.750000	194.851115	1.570796	3.394000	0.980000	2.000000
1.000000	-1.749990	195.195433	1.570658	3.492000	0.980000	2.000000
1.100000	-1.749808	195.549627	1.569831	3.590000	0.980000	2.000000
1.200000	-1.749215	195.913610	1.568469	3.688000	0.980000	2.000000
1.300000	-1.748035	196.287374	1.566813	3.786000	0.980000	2.000000
1.400000	-1.746174	196.670915	1.565104	3.884000	0.980000	2.000000
1.500000	-1.743622	197.064226	1.563574	3.982000	0.980000	2.000000
1.600000	-1.740465	197.467322	1.562436	4.080000	0.980000	2.000000
1.700000	-1.736919	197.875307	1.561880	4.080000	0.000000	4.000000
1.800000	-1.733243	198.288222	1.562022	4.178000	0.980000	2.000000
1.900000	-1.729703	198.710954	1.562933	4.276000	0.980000	2.000000
2.000000	-1.726648	199.143499	1.564630	4.374000	0.980000	2.000000
2.100000	-1.724443	199.585853	1.567061	4.472000	0.980000	2.000000
2.200000	-1.723428	200.038011	1.570068	4.570000	0.980000	2.000000
2.300000	-1.723857	200.499963	1.573342	4.668000	0.980000	2.000000
2.400000	-1.725809	200.971703	1.576411	4.766000	0.980000	2.000000
2.500000	-1.729101	201.453223	1.578637	4.864000	0.980000	2.000000
2.600000	-1.733136	201.939606	1.579208	4.864000	0.000000	4.000000
2.700000	-1.736862	202.425992	1.577239	4.864000	0.000000	4.000000
2.800000	-1.738816	202.912387	1.571773	4.864000	0.000000	4.000000
2.900000	-1.737040	203.398781	1.561748	4.864000	0.000000	4.000000
3.000000	-1.729033	203.885110	1.545974	4.864000	0.000000	4.000000
3.100000	-1.711680	204.371188	1.523115	4.864000	0.000000	4.000000
3.200000	-1.681187	204.856609	1.491645	4.864000	0.000000	4.000000
3.300000	-1.632875	205.341136	1.450279	4.895897	0.980000	2.000000
3.400000	-1.563429	205.830699	1.410426	4.993897	0.980000	2.000000
3.500000	-1.473794	206.326937	1.374440	5.091897	0.980000	2.000000
3.600000	-1.364930	206.829363	1.340938	5.189897	0.980000	2.000000
3.700000	-1.237219	207.337455	1.308524	5.287897	0.980000	2.000000
3.800000	-1.090385	207.850560	1.275833	5.385897	0.980000	2.000000
3.900000	-0.923493	208.367801	1.241561	5.483897	0.980000	2.000000
4.000000	-0.734964	208.887985	1.204488	5.581897	0.980000	2.000000
4.100000	-0.522633	209.409498	1.163508	5.679897	0.980000	2.000000
4.200000	-0.283829	209.930215	1.117652	5.777897	0.980000	2.000000
4.300000	-0.015502	210.447389	1.066122	5.875897	0.980000	2.000000
4.400000	0.285609	210.957569	1.008311	5.973897	0.980000	2.000000
4.500000	0.622778	211.456508	0.943829	6.071897	0.980000	2.000000
4.600000	0.999077	211.939105	0.872519	6.169897	0.980000	2.000000
