time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	346.333434	2.678246	3135.485357	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	336.080275	-7.474972	3135.484659	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	678.148267	361.703142	3103.549642	551.601859	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	678.958734	361.613438	3103.549134	551.601859	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	678.752288	361.506946	3103.549000	551.601859	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	679.507860	361.362278	3103.548290	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	679.308976	361.263155	3103.547585	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	680.032948	361.086863	3103.546807	551.601859	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	342.329557	-4.309093	3102.195418	705.977367	36.000000	0.000000	1	0	1	0	0	0	0	0
0.9	331.679634	-14.858996	3102.195344	705.977367	36.000000	0.000000	1	0	1	0	0	0	0	0
1.0	341.727410	-5.711215	3102.195331	705.977367	35.000000	0.000000	1	0	1	0	0	0	0	0
1.1	658.721447	339.372514	3095.217790	551.601859	35.000000	0.000000	1	0	1	0	0	0	0	0
1.2	341.434448	-5.804138	3102.195194	705.977367	35.000000	0.000000	1	0	1	0	0	0	0	0
1.3	659.429206	339.280301	3095.217722	551.601859	34.000000	0.000000	1	0	1	0	0	0	0	0
1.4	342.098986	-5.939575	3102.195108	705.977367	34.000000	0.000000	1	0	1	0	0	0	0	0
1.5	342.939362	-5.999195	3102.195093	705.977367	33.000000	0.000000	1	0	1	0	0	0	0	0
1.6	528.714108	1.795458	3094.829310	2498.522726	33.000000	0.000000	1	0	1	0	0	0	0	0
1.7	352.587202	3.838719	3101.882607	705.977367	33.000000	0.000000	1	0	1	0	0	0	0	0
1.8	343.458190	-6.190285	3101.882583	705.977367	32.000000	0.000000	1	0	1	0	0	0	0	0
1.9	485.219465	0.000000	3104.743780	2136.199916	32.000000	0.000000	1	0	1	0	0	0	0	0
2.0	344.096476	-6.351980	3101.882513	705.977367	31.000000	0.000000	1	0	1	0	0	0	0	0
2.1	363.919448	333.284125	23.241952	551.601859	31.000000	0.000000	0	0	1	0	0	0	0	0
2.2	344.753048	-6.495381	3101.882423	705.977367	30.000000	0.000000	1	0	1	0	0	0	0	0
2.3	344.575329	-6.573088	3101.882382	705.977367	30.000000	0.000000	1	0	1	0	0	0	0	0
2.4	344.374933	-6.673474	3101.882348	705.977367	30.000000	0.000000	1	0	1	0	0	0	0	0
2.5	356.752657	343.550178	27.744215	446.652345	39.000000	0.000000	0	0	1	0	0	0	0	0
2.6	346.577776	333.475296	27.744215	446.652345	39.000000	0.000000	0	0	1	0	0	0	0	0
2.7	347.401982	333.399503	27.744215	446.652345	38.000000	0.000000	0	0	1	0	0	0	0	0
2.8	337.651553	333.322347	27.744215	446.652345	38.000000	0.000000	0	0	1	0	0	0	0	0
2.9	338.448053	333.218847	27.744215	446.652345	37.000000	0.000000	0	0	1	0	0	0	0	0
3.0	338.219544	333.090338	27.744215	446.652345	37.000000	0.000000	0	0	1	0	0	0	0	0
3.1	338.974409	332.945203	27.744215	446.652345	36.000000	0.000000	0	0	1	0	0	0	0	0
3.2	339.984042	334.054836	27.744215	446.652345	36.000000	0.000000	0	0	1	0	0	0	0	0
3.3	339.739597	332.910452	27.744032	446.652345	35.000000	0.000000	0	0	1	0	0	0	0	0
3.4	337.534006	330.804858	27.744043	446.652345	35.000000	0.000000	0	0	1	0	0	0	0	0
3.5	336.573759	373.973049	16.144615	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.6	338.847827	375.347137	16.144615	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.7	338.039350	374.638684	16.144615	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.8	337.143771	372.843134	16.144615	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.9	338.917937	374.717329	16.144615	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
4.0	335.236550	371.135973	16.144615	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
4.1	338.415925	373.415375	16.144615	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
4.2	336.277736	371.377210	16.144615	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
4.3	334.501159	368.700651	16.144615	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
4.4	333.292548	367.592051	16.144615	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
4.5	332.677355	366.076865	16.144615	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
4.6	330.542957	364.042479	16.144615	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
