time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.482223	1.570796	6.824000	-5.880000	1.000000
0.300000	-1.750000	192.135035	1.570796	6.236000	-5.880000	1.000000
0.400000	-1.750000	192.729185	1.570796	5.648000	-5.880000	1.000000
0.500000	-1.750000	193.264321	1.570796	5.060000	-5.880000	1.000000
0.600000	-1.750000	193.740660	1.570796	4.472000	-5.880000	1.000000
0.700000	-1.750000	194.158171	1.570796	3.884000	-5.880000	1.000000
0.800000	-1.750000	194.516519	1.570796	3.296000	-5.880000	1.000000
0.900000	-1.750000	194.816711	1.570796	2.708000	-5.880000	1.000000
1.000000	-1.750002	195.061829	1.570831	2.353212	2.940000	0.000000
1.100000	-1.750067	195.312374	1.571358	2.647212	2.940000	0.000000
1.200000	-1.750398	195.592076	1.572679	2.941212	2.940000	0.000000
1.300000	-1.751268	195.891101	1.574835	3.039212	0.980000	2.000000
1.400000	-1.752952	196.199957	1.577718	3.137212	0.980000	2.000000
1.500000	-1.755705	196.518637	1.581153	3.235212	0.980000	2.000000
1.600000	-1.759731	196.847123	1.584888	3.333212	0.980000	2.000000
1.700000	-1.765148	197.185398	1.588602	3.431212	0.980000	2.000000
1.800000	-1.771955	197.533451	1.591932	3.529212	0.980000	2.000000
1.900000	-1.780015	197.891272	1.594494	3.627212	0.980000	2.000000
2.000000	-1.789031	198.258860	1.595916	3.725212	0.980000	2.000000
2.100000	-1.798552	198.636220	1.595877	3.823212	0.980000	2.000000
2.200000	-1.807977	199.023362	1.594140	3.921212	0.980000	2.000000
2.300000	-1.816784	199.430140	1.590472	4.215212	2.940000	0.000000
2.400000	-1.823994	199.856550	1.584702	4.313212	0.980000	2.000000
2.500000	-1.828430	200.292806	1.577084	4.411212	0.980000	2.000000
2.600000	-1.829217	200.738884	1.567972	4.509212	0.980000	2.000000
2.700000	-1.825585	201.194746	1.557677	4.607212	0.980000	2.000000
2.800000	-1.816619	201.670193	1.546196	4.901212	2.940000	0.000000
2.900000	-1.801359	202.164985	1.533678	4.999212	0.980000	2.000000
3.000000	-1.779301	202.669328	1.520453	5.097212	0.980000	2.000000
3.100000	-1.749825	203.183123	1.506518	5.195212	0.980000	2.000000
3.200000	-1.712278	203.706225	1.491763	5.293212	0.980000	2.000000
3.300000	-1.665899	204.238461	1.475969	5.391212	0.980000	2.000000
3.400000	-1.609757	204.779610	1.458812	5.489212	0.980000	2.000000
3.500000	-1.542687	205.329385	1.439871	5.587212	0.980000	2.000000
3.600000	-1.463230	205.887401	1.418639	5.685212	0.980000	2.000000
3.700000	-1.369576	206.453136	1.394537	5.783212	0.980000	2.000000
3.800000	-1.260505	207.021059	1.367171	5.783212	0.000000	4.000000
3.900000	-1.133797	207.590344	1.335894	5.881212	0.980000	2.000000
4.000000	-0.985571	208.164515	1.299729	5.979212	0.980000	2.000000
4.100000	-0.812314	208.741857	1.257956	6.077212	0.980000	2.000000
4.200000	-0.610078	209.320083	1.209936	6.175212	0.980000	2.000000
4.300000	-0.376681	209.891709	1.155583	6.175212	0.000000	4.000000
4.400000	-0.110830	210.448961	1.094900	6.175212	0.000000	4.000000
4.500000	0.190102	210.988051	1.027603	6.175212	0.000000	4.000000
4.600000	0.531163	211.508549	0.953121	6.273212	0.980000	2.000000
