time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.482223	1.570796	6.824000	-5.880000	1.000000
0.300000	-1.750000	192.135035	1.570796	6.236000	-5.880000	1.000000
0.400000	-1.750000	192.729185	1.570796	5.648000	-5.880000	1.000000
0.500000	-1.750000	193.264321	1.570796	5.060000	-5.880000	1.000000
0.600000	-1.750000	193.740660	1.570796	4.472000	-5.880000	1.000000
0.700000	-1.750000	194.158171	1.570796	3.884000	-5.880000	1.000000
0.800000	-1.750000	194.516519	1.570796	3.296000	-5.880000	1.000000
0.900000	-1.750000	194.816711	1.570796	2.708000	-5.880000	1.000000
1.000000	-1.750002	195.061829	1.570831	2.353212	2.940000	0.000000
1.100000	-1.750067	195.312374	1.571358	2.647212	2.940000	0.000000
1.200000	-1.750398	195.592076	1.572679	2.941212	2.940000	0.000000
1.300000	-1.751312	195.901007	1.574924	3.235212	2.940000	0.000000
1.400000	-1.753254	196.239501	1.578191	3.529212	2.940000	0.000000
1.500000	-1.756645	196.597396	1.582366	3.627212	0.980000	2.000000
1.600000	-1.761780	196.965059	1.587122	3.725212	0.980000	2.000000
1.700000	-1.768887	197.342471	1.592033	3.823212	0.980000	2.000000
1.800000	-1.778013	197.729620	1.596528	3.921212	0.980000	2.000000
1.900000	-1.788957	198.126499	1.599964	4.019212	0.980000	2.000000
2.000000	-1.801239	198.533153	1.601685	4.117212	0.980000	2.000000
2.100000	-1.814070	198.949614	1.601118	4.215212	0.980000	2.000000
2.200000	-1.826391	199.375908	1.597873	4.313212	0.980000	2.000000
2.300000	-1.837164	199.821971	1.591650	4.607212	2.940000	0.000000
2.400000	-1.844810	200.287577	1.582502	4.705212	0.980000	2.000000
2.500000	-1.847718	200.763026	1.571164	4.803212	0.980000	2.000000
2.600000	-1.844817	201.248260	1.558416	4.901212	0.980000	2.000000
2.700000	-1.835353	201.743196	1.544936	4.999212	0.980000	2.000000
2.800000	-1.818832	202.247751	1.531264	5.097212	0.980000	2.000000
2.900000	-1.794988	202.761838	1.517795	5.195212	0.980000	2.000000
3.000000	-1.763738	203.285356	1.504760	5.293212	0.980000	2.000000
3.100000	-1.725085	203.818211	1.492222	5.391212	0.980000	2.000000
3.200000	-1.679038	204.360316	1.480075	5.489212	0.980000	2.000000
3.300000	-1.625510	204.911580	1.468044	5.587212	0.980000	2.000000
3.400000	-1.564225	205.471891	1.455689	5.685212	0.980000	2.000000
3.500000	-1.494610	206.041095	1.442422	5.783212	0.980000	2.000000
3.600000	-1.415701	206.618967	1.427517	5.881212	0.980000	2.000000
3.700000	-1.326041	207.205172	1.410132	5.979212	0.980000	2.000000
3.800000	-1.223590	207.799215	1.389331	6.077212	0.980000	2.000000
3.900000	-1.105639	208.400371	1.364111	6.175212	0.980000	2.000000
4.000000	-0.968811	209.007562	1.333445	6.273212	0.980000	2.000000
4.100000	-0.809036	209.619247	1.296323	6.371212	0.980000	2.000000
4.200000	-0.621592	210.233265	1.251789	6.469212	0.980000	2.000000
4.300000	-0.401215	210.846645	1.198994	6.567212	0.980000	2.000000
4.400000	-0.142281	211.455398	1.137240	6.665212	0.980000	2.000000
