time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	342.684716	2.710784	3098.466026	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	332.430908	-7.443068	3098.465197	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	670.256886	358.053420	3060.546923	551.601859	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	671.067462	357.963834	3060.546320	551.601859	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	670.860714	357.857043	3060.546160	551.601859	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	671.615159	357.711261	3060.545317	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	671.415767	357.611643	3060.544481	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	672.137775	357.433402	3060.543557	551.601859	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	671.912046	357.307110	3060.541471	551.601859	36.000000	0.000000	1	0	1	0	0	0	0	0
0.9	671.377343	356.872400	3060.541444	551.601859	36.000000	0.000000	1	0	1	0	0	0	0	0
1.0	527.195343	0.000000	3092.289416	2618.828755	35.000000	0.000000	1	0	1	0	0	0	0	0
1.1	529.626074	0.000000	3092.286823	2636.342809	35.000000	0.000000	1	0	1	0	0	0	0	0
1.2	650.174265	0.000000	3087.896730	3850.534315	35.000000	0.000000	1	0	1	0	0	0	0	0
1.3	531.628060	0.000000	3092.567858	2668.588142	35.000000	0.000000	1	0	1	0	0	0	0	0
1.4	527.666541	5.931479	3054.713949	2498.522726	34.000000	0.000000	1	0	1	0	0	0	0	0
1.5	911.198858	458.695944	3115.191289	1874.833062	34.000000	0.000000	1	0	1	0	1	0	0	0
1.6	911.000985	458.598089	3115.191219	1874.833062	34.000000	0.000000	1	0	1	0	1	0	0	0
1.7	911.852607	458.549725	3115.191166	1874.833062	33.000000	0.000000	1	0	1	0	1	0	0	0
1.8	911.697642	458.494769	3115.191134	1874.833062	33.000000	0.000000	1	0	1	0	1	0	0	0
1.9	631.835296	336.822005	3112.416141	258.101642	32.000000	0.000000	1	0	1	0	1	0	0	0
2.0	893.387107	444.571818	3054.008471	1874.833062	32.000000	0.000000	1	0	1	0	0	0	0	0
2.1	518.402562	-4.632427	3054.713721	2498.522726	32.000000	0.000000	1	0	1	0	0	0	0	0
2.2	811.027937	296.791382	3062.833480	2498.522726	31.000000	0.000000	1	0	1	0	0	0	0	0
2.3	528.879149	5.054325	3055.319456	2498.522726	31.000000	0.000000	1	0	1	0	0	0	0	0
2.4	484.315287	0.000000	3067.084072	2157.132362	30.000000	0.000000	1	0	1	0	0	0	0	0
2.5	485.331595	0.000000	3067.084650	2164.552196	30.000000	0.000000	1	0	1	0	0	0	0	0
2.6	480.547127	510.890769	20.000000	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.7	469.369002	509.723434	20.000000	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.8	470.920482	510.374922	20.000000	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.9	470.368095	509.922554	20.000000	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
3.0	469.745034	508.399522	20.000000	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
3.1	468.755084	507.509605	20.000000	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
3.2	471.533392	509.387873	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
3.3	469.320761	507.275263	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
3.4	470.875546	507.930072	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.5	472.204934	509.359481	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.6	472.201760	508.456324	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.7	469.909312	506.263885	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.8	472.516953	507.971605	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.9	472.588654	508.143319	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
4.0	472.175252	506.829879	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
4.1	469.164974	503.919631	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
4.2	468.842084	503.696773	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
4.3	467.501525	501.456248	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
4.4	465.853077	499.907831	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
