time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	509.935319	-9.250000	2075.000050	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	426.099139	2.411842	2140.668087	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	964.446243	554.183247	2171.488516	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	963.831537	558.864323	2106.237935	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	975.871958	558.054773	2132.864599	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	953.573769	547.954603	2100.488271	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	786.540728	436.093773	2099.593668	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	954.186683	547.767499	2100.487963	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	662.164445	0.000000	2100.378478	4961.895347	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	662.884525	0.000000	2100.378497	4960.854199	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	950.898552	542.788629	2100.444365	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	577.370216	0.000000	2104.568286	4077.557400	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	665.457372	0.000000	2100.626049	4981.686505	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	667.724788	0.000000	2100.625958	4983.705665	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	579.628253	0.000000	2105.139785	4100.373543	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	942.557828	531.973303	2100.324851	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	403.224747	0.000000	2116.188267	2303.006378	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	674.726881	0.000000	2100.421981	5119.307658	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	629.529362	622.796181	18.710337	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	433.548215	473.926698	18.710337	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	860.222959	686.710401	18.710337	2075.700691	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	447.423691	486.957262	18.710337	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	444.214738	483.581338	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.3	741.644122	0.000000	2098.926445	5661.172350	35.000000	0.000000	1	0	1	0	0	0	0	0
2.4	442.143335	479.934352	18.710337	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.5	942.637515	499.666611	2055.860246	2797.999482	34.000000	0.000000	1	0	0	0	0	0	0	0
2.6	465.474972	503.301929	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	463.216682	500.143670	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.8	473.673795	509.727125	18.710337	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.9	455.550497	490.703849	18.710337	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.0	456.423522	492.362261	18.710337	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.1	434.369900	469.408650	18.710337	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
