time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.570489	1.570796	7.412000	-5.880000	1.000000
0.300000	-1.750000	192.311689	1.570796	7.412000	0.000000	4.000000
0.400000	-1.750000	193.052889	1.570796	7.412000	0.000000	4.000000
0.500000	-1.750000	193.764623	1.570796	6.824000	-5.880000	1.000000
0.600000	-1.750000	194.447023	1.570796	6.824000	0.000000	4.000000
0.700000	-1.749994	195.142834	1.570714	6.998441	-2.940000	3.000000
0.800000	-1.749403	195.827937	1.568823	6.704441	-2.940000	3.000000
0.900000	-1.747169	196.483588	1.565924	6.410441	-2.940000	3.000000
1.000000	-1.743291	197.109844	1.563418	6.116441	-2.940000	3.000000
1.100000	-1.738412	197.706755	1.562027	5.822441	-2.940000	3.000000
1.200000	-1.733193	198.293892	1.562028	5.920441	0.980000	2.000000
1.300000	-1.728350	198.890820	1.563599	6.018441	0.980000	2.000000
1.400000	-1.724886	199.497563	1.566831	6.116441	0.980000	2.000000
1.500000	-1.723863	200.114123	1.571659	6.214441	0.980000	2.000000
1.600000	-1.726296	200.740485	1.577849	6.312441	0.980000	2.000000
1.700000	-1.733043	201.376619	1.585018	6.410441	0.980000	2.000000
1.800000	-1.744700	202.022485	1.592623	6.508441	0.980000	2.000000
1.900000	-1.761473	202.678041	1.599963	6.606441	0.980000	2.000000
2.000000	-1.783060	203.343259	1.606208	6.704441	0.980000	2.000000
2.100000	-1.808535	204.018141	1.610398	6.802441	0.980000	2.000000
2.200000	-1.836242	204.702738	1.611498	6.900441	0.980000	2.000000
2.300000	-1.863713	205.397143	1.608405	6.998441	0.980000	2.000000
2.400000	-1.887563	206.101486	1.599933	7.096441	0.980000	2.000000
2.500000	-1.903389	206.815859	1.584851	7.194441	0.980000	2.000000
2.600000	-1.905768	207.535283	1.562114	7.194441	0.000000	4.000000
2.700000	-1.888802	208.254496	1.530968	7.194441	0.000000	4.000000
2.800000	-1.846210	208.972627	1.490734	7.194441	0.000000	4.000000
2.900000	-1.771353	209.688087	1.440915	7.194441	0.000000	4.000000
3.000000	-1.657456	210.398344	1.381220	7.194441	0.000000	4.000000
3.100000	-1.497895	211.099713	1.311581	7.194441	0.000000	4.000000
3.200000	-1.286541	211.787201	1.232162	7.194441	0.000000	4.000000
