time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	315.516950	2.474798	2827.635560	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	305.267747	-7.674448	2827.634700	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	616.240291	330.892784	2788.276249	551.601859	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	617.049839	330.802172	2788.275624	551.601859	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	616.845212	330.697502	2788.275458	551.601859	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	617.607507	330.559574	2788.274583	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	617.411471	330.463315	2788.273714	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	618.147356	330.298954	2788.272755	551.601859	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	617.930273	330.181316	2788.270590	551.601859	36.000000	0.000000	1	0	1	0	0	0	0	0
0.9	617.442468	329.793504	2788.270562	551.601859	36.000000	0.000000	1	0	1	0	0	0	0	0
1.0	500.233174	0.000000	2821.224356	2618.828755	35.000000	0.000000	1	0	1	0	0	0	0	0
1.1	502.626564	0.000000	2821.221665	2636.342809	35.000000	0.000000	1	0	1	0	0	0	0	0
1.2	623.155083	0.000000	2816.664832	3850.534315	35.000000	0.000000	1	0	1	0	0	0	0	0
1.3	504.678534	0.000000	2821.513373	2668.588142	35.000000	0.000000	1	0	1	0	0	0	0	0
1.4	504.232579	0.000000	2821.512857	2645.423436	34.000000	0.000000	1	0	1	0	0	0	0	0
1.5	506.445874	0.000000	2821.508753	2663.628813	34.000000	0.000000	1	0	1	0	0	0	0	0
1.6	506.015092	0.000000	2821.508572	2666.627620	33.000000	0.000000	1	0	1	0	0	0	0	0
1.7	612.808942	0.000000	2815.058057	3730.609472	33.000000	0.000000	1	0	1	0	0	0	0	0
1.8	508.672704	0.000000	2821.939723	2686.515955	33.000000	0.000000	1	0	1	0	0	0	0	0
1.9	505.559536	0.000000	2821.941282	2644.030854	32.000000	0.000000	1	0	1	0	0	0	0	0
2.0	501.557120	5.696117	2781.513320	2498.522726	32.000000	0.000000	1	0	1	0	0	0	0	0
2.1	850.141567	427.502131	2780.568852	1874.833062	31.000000	0.000000	1	0	1	0	0	0	0	0
2.2	491.943777	-4.717223	2781.513320	2498.522726	31.000000	0.000000	1	0	1	0	0	0	0	0
2.3	492.550866	-5.010132	2781.513320	2498.522726	30.000000	0.000000	1	0	1	0	0	0	0	0
2.4	853.395409	272.937701	2787.456680	3393.265656	39.000000	0.000000	1	0	1	0	0	0	0	0
2.5	576.117026	619.262563	0.000000	15.297885	39.000000	0.000000	0	0	0	0	0	0	0	0
2.6	852.549040	576.906973	2767.194769	446.652345	38.000000	0.000000	1	0	1	0	0	0	0	0
2.7	584.702498	3.630091	2785.796537	3393.265656	38.000000	0.000000	1	0	1	0	0	0	0	0
2.8	584.841593	307.889001	2778.161757	446.652345	37.000000	0.000000	1	0	1	0	0	0	0	0
2.9	694.188328	685.056726	18.900599	504.901058	37.000000	0.000000	0	0	1	0	0	0	0	0
3.0	685.258929	675.227311	18.900599	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
3.1	685.466145	675.534516	18.900599	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
3.2	685.224400	674.392761	18.900599	504.901058	35.000000	0.000000	0	0	1	0	0	0	0	0
3.3	622.867514	454.941584	33.594805	1957.533612	35.000000	0.000000	0	0	1	0	0	0	0	0
3.4	613.234669	444.408734	33.594805	1957.533612	34.000000	0.000000	0	0	1	0	0	0	0	0
3.5	612.413516	443.687579	33.594805	1957.533612	34.000000	0.000000	0	0	1	0	0	0	0	0
3.6	586.106959	0.000000	2790.663361	3382.568643	33.000000	0.000000	1	0	1	0	0	0	0	0
3.7	573.882377	0.000000	2790.663457	3364.018345	33.000000	0.000000	1	0	1	0	0	0	0	0
3.8	572.404906	0.000000	2790.663189	3344.859744	32.000000	0.000000	1	0	1	0	0	0	0	0
3.9	572.155950	0.000000	2790.661728	3331.135719	32.000000	0.000000	1	0	1	0	0	0	0	0
4.0	570.000014	0.000000	2790.659544	3319.073406	32.000000	0.000000	1	0	1	0	0	0	0	0
4.1	566.440327	0.000000	2790.658913	3285.058878	31.000000	0.000000	1	0	1	0	0	0	0	0
4.2	564.853429	0.000000	2790.657159	3263.311161	31.000000	0.000000	1	0	1	0	0	0	0	0
