time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	249.903667	2.535806	2167.203940	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	419.626565	-7.614631	2170.765462	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	486.036480	265.277675	2133.464052	551.601859	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	754.754955	555.195217	2198.574147	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	464.231499	265.082135	2196.140304	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	464.991754	264.942203	2196.139049	258.101642	37.000000	0.000000	1	0	1	0	1	0	0	0
0.6	795.733480	573.809289	2130.258007	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	637.077965	249.431225	2138.183158	2087.289980	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	464.664715	269.577733	2132.140117	258.101642	36.000000	0.000000	1	0	1	0	0	0	0	0
0.9	560.431762	0.000000	2127.136707	3902.704816	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	440.654927	0.000000	2129.472893	2694.036301	35.000000	0.000000	1	0	1	0	0	0	0	0
1.1	438.644527	0.000000	2129.472266	2677.115688	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	552.362926	0.000000	2126.742465	3807.538818	34.000000	0.000000	1	0	1	0	0	0	0	0
1.3	445.151858	0.000000	2129.654117	2728.486154	33.000000	0.000000	1	0	1	0	0	0	0	0
1.4	548.766853	0.000000	2126.538536	3775.541629	33.000000	0.000000	1	0	1	0	0	0	0	0
1.5	443.189899	0.000000	2129.839798	2700.600160	32.000000	0.000000	1	0	1	0	0	0	0	0
1.6	546.290787	0.000000	2126.333325	3744.050323	32.000000	0.000000	1	0	1	0	0	0	0	0
1.7	546.605678	0.000000	2126.332489	3728.262681	31.000000	0.000000	1	0	1	0	0	0	0	0
1.8	454.779288	0.000000	2130.214467	2818.820877	31.000000	0.000000	1	0	1	0	0	0	0	0
1.9	626.465490	0.000000	2122.168889	4529.443844	30.000000	0.000000	1	0	1	0	0	0	0	0
2.0	468.136972	0.000000	2130.562127	2939.797696	30.000000	0.000000	1	0	1	0	0	0	0	0
2.1	490.576502	0.000000	2128.568794	3235.365024	39.000000	0.000000	1	0	1	0	0	0	0	0
2.2	491.115480	0.000000	2128.568575	3230.992378	38.000000	0.000000	1	0	1	0	0	0	0	0
2.3	245.454369	285.039099	24.684845	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.4	465.072480	0.000000	2128.824864	2962.746514	37.000000	0.000000	1	0	1	0	0	0	0	0
2.5	271.714335	310.492416	24.684845	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.6	276.552576	314.430677	24.684845	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.7	1712.207429	1385.904285	35.614272	3569.683918	36.000000	0.000000	0	0	1	0	0	0	0	0
2.8	339.797360	376.807767	24.684845	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.9	334.309548	372.663756	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
3.0	337.966484	374.139908	24.684845	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.1	328.058643	364.332088	24.684845	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.2	2357.064117	2393.255819	24.684845	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.3	327.393243	363.684954	24.684845	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.4	308.315876	300.552563	13.071438	446.652345	32.000000	0.000000	0	0	0	0	0	0	0	0
3.5	271.369359	307.862677	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.6	266.725342	302.318691	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.7	388.816932	375.377779	24.684845	504.901058	31.000000	0.000000	0	0	1	0	0	0	0	0
