time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	605.927154	-9.250000	3039.744469	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	522.414834	2.539091	3108.305666	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-21.290327	0.000000	20.070108	20.883276	19.000000	0.000000	0	0	0	1	0	0	0	0
0.3	-12.598773	0.409754	0.897005	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	-22.801171	-9.692643	0.897005	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.5	-22.003598	-9.795071	0.897005	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.178980	-9.897658	1.172098	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-20.360650	0.000000	1.171975	15.633276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.8	-20.562289	0.000000	1.172082	14.733276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.9	-19.758917	0.000000	1.171280	13.683276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.0	-19.953174	0.000000	1.171278	12.783276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.1	718.522235	0.000000	3077.428129	4422.089229	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	710.381602	0.000000	3077.427753	4431.228153	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	709.025040	0.000000	3077.427774	4420.289229	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	551.501379	0.000000	3081.171401	2828.185564	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	786.788737	0.000000	3073.136845	5198.821384	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	562.684330	0.000000	3081.879868	2928.558951	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	737.657590	730.513152	20.000000	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	963.466997	802.387029	20.000000	2075.700691	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	556.924120	596.981198	20.000000	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	1025.578671	592.367940	32.561487	4660.399376	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	757.367859	748.570816	20.000000	504.901058	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	749.240080	739.543144	20.000000	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.3	799.050179	0.000000	3068.199462	5353.686499	35.000000	0.000000	1	0	1	0	0	0	0	0
2.4	686.859784	530.944856	14.273670	1957.533612	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	676.381193	519.566255	14.273670	1957.533612	34.000000	0.000000	0	0	0	0	0	0	0	0
2.6	608.065099	0.000000	3039.890996	3455.765462	34.000000	0.000000	1	0	0	0	0	0	0	0
2.7	607.026572	0.000000	3039.890791	3438.360320	33.000000	0.000000	1	0	0	0	0	0	0	0
2.8	560.245253	0.000000	3018.509334	2725.025765	13.000000	0.000000	1	0	0	0	0	0	0	0
2.9	585.441078	621.042653	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	572.610071	608.311671	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	563.219912	599.021536	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	550.557980	585.459627	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
