time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	514.940420	-9.250000	2125.302695	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	431.001461	2.376082	2190.344264	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	974.307817	559.086688	2221.885536	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	973.733419	563.841480	2156.295387	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	985.857157	563.039761	2183.689335	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	838.119991	452.355529	2126.241347	2117.032871	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	806.243802	450.856645	2148.153743	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	796.056875	440.769704	2148.153554	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	952.882755	540.653106	2148.948526	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	632.595882	0.000000	2146.522140	4618.641765	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	952.060365	539.036904	2148.919850	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	644.869718	0.000000	2147.228829	4724.913776	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	644.641284	0.000000	2147.228844	4723.742363	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	946.848354	532.136965	2148.863924	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	566.671346	0.000000	2152.125449	3914.164792	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	653.193476	0.000000	2147.722894	4782.674639	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	573.852137	0.000000	2152.383092	3969.959238	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	576.784998	0.000000	2152.381472	4010.171888	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	962.032550	515.829895	2140.874541	2797.999482	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	427.079486	467.320258	18.603873	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	621.258144	613.587413	18.603873	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
2.1	427.604188	467.040576	18.603873	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	427.348607	465.885000	18.603873	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.3	431.645070	470.979122	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.4	435.772931	473.473725	18.603873	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.5	424.676726	462.477532	18.603873	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.6	421.807593	458.708417	18.603873	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.7	419.215391	456.216235	18.603873	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.8	1469.310702	0.000000	12762.114642	2257.574704	13.000000	0.000000	1	0	0	0	0	0	0	1
2.9	437.233265	473.317399	18.603873	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.0	421.514417	456.698570	18.603873	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.1	410.425474	445.709646	18.603873	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.2	398.488831	432.873008	18.603873	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
