time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	245.316064	2.143350	2125.016839	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	415.112030	-7.999425	2129.221045	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	476.698968	260.701917	2085.188512	551.601859	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	456.274671	260.609871	2159.851405	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	456.073012	260.508181	2159.851124	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	478.078766	260.381290	2085.186826	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	780.416606	563.311233	2081.403928	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	626.379334	243.437952	2090.759191	2087.289980	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	455.048053	264.753178	2083.625669	258.101642	36.000000	0.000000	1	0	1	0	0	0	0	0
0.9	555.510852	0.000000	2077.719384	3902.704816	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	435.770402	0.000000	2080.477139	2694.036301	35.000000	0.000000	1	0	1	0	0	0	0	0
1.1	433.772461	0.000000	2080.476399	2677.115688	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	547.428620	0.000000	2077.253999	3807.538818	34.000000	0.000000	1	0	1	0	0	0	0	0
1.3	440.277246	0.000000	2080.691065	2728.486154	33.000000	0.000000	1	0	1	0	0	0	0	0
1.4	543.838785	0.000000	2077.013270	3775.541629	33.000000	0.000000	1	0	1	0	0	0	0	0
1.5	438.318711	0.000000	2080.910253	2700.600160	32.000000	0.000000	1	0	1	0	0	0	0	0
1.6	541.360027	0.000000	2076.771029	3744.050323	32.000000	0.000000	1	0	1	0	0	0	0	0
1.7	541.666560	0.000000	2076.770041	3728.262681	31.000000	0.000000	1	0	1	0	0	0	0	0
1.8	449.425566	255.126760	2083.644282	258.101642	31.000000	0.000000	1	0	1	0	0	0	0	0
1.9	620.165159	0.000000	2071.705546	4521.760395	30.000000	0.000000	1	0	1	0	0	0	0	0
2.0	459.998941	0.000000	2081.625141	2911.133290	30.000000	0.000000	1	0	1	0	0	0	0	0
2.1	478.255919	0.000000	2079.370535	3167.965090	39.000000	0.000000	1	0	1	0	0	0	0	0
2.2	477.599759	0.000000	2079.370257	3151.708788	38.000000	0.000000	1	0	1	0	0	0	0	0
2.3	232.335652	272.999332	13.708036	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.4	453.824936	0.000000	2079.684301	2905.358731	37.000000	0.000000	1	0	1	0	0	0	0	0
2.5	452.930664	0.000000	2079.683639	2900.757458	37.000000	0.000000	1	0	1	0	0	0	0	0
2.6	277.529698	316.480570	13.708036	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.7	1752.233328	1426.823606	26.609702	3569.683918	36.000000	0.000000	0	0	1	0	0	0	0	0
2.8	336.561470	374.644967	13.708036	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.9	332.538609	370.887931	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
3.0	335.967599	373.214096	13.708036	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.1	323.956726	361.303244	13.708036	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.2	2423.180562	2459.627063	13.708036	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.3	320.432791	356.979310	13.708036	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.4	320.560016	356.206547	13.708036	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.5	317.977370	353.723908	13.708036	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.6	314.681357	349.527906	13.708036	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
3.7	311.087206	346.033772	13.708036	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
