time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	520.204905	-9.250000	2178.212223	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	427.468162	0.630000	2162.791767	2384.722251	30.000000	0.000000	1	0	0	0	0	0	0	0
0.2	985.715980	558.625723	2237.242767	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	973.301439	558.512323	2203.870400	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	974.092454	558.403335	2203.870224	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	973.887887	558.298768	2203.870197	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	974.687719	558.198596	2203.869963	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	976.023685	558.634325	2203.871222	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	674.247444	0.000000	2204.554529	4977.861370	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	973.075148	554.891170	2203.842633	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	647.610578	465.446366	28.231532	2117.032871	34.000000	0.000000	0	0	1	0	0	0	0	0
1.1	638.819945	455.755770	28.231532	2117.032871	33.000000	0.000000	0	0	1	0	0	0	0	0
1.2	978.934567	559.124328	2202.392890	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	597.909379	0.000000	2208.489333	4181.152776	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	606.187744	0.000000	2169.725022	4178.548145	31.000000	0.000000	1	0	0	0	0	0	0	0
1.5	440.636764	0.000000	2173.281040	2605.184426	30.000000	0.000000	1	0	0	0	0	0	0	0
1.6	438.903729	0.000000	2173.282756	2601.390326	30.000000	0.000000	1	0	0	0	0	0	0	0
1.7	778.169123	455.010161	29.183446	3569.683918	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	641.097059	0.000000	2199.376009	4580.126385	38.000000	0.000000	1	0	1	0	0	0	0	0
1.9	629.238523	0.000000	2199.376266	4559.978106	38.000000	0.000000	1	0	1	0	0	0	0	0
2.0	959.147573	526.363616	29.759416	4660.399376	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	471.698344	499.521224	15.790354	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.2	470.189174	498.112060	15.790354	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.3	458.028757	496.318550	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	454.030702	492.420500	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	702.276667	0.000000	2169.194920	5282.154344	34.000000	0.000000	1	0	0	0	0	0	0	0
2.6	456.224125	493.804562	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	454.111927	490.792369	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.8	450.614280	487.394727	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	441.835129	477.715582	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	430.532768	466.513225	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	419.764305	455.844768	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	408.598993	443.779442	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
