time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.570489	1.570796	7.412000	-5.880000	1.000000
0.300000	-1.750000	192.282223	1.570796	6.824000	-5.880000	1.000000
0.400000	-1.750000	192.964623	1.570796	6.824000	0.000000	4.000000
0.500000	-1.750000	193.632248	1.570796	6.530000	-2.940000	3.000000
0.600000	-1.750000	194.255697	1.570796	5.942000	-5.880000	1.000000
0.700000	-1.750000	194.835122	1.570796	5.648000	-2.940000	3.000000
0.800000	-1.750126	195.394994	1.571707	5.630683	0.980000	2.000000
0.900000	-1.751686	195.962992	1.575840	5.728683	0.980000	2.000000
1.000000	-1.756501	196.540764	1.582771	5.826683	0.980000	2.000000
1.100000	-1.766144	197.128266	1.591897	5.924683	0.980000	2.000000
1.200000	-1.781892	197.725428	1.602593	6.022683	0.980000	2.000000
1.300000	-1.804708	198.332172	1.614217	6.120683	0.980000	2.000000
1.400000	-1.835175	198.948402	1.626090	6.218683	0.980000	2.000000
1.500000	-1.873461	199.574020	1.637531	6.316683	0.980000	2.000000
1.600000	-1.919292	200.208961	1.647851	6.414683	0.980000	2.000000
1.700000	-1.971921	200.853210	1.656331	6.512683	0.980000	2.000000
1.800000	-2.030081	201.506822	1.662227	6.610683	0.980000	2.000000
1.900000	-2.091478	202.165033	1.664763	6.610683	0.000000	4.000000
2.000000	-2.153702	202.828113	1.663258	6.708683	0.980000	2.000000
2.100000	-2.214256	203.501181	1.656986	6.806683	0.980000	2.000000
2.200000	-2.270294	204.194296	1.645011	7.100683	2.940000	0.000000
2.300000	-2.317022	204.907737	1.626345	7.198683	0.980000	2.000000
2.400000	-2.348118	205.626912	1.600571	7.198683	0.000000	4.000000
2.500000	-2.358006	206.351594	1.567189	7.296683	0.980000	2.000000
2.600000	-2.340694	207.081002	1.525817	7.296683	0.000000	4.000000
2.700000	-2.288918	207.823546	1.475400	7.590683	2.940000	0.000000
2.800000	-2.194428	208.576588	1.415367	7.590683	0.000000	4.000000
2.900000	-2.054208	209.310851	1.347797	7.364015	-2.266683	7.000000
3.000000	-1.863754	210.027102	1.273185	7.462015	0.980000	2.000000
3.100000	-1.614438	210.735401	1.190831	7.560015	0.980000	2.000000
3.200000	-1.296755	211.437331	1.100101	7.854015	2.940000	0.000000
