time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	510.710430	-9.250000	2082.790131	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	425.018553	1.882736	2135.120303	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	963.334539	553.066059	2171.544262	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	963.467683	558.663360	2104.582227	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	976.185970	557.933752	2137.286495	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	953.353804	547.833586	2099.482521	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	786.336882	435.979102	2098.689046	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	953.966726	547.646486	2099.482248	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	662.065614	0.000000	2099.385139	4961.895347	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	662.785703	0.000000	2099.385156	4960.854199	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	950.675642	542.664178	2099.443578	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	577.223990	0.000000	2103.101320	4077.557400	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	665.355800	0.000000	2099.604724	4981.686505	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	667.623049	0.000000	2099.604644	4983.705665	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	579.476027	0.000000	2103.608216	4100.373543	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	942.324736	531.837341	2099.337574	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	402.948164	0.000000	2113.407747	2303.006378	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	674.627451	0.000000	2099.423724	5119.307658	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	628.579427	622.633465	10.680696	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	432.532838	473.698541	10.680696	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	860.302140	687.576802	10.680696	2075.700691	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	446.416058	486.736849	10.680696	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	444.979945	484.346545	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.3	741.561560	0.000000	2098.097247	5661.172350	35.000000	0.000000	1	0	1	0	0	0	0	0
2.4	441.145438	479.723675	10.680696	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.5	944.391802	500.432472	2065.813941	2797.999482	34.000000	0.000000	1	0	0	0	0	0	0	0
2.6	466.225658	504.052614	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	463.968975	500.895963	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.8	472.700052	509.540602	10.680696	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.9	454.576364	490.516935	10.680696	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.0	441.690467	477.731060	10.680696	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.1	429.937799	465.078410	10.680696	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
