time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.482223	1.570796	6.824000	-5.880000	1.000000
0.300000	-1.750000	192.135035	1.570796	6.236000	-5.880000	1.000000
0.400000	-1.750000	192.729185	1.570796	5.648000	-5.880000	1.000000
0.500000	-1.750000	193.264321	1.570796	5.060000	-5.880000	1.000000
0.600000	-1.750000	193.740660	1.570796	4.472000	-5.880000	1.000000
0.700000	-1.750000	194.158171	1.570796	3.884000	-5.880000	1.000000
0.800000	-1.750000	194.516519	1.570796	3.296000	-5.880000	1.000000
0.900000	-1.750000	194.851115	1.570796	3.394000	0.980000	2.000000
1.000000	-1.749990	195.195433	1.570658	3.492000	0.980000	2.000000
1.100000	-1.749808	195.549627	1.569831	3.590000	0.980000	2.000000
1.200000	-1.749215	195.913610	1.568469	3.688000	0.980000	2.000000
1.300000	-1.748035	196.287374	1.566813	3.786000	0.980000	2.000000
1.400000	-1.746174	196.670915	1.565104	3.884000	0.980000	2.000000
1.500000	-1.743622	197.064226	1.563574	3.982000	0.980000	2.000000
1.600000	-1.740465	197.467322	1.562436	4.080000	0.980000	2.000000
1.700000	-1.736875	197.880238	1.561879	4.178000	0.980000	2.000000
1.800000	-1.733115	198.302968	1.562043	4.276000	0.980000	2.000000
1.900000	-1.729513	198.735509	1.563013	4.374000	0.980000	2.000000
2.000000	-1.726447	199.177858	1.564817	4.472000	0.980000	2.000000
2.100000	-1.724314	199.630012	1.567423	4.570000	0.980000	2.000000
2.200000	-1.723510	200.091964	1.570747	4.668000	0.980000	2.000000
2.300000	-1.724399	200.563707	1.574640	4.766000	0.980000	2.000000
2.400000	-1.727274	201.045229	1.578890	4.864000	0.980000	2.000000
2.500000	-1.732304	201.536519	1.583039	4.962000	0.980000	2.000000
2.600000	-1.739079	202.037575	1.584951	5.060000	0.980000	2.000000
2.700000	-1.745636	202.548450	1.581187	5.158000	0.980000	2.000000
2.800000	-1.748336	203.069169	1.569586	5.256000	0.980000	2.000000
2.900000	-1.742882	203.599668	1.550599	5.354000	0.980000	2.000000
3.000000	-1.725454	204.139711	1.525973	5.452000	0.980000	2.000000
3.100000	-1.692983	204.688871	1.497274	5.550000	0.980000	2.000000
3.200000	-1.643070	205.246553	1.465750	5.648000	0.980000	2.000000
3.300000	-1.573858	205.812035	1.432324	5.746000	0.980000	2.000000
3.400000	-1.483892	206.384501	1.397593	5.844000	0.980000	2.000000
3.500000	-1.371966	206.963053	1.361837	5.942000	0.980000	2.000000
3.600000	-1.236956	207.546707	1.325035	6.040000	0.980000	2.000000
3.700000	-1.077604	208.134356	1.286886	6.138000	0.980000	2.000000
3.800000	-0.892482	208.724684	1.246849	6.236000	0.980000	2.000000
3.900000	-0.679819	209.316083	1.204184	6.334000	0.980000	2.000000
4.000000	-0.437412	209.906526	1.158005	6.432000	0.980000	2.000000
4.100000	-0.162594	210.493424	1.107342	6.530000	0.980000	2.000000
4.200000	0.147732	211.073461	1.051209	6.628000	0.980000	2.000000
4.300000	0.496980	211.642429	0.988676	6.726000	0.980000	2.000000
