time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	511.597087	-9.250000	2091.701280	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	428.034126	2.184387	2162.421845	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	969.064903	556.147548	2198.468786	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	967.606335	560.775389	2125.181867	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	980.069563	559.908125	2156.692791	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	831.417241	448.993384	2092.311126	2117.032871	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	804.639640	438.761610	2152.141891	1874.833062	36.000000	0.000000	1	0	1	0	1	0	0	0
0.7	790.447631	438.305660	2114.225337	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	617.527638	0.000000	2111.092635	4489.296307	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	616.987883	0.000000	2111.092726	4490.154233	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	619.477106	0.000000	2111.091912	4513.406953	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	617.711646	0.000000	2111.091023	4487.073510	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	619.900117	0.000000	2111.090492	4511.296398	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	618.933349	0.000000	2111.090148	4486.502010	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	528.261767	0.000000	2115.308105	3568.236168	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	617.042704	0.000000	2110.811114	4463.679522	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	616.679544	0.000000	2110.810629	4460.703458	31.000000	0.000000	1	0	1	0	0	0	0	0
1.7	617.047242	0.000000	2110.809892	4457.079522	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	609.109412	0.000000	2112.097975	4447.025672	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	373.512946	414.468990	19.930672	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	582.599461	0.000000	2112.137600	4165.713218	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	580.364408	0.000000	2112.136372	4151.693646	38.000000	0.000000	1	0	1	0	0	0	0	0
2.2	389.565308	428.801857	19.930672	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	553.841847	0.000000	2112.687262	3873.900508	36.000000	0.000000	1	0	1	0	0	0	0	0
2.4	393.839397	432.268069	19.930672	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.5	530.230508	0.000000	2113.593981	3616.927327	35.000000	0.000000	1	0	1	0	0	0	0	0
2.6	576.607006	420.680756	14.508281	1957.533612	35.000000	0.000000	0	0	0	0	0	0	0	0
2.7	406.577526	444.152513	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	418.619426	455.358013	19.930672	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.9	406.990625	442.829214	19.930672	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.0	414.362508	451.066776	19.930672	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.1	2321.719140	2357.523423	19.930672	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.2	398.259339	434.163622	19.930672	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.3	386.941326	421.945619	19.930672	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
3.4	372.208815	407.313122	19.930672	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
